iso3c,growthb40,growthtotal
CHN,5.42,4.01
IDN,3.09,2.25
MYS,3.22,3.06
PHL,2.98,0.79
THA,1.49,0.55
VNM,2.61,2.78
ALB,3.96,2.36
BGR,6.63,5.77
BLR,3.32,2.6
CZE,3.52,3.97
EST,7.04,6.98
GEO,0.2,-0.89
GRC,5.18,3.82
HRV,7.13,5.82
HUN,7.6,6.28
KAZ,3.72,4.22
KGZ,1.56,2.5
LTU,9.75,8.13
LVA,6.78,6.67
MDA,1.3,1.12
MKD,6.09,5.34
MNE,3.89,1.38
POL,6.9,5.55
ROU,14.48,13.46
RUS,0.65,-0.47
SRB,13.04,7.84
SVK,1.81,1.32
SVN,4.57,4.18
TUR,2.9,3.49
UKR,4.13,4.12
AUS,-0.49,-0.26
AUT,0.41,0.35
BEL,2.93,2.11
CAN,1.61,0.78
CHE,0.06,0.69
CYP,3.84,3.11
DEU,2.01,2.05
DNK,1.9,1.8
ESP,3.07,1.83
FIN,1.24,1.48
FRA,-0.56,-0.47
GBR,0.85,0.56
IRL,4.74,3.47
ISR,1.84,1.03
ITA,2.37,1.86
LUX,1.77,3.04
MLT,3.21,4.43
NLD,2.74,1.74
NOR,-0.24,0.36
PRT,3.84,3.32
SWE,0.39,0.93
USA,4.27,2.98
ARG,-3.98,-4.71
BOL,4.42,0.69
BRA,2.3,0.99
CHL,3.14,2.17
COL,-4.65,-2.66
CRI,-0.85,-1.4
DOM,1.63,-0.57
ECU,-1.14,-0.63
HND,1,0.64
JAM,-3.3,2.14
MEX,3.64,1.95
PAN,-1.04,-1.43
PER,1.02,-1.31
PRY,0.58,-1
SLV,2.51,3.43
URY,0.33,0
EGY,-1.75,-1.57
IRN,-0.12,-0.98
TUN,0.79,0.94
LKA,1.74,0.65
BEN,4.84,2.31
BFA,3.17,-1.1
CIV,1.21,-0.67
GMB,-1.77,-0.06
GNB,-1.77,-2.35
KEN,-1.18,-3.09
MLI,-3.33,-3.99
MOZ,-4.31,-5.57
MRT,0.31,-0.08
MWI,-2.96,-6.11
NER,1.59,-1.97
SEN,0.41,-1.09
TCD,0.01,0.53
TGO,1.52,-2.59
UGA,0.21,-0.1
ZMB,0.1,-2.3
