iso3c,year,pg
COL,1981,9.04
COL,1982,9.12
COL,1983,9.17
COL,1984,9.11
COL,1985,9.05
COL,1986,8.84
COL,1987,8.66
COL,1988,8.55
COL,1989,8.48
COL,1990,8.36
COL,1991,8.36
COL,1992,8.26
COL,1993,9.07
COL,1994,9.86
COL,1995,10.71
COL,1996,11.77
COL,1997,11.82
COL,1998,12.2
COL,1999,13.21
COL,2000,13.94
COL,2001,12.38
COL,2002,7.37
COL,2003,7.28
COL,2004,6.7
COL,2005,6.37
COL,2006,6.39
COL,2007,6.42
COL,2008,6.58
COL,2009,6.12
COL,2010,5.68
COL,2011,5.12
COL,2012,5.58
COL,2013,5.34
COL,2014,5.1
COL,2015,4.97
COL,2016,5.03
COL,2017,4.86
COL,2018,5.01
COL,2019,5.23
COL,2020,7.49
COL,2021,5.3
COL,2022,4.89
COL,2023,4.85
COL,2024,4.65
COL,2025,4.58
COL,2026,4.5
ETH,1981,14.04
ETH,1982,13.95
ETH,1983,13.95
ETH,1984,14.91
ETH,1985,15.41
ETH,1986,14.57
ETH,1987,14.24
ETH,1988,14.62
ETH,1989,14.9
ETH,1990,15.53
ETH,1991,16.91
ETH,1992,17.24
ETH,1993,16.73
ETH,1994,16.6
ETH,1995,15.98
ETH,1996,14.93
ETH,1997,14.46
ETH,1998,13.91
ETH,1999,12.88
ETH,2000,11.83
ETH,2001,11.4
ETH,2002,12.14
ETH,2003,11.63
ETH,2004,9.8
ETH,2005,9.15
ETH,2006,9.17
ETH,2007,9.18
ETH,2008,9.2
ETH,2009,9.2
ETH,2010,9.18
ETH,2011,9.14
ETH,2012,9.05
ETH,2013,8.94
ETH,2014,8.82
ETH,2015,8.71
ETH,2016,8.65
ETH,2017,8.69
ETH,2018,8.76
ETH,2019,8.83
ETH,2020,8.97
ETH,2021,9.12
ETH,2022,8.92
ETH,2023,8.66
ETH,2024,8.35
ETH,2025,8.04
ETH,2026,7.78
IDN,1981,20.2
IDN,1982,20.22
IDN,1983,19.96
IDN,1984,19.33
IDN,1985,19.05
IDN,1986,18.67
IDN,1987,18.31
IDN,1988,17.39
IDN,1989,16.17
IDN,1990,15.11
IDN,1991,15.08
IDN,1992,15.05
IDN,1993,15.02
IDN,1994,14.35
IDN,1995,13.64
IDN,1996,13.02
IDN,1997,13.93
IDN,1998,16.82
IDN,1999,12.22
IDN,2000,12.18
IDN,2001,11.65
IDN,2002,9.49
IDN,2003,9.45
IDN,2004,9.57
IDN,2005,9.1
IDN,2006,9.9
IDN,2007,9.06
IDN,2008,8.72
IDN,2009,8.73
IDN,2010,8.14
IDN,2011,7.73
IDN,2012,7.24
IDN,2013,7.2
IDN,2014,7.03
IDN,2015,6.76
IDN,2016,6.3
IDN,2017,5.89
IDN,2018,5.59
IDN,2019,5.41
IDN,2020,5.26
IDN,2021,5.1
IDN,2022,5.1
IDN,2023,4.97
IDN,2024,4.8
IDN,2025,4.56
IDN,2026,4.43
MOZ,1981,33.49
MOZ,1982,35.72
MOZ,1983,39.84
MOZ,1984,41.8
MOZ,1985,42.01
MOZ,1986,42.96
MOZ,1987,39.83
MOZ,1988,38
MOZ,1989,36.78
MOZ,1990,36.88
MOZ,1991,36.25
MOZ,1992,38.38
MOZ,1993,36.77
MOZ,1994,36.88
MOZ,1995,37.73
MOZ,1996,36.21
MOZ,1997,34.48
MOZ,1998,32.92
MOZ,1999,31.27
MOZ,2000,30.5
MOZ,2001,28.85
MOZ,2002,27.47
MOZ,2003,26.49
MOZ,2004,25.62
MOZ,2005,25.06
MOZ,2006,24.05
MOZ,2007,23.39
MOZ,2008,22.87
MOZ,2009,22.55
MOZ,2010,22.18
MOZ,2011,21.76
MOZ,2012,21.19
MOZ,2013,20.99
MOZ,2014,20.55
MOZ,2015,20.54
MOZ,2016,21.15
MOZ,2017,22.06
MOZ,2018,22.84
MOZ,2019,23.79
MOZ,2020,25.27
MOZ,2021,25.03
MOZ,2022,24.5
MOZ,2023,24.05
MOZ,2024,24.19
MOZ,2025,24.25
MOZ,2026,24.25
PAK,1981,18.79
PAK,1982,18.42
PAK,1983,18.11
PAK,1984,17.73
PAK,1985,17.36
PAK,1986,17.06
PAK,1987,16.66
PAK,1988,16.58
PAK,1989,16.55
PAK,1990,16.53
PAK,1991,14.12
PAK,1992,12.04
PAK,1993,11.96
PAK,1994,10.63
PAK,1995,10.88
PAK,1996,9.79
PAK,1997,9.52
PAK,1998,9.91
PAK,1999,10.15
PAK,2000,10.29
PAK,2001,10.48
PAK,2002,10.46
PAK,2003,9.88
PAK,2004,9.23
PAK,2005,8.94
PAK,2006,8.57
PAK,2007,8.35
PAK,2008,7.83
PAK,2009,8.11
PAK,2010,7.71
PAK,2011,7.58
PAK,2012,7.41
PAK,2013,7.17
PAK,2014,6.98
PAK,2015,6.73
PAK,2016,6.58
PAK,2017,6.53
PAK,2018,6.54
PAK,2019,6.72
PAK,2020,6.76
PAK,2021,6.86
PAK,2022,6.95
PAK,2023,7.05
PAK,2024,7.14
PAK,2025,7.18
PAK,2026,7.1
PER,1981,3.56
PER,1982,3.63
PER,1983,3.98
PER,1984,3.95
PER,1985,3.96
PER,1986,3.96
PER,1987,4.11
PER,1988,4.08
PER,1989,5.79
PER,1990,6.52
PER,1991,6.95
PER,1992,7.51
PER,1993,7.78
PER,1994,7.67
PER,1995,7.4
PER,1996,9.29
PER,1997,8.9
PER,1998,8.81
PER,1999,8.89
PER,2000,8.42
PER,2001,8.64
PER,2002,7.92
PER,2003,6.95
PER,2004,7.29
PER,2005,7.87
PER,2006,7.09
PER,2007,6.35
PER,2008,5.67
PER,2009,5.23
PER,2010,4.71
PER,2011,4.5
PER,2012,4.3
PER,2013,4.13
PER,2014,4.01
PER,2015,3.97
PER,2016,3.87
PER,2017,3.88
PER,2018,3.63
PER,2019,3.49
PER,2020,4.81
PER,2021,3.7
PER,2022,3.7
PER,2023,3.81
PER,2024,3.63
PER,2025,3.57
PER,2026,3.51
EAS,1981,21.36
EAS,1982,20.07
EAS,1983,18.57
EAS,1984,16.63
EAS,1985,15.83
EAS,1986,15.37
EAS,1987,14.73
EAS,1988,13.68
EAS,1989,15.09
EAS,1990,14.77
EAS,1991,14.49
EAS,1992,14.1
EAS,1993,13.72
EAS,1994,12.66
EAS,1995,11.88
EAS,1996,11.19
EAS,1997,11.18
EAS,1998,11.43
EAS,1999,10.86
EAS,2000,10.42
EAS,2001,9.98
EAS,2002,9.32
EAS,2003,8.6
EAS,2004,8.01
EAS,2005,7.37
EAS,2006,7.19
EAS,2007,6.78
EAS,2008,6.55
EAS,2009,6.21
EAS,2010,5.77
EAS,2011,5.29
EAS,2012,4.94
EAS,2013,4.32
EAS,2014,4.07
EAS,2015,3.8
EAS,2016,3.58
EAS,2017,3.42
EAS,2018,3.25
EAS,2019,3.09
EAS,2020,3.11
EAS,2021,2.89
EAS,2022,2.88
EAS,2023,2.76
EAS,2024,2.69
EAS,2025,2.6
EAS,2026,2.53
ECS,1981,2.75
ECS,1982,2.74
ECS,1983,2.72
ECS,1984,2.73
ECS,1985,2.73
ECS,1986,2.73
ECS,1987,2.75
ECS,1988,2.68
ECS,1989,2.66
ECS,1990,2.71
ECS,1991,2.86
ECS,1992,3.12
ECS,1993,3.36
ECS,1994,3.62
ECS,1995,3.49
ECS,1996,3.62
ECS,1997,3.53
ECS,1998,3.55
ECS,1999,3.87
ECS,2000,3.7
ECS,2001,3.49
ECS,2002,3.28
ECS,2003,3.26
ECS,2004,3.01
ECS,2005,2.92
ECS,2006,2.75
ECS,2007,2.55
ECS,2008,2.38
ECS,2009,2.38
ECS,2010,2.36
ECS,2011,2.31
ECS,2012,2.28
ECS,2013,1.76
ECS,2014,1.79
ECS,2015,1.8
ECS,2016,1.77
ECS,2017,1.71
ECS,2018,1.64
ECS,2019,1.59
ECS,2020,1.57
ECS,2021,1.47
ECS,2022,1.44
ECS,2023,1.34
ECS,2024,1.28
ECS,2025,1.25
ECS,2026,1.23
LCN,1981,7.34
LCN,1982,7.45
LCN,1983,8.18
LCN,1984,8.09
LCN,1985,7.78
LCN,1986,6.62
LCN,1987,7.38
LCN,1988,7.72
LCN,1989,7.63
LCN,1990,7.75
LCN,1991,7.68
LCN,1992,7.84
LCN,1993,7.81
LCN,1994,7.62
LCN,1995,7.37
LCN,1996,7.91
LCN,1997,7.74
LCN,1998,7.66
LCN,1999,7.82
LCN,2000,7.5
LCN,2001,7.17
LCN,2002,6.67
LCN,2003,6.59
LCN,2004,6.22
LCN,2005,6.03
LCN,2006,5.37
LCN,2007,4.94
LCN,2008,4.68
LCN,2009,4.58
LCN,2010,4.34
LCN,2011,4.15
LCN,2012,4.02
LCN,2013,3.84
LCN,2014,3.77
LCN,2015,3.57
LCN,2016,3.62
LCN,2017,3.6
LCN,2018,3.57
LCN,2019,3.59
LCN,2020,3.63
LCN,2021,3.63
LCN,2022,3.34
LCN,2023,3.23
LCN,2024,3.09
LCN,2025,3.04
LCN,2026,3
MEA,1981,10.16
MEA,1982,10.02
MEA,1983,9.83
MEA,1984,9.77
MEA,1985,9.59
MEA,1986,9.38
MEA,1987,9.31
MEA,1988,9.18
MEA,1989,9.17
MEA,1990,9.03
MEA,1991,8.32
MEA,1992,7.59
MEA,1993,7.49
MEA,1994,7.08
MEA,1995,7.16
MEA,1996,6.74
MEA,1997,6.6
MEA,1998,6.63
MEA,1999,6.63
MEA,2000,6.62
MEA,2001,6.69
MEA,2002,6.6
MEA,2003,6.4
MEA,2004,6.07
MEA,2005,5.93
MEA,2006,5.77
MEA,2007,5.63
MEA,2008,5.43
MEA,2009,5.42
MEA,2010,5.22
MEA,2011,5.17
MEA,2012,5.07
MEA,2013,5.02
MEA,2014,5.01
MEA,2015,5
MEA,2016,5.03
MEA,2017,5.01
MEA,2018,5.03
MEA,2019,5.1
MEA,2020,5.3
MEA,2021,5.39
MEA,2022,5.33
MEA,2023,5.37
MEA,2024,5.42
MEA,2025,5.46
MEA,2026,5.44
NAC,1981,1.11
NAC,1982,1.2
NAC,1983,1.18
NAC,1984,1.09
NAC,1985,1.08
NAC,1986,1.13
NAC,1987,0.99
NAC,1988,0.95
NAC,1989,1
NAC,1990,1.01
NAC,1991,1.05
NAC,1992,1.04
NAC,1993,1.14
NAC,1994,1.11
NAC,1995,1.1
NAC,1996,1.08
NAC,1997,1.1
NAC,1998,1.13
NAC,1999,1.06
NAC,2000,1.08
NAC,2001,1.19
NAC,2002,1.15
NAC,2003,1.26
NAC,2004,1.31
NAC,2005,1.28
NAC,2006,1.29
NAC,2007,1.28
NAC,2008,1.33
NAC,2009,1.21
NAC,2010,1.33
NAC,2011,1.31
NAC,2012,1.31
NAC,2013,1.3
NAC,2014,1.45
NAC,2015,1.35
NAC,2016,1.31
NAC,2017,1.4
NAC,2018,1.25
NAC,2019,1.14
NAC,2020,0.73
NAC,2021,0.7
NAC,2022,1.41
NAC,2023,1.29
NAC,2024,1.19
NAC,2025,1.17
NAC,2026,1.15
SAS,1981,10.97
SAS,1982,10.76
SAS,1983,10.36
SAS,1984,10.3
SAS,1985,10.23
SAS,1986,10.2
SAS,1987,10.23
SAS,1988,10.19
SAS,1989,10.1
SAS,1990,10.04
SAS,1991,10.02
SAS,1992,9.93
SAS,1993,9.83
SAS,1994,9.74
SAS,1995,9.68
SAS,1996,9.63
SAS,1997,9.61
SAS,1998,9.59
SAS,1999,9.54
SAS,2000,9.5
SAS,2001,9.48
SAS,2002,9.46
SAS,2003,9.41
SAS,2004,9.33
SAS,2005,9.17
SAS,2006,8.92
SAS,2007,8.68
SAS,2008,8.56
SAS,2009,8.37
SAS,2010,7.99
SAS,2011,7.68
SAS,2012,7.46
SAS,2013,7.24
SAS,2014,6.98
SAS,2015,6.72
SAS,2016,6.44
SAS,2017,6.18
SAS,2018,5.94
SAS,2019,5.78
SAS,2020,5.88
SAS,2021,5.68
SAS,2022,5.42
SAS,2023,5.16
SAS,2024,4.96
SAS,2025,4.78
SAS,2026,4.61
SSF,1981,15.66
SSF,1982,15.96
SSF,1983,16.54
SSF,1984,16.82
SSF,1985,16.75
SSF,1986,16.8
SSF,1987,16.88
SSF,1988,16.96
SSF,1989,16.94
SSF,1990,17.23
SSF,1991,17.88
SSF,1992,18.36
SSF,1993,18.31
SSF,1994,18.55
SSF,1995,18.4
SSF,1996,18.06
SSF,1997,17.91
SSF,1998,17.84
SSF,1999,17.61
SSF,2000,17.58
SSF,2001,17.07
SSF,2002,16.61
SSF,2003,16.15
SSF,2004,15.45
SSF,2005,14.98
SSF,2006,14.46
SSF,2007,13.75
SSF,2008,13.19
SSF,2009,13.21
SSF,2010,12.57
SSF,2011,12.31
SSF,2012,11.88
SSF,2013,11.65
SSF,2014,11.52
SSF,2015,11.56
SSF,2016,11.56
SSF,2017,11.48
SSF,2018,11.4
SSF,2019,11.44
SSF,2020,11.91
SSF,2021,11.85
SSF,2022,11.7
SSF,2023,11.59
SSF,2024,11.53
SSF,2025,11.36
SSF,2026,11.18
WLD,1981,12.66
WLD,1982,12.22
WLD,1983,11.74
WLD,1984,11.08
WLD,1985,10.77
WLD,1986,10.52
WLD,1987,10.39
WLD,1988,10.05
WLD,1989,10.53
WLD,1990,10.46
WLD,1991,10.41
WLD,1992,10.33
WLD,1993,10.23
WLD,1994,9.88
WLD,1995,9.58
WLD,1996,9.35
WLD,1997,9.3
WLD,1998,9.4
WLD,1999,9.25
WLD,2000,9.06
WLD,2001,8.83
WLD,2002,8.49
WLD,2003,8.19
WLD,2004,7.83
WLD,2005,7.51
WLD,2006,7.27
WLD,2007,6.94
WLD,2008,6.73
WLD,2009,6.59
WLD,2010,6.28
WLD,2011,6.02
WLD,2012,5.8
WLD,2013,5.46
WLD,2014,5.34
WLD,2015,5.2
WLD,2016,5.1
WLD,2017,5
WLD,2018,4.89
WLD,2019,4.83
WLD,2020,4.95
WLD,2021,4.86
WLD,2022,4.8
WLD,2023,4.7
WLD,2024,4.63
WLD,2025,4.57
WLD,2026,4.5
