iso3c,percentile,income
AND,48,61.05
AND,49,61.84
AND,50,62.63
AND,51,63.44
AND,52,64.26
AND,53,65.09
AND,54,65.93
AND,55,66.79
AND,56,67.66
AND,57,68.54
AND,58,69.44
AND,59,70.36
AND,60,71.3
AND,61,72.25
AND,62,73.23
AND,63,74.24
AND,64,75.26
AND,65,76.31
AND,66,77.4
AND,67,78.51
AND,68,79.65
AND,69,80.83
AND,70,82.05
AND,71,83.31
AND,72,84.62
AND,73,85.97
AND,74,87.38
AND,75,88.85
AND,76,90.38
AND,77,91.98
AND,78,93.66
AND,79,95.42
AND,80,97.28
AND,81,99.25
AND,82,101.33
AND,83,103.56
AND,84,105.93
AND,85,108.49
AND,86,111.25
AND,87,114.25
AND,88,117.53
AND,89,121.15
AND,90,125.19
AND,91,129.73
AND,92,134.91
AND,93,140.93
AND,94,148.05
AND,95,156.75
AND,96,167.76
AND,97,182.53
AND,98,204.24
AND,99,242.6
AND,100,401.55
ARE,1,10.61
ARE,2,16.97
ARE,3,22.5
ARE,4,27.38
ARE,5,31.73
ARE,6,35.66
ARE,7,39.23
ARE,8,42.51
ARE,9,45.53
ARE,10,48.34
ARE,11,50.97
ARE,12,53.43
ARE,13,55.75
ARE,14,57.94
ARE,15,60.02
ARE,16,62.01
ARE,17,63.9
ARE,18,65.71
ARE,19,67.46
ARE,20,69.13
ARE,21,70.75
ARE,22,72.32
ARE,23,73.83
ARE,24,75.3
ARE,25,76.73
ARE,26,78.13
ARE,27,79.48
ARE,28,80.81
ARE,29,82.11
ARE,30,83.38
ARE,31,84.63
ARE,32,85.86
ARE,33,87.07
ARE,34,88.26
ARE,35,89.43
ARE,36,90.59
ARE,37,91.74
ARE,38,92.87
ARE,39,93.99
ARE,40,95.11
ARE,41,96.21
ARE,42,97.31
ARE,43,98.41
ARE,44,99.49
ARE,45,100.58
ARE,46,101.66
ARE,47,102.75
ARE,48,103.83
ARE,49,104.91
ARE,50,106
ARE,51,107.09
ARE,52,108.18
ARE,53,109.28
ARE,54,110.39
ARE,55,111.5
ARE,56,112.62
ARE,57,113.76
ARE,58,114.9
ARE,59,116.06
ARE,60,117.23
ARE,61,118.42
ARE,62,119.63
ARE,63,120.86
ARE,64,122.11
ARE,65,123.38
ARE,66,124.68
ARE,67,126
ARE,68,127.36
ARE,69,128.75
ARE,70,130.18
ARE,71,131.65
ARE,72,133.17
ARE,73,134.73
ARE,74,136.35
ARE,75,138.02
ARE,76,139.76
ARE,77,141.58
ARE,78,143.47
ARE,79,145.45
ARE,80,147.53
ARE,81,149.72
ARE,82,152.04
ARE,83,154.5
ARE,84,157.12
ARE,85,159.92
ARE,86,162.94
ARE,87,166.21
ARE,88,169.78
ARE,89,173.7
ARE,90,178.04
ARE,91,182.9
ARE,92,188.42
ARE,93,194.76
ARE,94,202.19
ARE,95,211.1
ARE,96,222.11
ARE,97,236.29
ARE,98,255.64
ARE,99,284.69
ARE,100,336.79
ARG,1,2.12
ARG,2,3.73
ARG,3,4.39
ARG,4,4.98
ARG,5,5.48
ARG,6,5.86
ARG,7,6.2
ARG,8,6.58
ARG,9,6.9
ARG,10,7.25
ARG,11,7.63
ARG,12,7.94
ARG,13,8.17
ARG,14,8.42
ARG,15,8.68
ARG,16,8.98
ARG,17,9.31
ARG,18,9.65
ARG,19,9.97
ARG,20,10.24
ARG,21,10.55
ARG,22,10.84
ARG,23,11.15
ARG,24,11.42
ARG,25,11.76
ARG,26,12.05
ARG,27,12.36
ARG,28,12.67
ARG,29,12.97
ARG,30,13.25
ARG,31,13.6
ARG,32,13.9
ARG,33,14.18
