iso3c,percentile,income
ABW,1,2.08
ABW,2,3.79
ABW,3,4.92
ABW,4,5.85
ABW,5,6.66
ABW,6,7.39
ABW,7,8.07
ABW,8,8.71
ABW,9,9.31
ABW,10,9.9
ABW,11,10.46
ABW,12,11
ABW,13,11.53
ABW,14,12.04
ABW,15,12.55
ABW,16,13.04
ABW,17,13.53
ABW,18,14.02
ABW,19,14.49
ABW,20,14.97
ABW,21,15.44
ABW,22,15.9
ABW,23,16.37
ABW,24,16.83
ABW,25,17.3
ABW,26,17.76
ABW,27,18.22
ABW,28,18.68
ABW,29,19.15
ABW,30,19.61
ABW,31,20.08
ABW,32,20.55
ABW,33,21.02
ABW,34,21.5
ABW,35,21.98
ABW,36,22.46
ABW,37,22.95
ABW,38,23.44
ABW,39,23.94
ABW,40,24.44
ABW,41,24.95
ABW,42,25.47
ABW,43,25.99
ABW,44,26.52
ABW,45,27.06
ABW,46,27.6
ABW,47,28.16
ABW,48,28.72
ABW,49,29.3
ABW,50,29.88
ABW,51,30.48
ABW,52,31.09
ABW,53,31.71
ABW,54,32.35
ABW,55,33
ABW,56,33.66
ABW,57,34.35
ABW,58,35.05
ABW,59,35.77
ABW,60,36.51
ABW,61,37.27
ABW,62,38.05
ABW,63,38.86
ABW,64,39.69
ABW,65,40.55
ABW,66,41.44
ABW,67,42.37
ABW,68,43.33
ABW,69,44.32
ABW,70,45.36
ABW,71,46.44
ABW,72,47.57
ABW,73,48.75
ABW,74,49.99
ABW,75,51.29
ABW,76,52.66
ABW,77,54.11
ABW,78,55.65
ABW,79,57.27
ABW,80,59.01
ABW,81,60.86
ABW,82,62.85
ABW,83,64.99
ABW,84,67.31
ABW,85,69.84
ABW,86,72.6
ABW,87,75.65
ABW,88,79.04
ABW,89,82.83
ABW,90,87.13
ABW,91,92.07
ABW,92,97.81
ABW,93,104.63
ABW,94,112.93
ABW,95,123.34
ABW,96,136.99
ABW,97,156.09
ABW,98,185.76
ABW,99,242.63
ABW,100,564.79
AFG,1,0.47
AFG,2,0.72
AFG,3,0.87
AFG,4,0.98
AFG,5,1.07
AFG,6,1.15
AFG,7,1.23
AFG,8,1.29
AFG,9,1.36
AFG,10,1.41
AFG,11,1.47
AFG,12,1.52
AFG,13,1.57
AFG,14,1.62
AFG,15,1.67
AFG,16,1.72
AFG,17,1.76
AFG,18,1.8
AFG,19,1.85
AFG,20,1.89
AFG,21,1.93
AFG,22,1.97
AFG,23,2.01
AFG,24,2.05
AFG,25,2.09
AFG,26,2.13
AFG,27,2.17
AFG,28,2.21
AFG,29,2.24
AFG,30,2.28
AFG,31,2.32
AFG,32,2.36
AFG,33,2.4
AFG,34,2.43
AFG,35,2.47
AFG,36,2.51
AFG,37,2.55
AFG,38,2.59
AFG,39,2.62
AFG,40,2.66
AFG,41,2.7
AFG,42,2.74
AFG,43,2.78
AFG,44,2.82
AFG,45,2.86
AFG,46,2.9
AFG,47,2.94
AFG,48,2.98
AFG,49,3.02
AFG,50,3.07
AFG,51,3.11
AFG,52,3.15
AFG,53,3.2
AFG,54,3.24
AFG,55,3.29
AFG,56,3.33
AFG,57,3.38
AFG,58,3.43
AFG,59,3.48
AFG,60,3.53
AFG,61,3.58
AFG,62,3.63
AFG,63,3.69
AFG,64,3.74
AFG,65,3.8
AFG,66,3.86
AFG,67,3.92
AFG,68,3.98
AFG,69,4.04
AFG,70,4.11
AFG,71,4.18
AFG,72,4.25
AFG,73,4.32
AFG,74,4.4
AFG,75,4.48
AFG,76,4.56
AFG,77,4.65
AFG,78,4.74
AFG,79,4.84
AFG,80,4.94
AFG,81,5.05
AFG,82,5.16
AFG,83,5.28
AFG,84,5.42
AFG,85,5.56
AFG,86,5.71
AFG,87,5.88
AFG,88,6.06
AFG,89,6.26
AFG,90,6.49
AFG,91,6.74
AFG,92,7.04
AFG,93,7.38
AFG,94,7.78
AFG,95,8.28
AFG,96,8.91
AFG,97,9.76
AFG,98,11.02
AFG,99,13.28
AFG,100,23.06
AGO,1,0.31
AGO,2,0.48
AGO,3,0.58
AGO,4,0.66
AGO,5,0.75
AGO,6,0.81
AGO,7,0.87
AGO,8,0.93
AGO,9,0.99
AGO,10,1.06
AGO,11,1.12
AGO,12,1.17
AGO,13,1.22
AGO,14,1.27
AGO,15,1.32
AGO,16,1.38
AGO,17,1.44
AGO,18,1.49
AGO,19,1.54
AGO,20,1.59
AGO,21,1.64
AGO,22,1.68
AGO,23,1.73
AGO,24,1.77
AGO,25,1.82
AGO,26,1.88
AGO,27,1.93
