hex_id,pop,light
865802957ffffff,5831,32
86580295fffffff,4430,31
865802977ffffff,3030,31
865802987ffffff,4808,72
86580298fffffff,4388,31
865802997ffffff,4527,43
86580299fffffff,4862,70
8658029a7ffffff,4837,28
8658029afffffff,7292,32
8658029b7ffffff,6303,28
865802a07ffffff,2316,30
865802a0fffffff,4916,29
865802a17ffffff,2603,31
865802a1fffffff,1723,39
865802a27ffffff,2579,31
865802a2fffffff,3763,29
865802a37ffffff,2381,31
865802a47ffffff,5846,35
865802a4fffffff,4107,31
865802a57ffffff,5039,28
865802a5fffffff,6932,32
865802a67ffffff,12667,32
865802a6fffffff,6000,40
865802a77ffffff,3747,31
865802a87ffffff,1568,36
865802a8fffffff,2114,30
865802a97ffffff,2957,31
865802a9fffffff,2129,30
865802aa7ffffff,2137,31
865802aafffffff,1656,32
865802ab7ffffff,1817,31
865802ac7ffffff,4087,30
865802acfffffff,6243,30
865802ad7ffffff,2970,29
865802adfffffff,5799,31
865802ae7ffffff,4916,61
865802aefffffff,3220,32
865802af7ffffff,1949,29
865802b07ffffff,11828,78
865802b0fffffff,8335,37
865802b17ffffff,7199,29
865802b1fffffff,3781,32
865802b27ffffff,3769,31
865802b2fffffff,12152,49
865802b37ffffff,5133,30
865802b47ffffff,9820,36
865802b4fffffff,29669,36
865802b57ffffff,3800,32
865802b5fffffff,8406,32
865802b67ffffff,11373,30
865802b6fffffff,6918,36
865802b77ffffff,9250,35
865802b87ffffff,1737,31
865802b8fffffff,2122,30
865802b97ffffff,2655,32
865802b9fffffff,1154,29
865802ba7ffffff,3405,30
865802bafffffff,1938,29
865802bb7ffffff,4825,30
865802c07ffffff,21552,28
865802c0fffffff,7242,28
865802c17ffffff,19821,30
865802c1fffffff,9880,29
865802c27ffffff,12754,29
865802c2fffffff,12631,28
865802c37ffffff,24615,28
865802c47ffffff,3513,48
865802c4fffffff,3788,32
865802c57ffffff,5887,40
865802c5fffffff,2762,52
865802c67ffffff,11415,34
865802c6fffffff,4930,65
