iso3c,year,access_electricity
EAS,2000,92.1
EAS,2001,92.5
EAS,2002,93
EAS,2003,93.2
EAS,2004,94
EAS,2005,93.6
EAS,2006,94.6
EAS,2007,94.7
EAS,2008,95.2
EAS,2009,95
EAS,2010,95.5
EAS,2011,96
EAS,2012,96.2
EAS,2013,96.5
EAS,2014,96.6
EAS,2015,97
EAS,2016,97
EAS,2017,97.7
EAS,2018,97.7
EAS,2019,97.9
EAS,2020,97.8
EAS,2021,98.2
EAS,2022,98.2
EAS,2023,98.4
ECS,2000,99.1
ECS,2001,99.2
ECS,2002,99.2
ECS,2003,99.2
ECS,2004,99.2
ECS,2005,99.3
ECS,2006,99.3
ECS,2007,99.4
ECS,2008,99.4
ECS,2009,99.5
ECS,2010,99.7
ECS,2011,99.7
ECS,2012,99.8
ECS,2013,99.8
ECS,2014,99.9
ECS,2015,99.2
ECS,2016,99.8
ECS,2017,100
ECS,2018,100
ECS,2019,100
ECS,2020,100
ECS,2021,100
ECS,2022,100
ECS,2023,100
LCN,2000,91.7
LCN,2001,92.3
LCN,2002,92.7
LCN,2003,92.7
LCN,2004,93.2
LCN,2005,93.5
LCN,2006,94.3
LCN,2007,94.5
LCN,2008,95.2
LCN,2009,95.4
LCN,2010,95.9
LCN,2011,96.2
LCN,2012,96.6
LCN,2013,96.9
LCN,2014,97.1
LCN,2015,97.3
LCN,2016,97.5
LCN,2017,97.7
LCN,2018,97.8
LCN,2019,98
LCN,2020,98.1
LCN,2021,98.3
LCN,2022,98.6
LCN,2023,98.4
MEA,2000,82.6
MEA,2001,83.3
MEA,2002,83.6
MEA,2003,84.6
MEA,2004,85
MEA,2005,86
MEA,2006,87.7
MEA,2007,87.2
MEA,2008,88.1
MEA,2009,88.7
MEA,2010,90.6
MEA,2011,90.8
MEA,2012,91.9
MEA,2013,93.1
MEA,2014,94
MEA,2015,93.4
MEA,2016,95.2
MEA,2017,96
MEA,2018,95
MEA,2019,96
MEA,2020,96.3
MEA,2021,96.4
MEA,2022,95.9
MEA,2023,96.4
NAC,2000,100
NAC,2001,100
NAC,2002,100
NAC,2003,100
NAC,2004,100
NAC,2005,100
NAC,2006,100
NAC,2007,100
NAC,2008,100
NAC,2009,100
NAC,2010,100
NAC,2011,100
NAC,2012,100
NAC,2013,100
NAC,2014,100
NAC,2015,100
NAC,2016,100
NAC,2017,100
NAC,2018,100
NAC,2019,100
NAC,2020,100
NAC,2021,100
NAC,2022,100
NAC,2023,100
SAS,2000,56.8
SAS,2001,58.3
SAS,2002,59.4
SAS,2003,62.3
SAS,2004,61.5
SAS,2005,65.9
SAS,2006,65.9
SAS,2007,69.3
SAS,2008,71.8
SAS,2009,73
SAS,2010,74.1
SAS,2011,77.3
SAS,2012,78.4
SAS,2013,80.8
SAS,2014,82.8
SAS,2015,86.5
SAS,2016,88.3
SAS,2017,91.4
SAS,2018,94.8
SAS,2019,95.5
SAS,2020,96.4
SAS,2021,99.4
SAS,2022,99.1
SAS,2023,99.4
SSF,2000,25.7
SSF,2001,26.2
SSF,2002,27.3
SSF,2003,29.6
SSF,2004,29.4
SSF,2005,29.4
SSF,2006,31.2
SSF,2007,32.5
SSF,2008,32.4
SSF,2009,32.6
SSF,2010,33.3
SSF,2011,35.9
SSF,2012,36.8
SSF,2013,38
SSF,2014,38.4
SSF,2015,39.2
SSF,2016,43.8
SSF,2017,43.8
SSF,2018,46.4
SSF,2019,47.2
SSF,2020,48.5
SSF,2021,50.7
SSF,2022,51.6
SSF,2023,53.3
WLD,2000,78.2
WLD,2001,78.7
WLD,2002,79.1
WLD,2003,80
WLD,2004,80
WLD,2005,80.7
WLD,2006,81.4
WLD,2007,82
WLD,2008,82.7
WLD,2009,82.9
WLD,2010,83.4
WLD,2011,84.5
WLD,2012,84.9
WLD,2013,85.7
WLD,2014,86.2
WLD,2015,86.9
WLD,2016,88.1
WLD,2017,88.9
WLD,2018,89.8
WLD,2019,90.1
WLD,2020,90.4
WLD,2021,91.3
WLD,2022,91.3
WLD,2023,91.6
