iso3c,year,access_electricity,area
EAS,2000,87.61,rural
EAS,2001,89.09,rural
EAS,2002,88.79,rural
EAS,2003,88.74,rural
EAS,2004,90.06,rural
EAS,2005,89.16,rural
EAS,2006,90.81,rural
EAS,2007,90.47,rural
EAS,2008,91.35,rural
EAS,2009,92.13,rural
EAS,2010,92.98,rural
EAS,2011,93.76,rural
EAS,2012,94.05,rural
EAS,2013,94.34,rural
EAS,2014,94.52,rural
EAS,2015,94.97,rural
EAS,2016,94.95,rural
EAS,2017,96.35,rural
EAS,2018,96.09,rural
EAS,2019,96.44,rural
EAS,2020,96.12,rural
EAS,2021,96.84,rural
EAS,2022,96.55,rural
EAS,2023,97.27,rural
ECS,2000,98.48,rural
ECS,2001,98.6,rural
ECS,2002,98.71,rural
ECS,2003,98.78,rural
ECS,2004,98.82,rural
ECS,2005,98.93,rural
ECS,2006,98.97,rural
ECS,2007,99.06,rural
ECS,2008,99.11,rural
ECS,2009,99.2,rural
ECS,2010,99.52,rural
ECS,2011,99.48,rural
ECS,2012,99.6,rural
ECS,2013,99.66,rural
ECS,2014,99.72,rural
ECS,2015,99.23,rural
ECS,2016,99.83,rural
ECS,2017,99.92,rural
ECS,2018,99.95,rural
ECS,2019,99.97,rural
ECS,2020,99.99,rural
ECS,2021,99.97,rural
ECS,2022,99.99,rural
ECS,2023,100,rural
LCN,2000,71.25,rural
LCN,2001,74.13,rural
LCN,2002,74.55,rural
LCN,2003,75.02,rural
LCN,2004,75.94,rural
LCN,2005,76.95,rural
LCN,2006,79.18,rural
LCN,2007,79.6,rural
LCN,2008,81.89,rural
LCN,2009,82.47,rural
LCN,2010,83.86,rural
LCN,2011,84.88,rural
LCN,2012,86.22,rural
LCN,2013,87.15,rural
LCN,2014,87.78,rural
LCN,2015,89.02,rural
LCN,2016,93.18,rural
LCN,2017,90.44,rural
LCN,2018,90.52,rural
LCN,2019,91.36,rural
LCN,2020,95.88,rural
LCN,2021,96.53,rural
LCN,2022,96.78,rural
LCN,2023,92.91,rural
MEA,2000,74.28,rural
MEA,2001,74.98,rural
MEA,2002,75.33,rural
MEA,2003,71.98,rural
MEA,2004,72.48,rural
MEA,2005,74.34,rural
MEA,2006,77.01,rural
MEA,2007,76.09,rural
MEA,2008,77.43,rural
MEA,2009,78.69,rural
MEA,2010,82.06,rural
MEA,2011,82.21,rural
MEA,2012,84.12,rural
MEA,2013,87.05,rural
MEA,2014,88.65,rural
MEA,2015,87.52,rural
MEA,2016,90.86,rural
MEA,2017,92.58,rural
MEA,2018,93.58,rural
MEA,2019,92.44,rural
MEA,2020,92.87,rural
MEA,2021,93.08,rural
MEA,2022,92.34,rural
MEA,2023,92.84,rural
NAC,2000,100,rural
NAC,2001,100,rural
NAC,2002,100,rural
NAC,2003,100,rural
NAC,2004,100,rural
NAC,2005,100,rural
NAC,2006,100,rural
NAC,2007,100,rural
NAC,2008,100,rural
NAC,2009,100,rural
NAC,2010,100,rural
NAC,2011,100,rural
NAC,2012,100,rural
NAC,2013,100,rural
NAC,2014,100,rural
NAC,2015,100,rural
NAC,2016,100,rural
NAC,2017,100,rural
NAC,2018,100,rural
NAC,2019,100,rural
NAC,2020,100,rural
NAC,2021,100,rural
NAC,2022,100,rural
NAC,2023,100,rural
SAS,2000,45.15,rural
SAS,2001,47.11,rural
SAS,2002,48.19,rural
SAS,2003,51.78,rural
SAS,2004,50.33,rural
SAS,2005,55.89,rural
SAS,2006,55.5,rural
SAS,2007,59.96,rural
SAS,2008,63,rural
SAS,2009,63.52,rural
SAS,2010,65.54,rural
SAS,2011,69.52,rural
SAS,2012,70.67,rural
SAS,2013,74.03,rural
SAS,2014,76.48,rural
SAS,2015,81.5,rural
SAS,2016,83.68,rural
SAS,2017,87.71,rural
SAS,2018,92.75,rural
SAS,2019,93.42,rural
SAS,2020,95.29,rural
SAS,2021,99.23,rural
SAS,2022,99.18,rural
SAS,2023,99.13,rural
SSF,2000,11.98,rural
SSF,2001,14.18,rural
SSF,2002,15.21,rural
SSF,2003,14.59,rural
SSF,2004,13.47,rural
SSF,2005,13.2,rural
SSF,2006,14.92,rural
SSF,2007,14.58,rural
SSF,2008,15.63,rural
SSF,2009,17.09,rural
SSF,2010,16.97,rural
SSF,2011,18.71,rural
SSF,2012,19.34,rural
SSF,2013,20.67,rural
SSF,2014,19.6,rural
SSF,2015,18.74,rural
SSF,2016,25.65,rural
SSF,2017,24.54,rural
SSF,2018,27.47,rural
SSF,2019,28.2,rural
SSF,2020,28.82,rural
