iso3c,access_2015,access_2023
ABW,100,100
AFG,71.5,85.3
AGO,42,51.1
ALB,100,100
AND,100,100
ARE,100,100
ARG,99.7,100
ARM,100,100
ATG,100,100
AUS,100,100
AUT,100,100
AZE,100,100
BDI,7.9,11.6
BEL,100,100
BEN,29.6,57
BFA,16.2,21.7
BGD,74,99.5
BGR,96.6,100
BHR,100,100
BHS,100,100
BIH,99.7,100
BLR,97.4,100
BLZ,91.8,99.6
BMU,100,100
BOL,91.5,99.8
BRA,99.7,99.8
BRB,100,100
BRN,100,100
BTN,95.4,100
BWA,62.1,76
CAF,12.7,17.6
CAN,100,100
CHE,100,100
CHI,100,100
CHL,99.7,100
CHN,100,100
CIV,62.6,72.4
CMR,58.6,72
COD,16.6,22.1
COG,44.3,51.3
COL,98.2,98.7
COM,74.1,89.8
CPV,86.4,98.6
CRI,99.4,100
CUB,99,100
CUW,100,100
CYM,100,100
CYP,100,100
CZE,100,100
DEU,100,100
DJI,59.1,65.2
DMA,96.7,100
DNK,100,100
DOM,98.6,99.6
DZA,99.4,100
ECU,98.8,98.7
EGY,99.3,100
ERI,45.8,54.4
ESP,100,100
EST,100,100
ETH,29,55.4
FIN,100,100
FJI,93.2,99.3
FRA,100,100
FRO,100,100
FSM,73,86.9
GAB,87.3,94.1
GBR,100,100
GEO,100,100
GHA,74,89.5
GIB,100,100
GIN,34.9,51.1
GMB,54.7,66.9
GNB,20.1,40.5
GNQ,66.1,66.9
GRC,100,100
GRD,91.4,94.4
GRL,100,100
GTM,90.5,100
GUM,100,100
GUY,88,98.9
HKG,100,100
HND,90,95.6
HRV,100,100
HTI,40.8,51.3
HUN,100,100
IDN,97.5,99.4
IMN,100,100
IND,88,99.5
IRL,100,100
IRN,100,100
IRQ,99.4,100
ISL,100,100
ISR,100,100
ITA,100,100
JAM,94.9,97.7
JOR,99.9,100
JPN,100,100
KAZ,100,100
KEN,41.6,76.2
KGZ,98.7,100
KHM,62.7,95
KIR,90.6,95.9
KNA,100,100
KOR,100,100
KWT,100,100
LAO,89.7,96.5
LBN,99.7,100
LBR,15.2,32.5
LBY,73.8,73.2
LCA,99,100
LIE,100,100
LKA,94.3,100
LSO,31.8,57.3
LTU,100,100
LUX,100,100
LVA,100,100
MAC,100,100
MAF,100,100
MAR,97.3,100
MCO,100,100
MDA,99.9,100
MDG,23.8,39.4
MDV,99.8,100
MEX,99,99.7
MHL,92.1,100
MKD,99.9,100
MLI,37.6,54.5
MLT,100,100
MMR,60.5,76.8
MNE,99.5,100
MNG,88,100
MNP,100,100
MOZ,24,36
MRT,39.5,50.3
MUS,99.6,100
MWI,10.8,15.6
MYS,99.9,100
NAM,51.6,56.7
NCL,100,100
NER,16.6,20.1
NGA,52.5,61.2
NIC,83.2,88.3
NLD,100,100
NOR,100,100
NPL,82,94
NRU,99,100
NZL,100,100
OMN,100,100
PAK,91,95.6
PAN,91.6,97
PER,93.9,96.2
PHL,89.1,98
PLW,99.5,100
PNG,18.4,20.5
POL,100,100
PRI,100,100
PRK,40,57.5
PRT,100,100
PRY,99.3,99.8
PSE,99.9,100
PYF,100,100
QAT,100,100
ROU,98.8,100
RUS,95.5,100
RWA,22.8,63.9
SAU,100,100
SDN,48,66
SEN,60.5,74.2
SGP,100,100
SLB,55.1,81.3
SLE,19.7,35.5
SLV,95.4,98.3
SMR,100,100
SOM,51.2,50.3
SRB,99.9,100
SSD,4.8,5.4
STP,67.3,81.3
SUR,95,99.6
SVK,100,100
SVN,100,100
SWE,100,100
SWZ,64.1,86.4
SXM,100,100
SYC,100,100
SYR,90,88.4
TCA,100,100
TCD,7.7,12
TGO,44.7,59.2
THA,99.6,100
TJK,98,100
TKM,100,100
TLS,67.3,100
TON,100,100
TTO,100,98.7
TUN,99.9,100
TUR,100,100
TUV,98.1,100
TZA,26.2,48.3
UGA,18.5,51.5
UKR,100,100
URY,99.7,100
USA,100,100
UZB,99.9,100
VCT,99.4,100
VEN,100,100
VGB,100,100
VIR,100,100
VNM,99.3,99.8
VUT,52.3,61.6
WSM,98.2,100
YEM,67.4,83.6
ZAF,85.3,87.7
ZMB,31.1,51.1
ZWE,33.7,62
