discharge,longitude,latitude
1112,123.96,10.3367
1104,111.5162,2.3521
1100,113.7571,22.7404
1098,123.7562,13.1571
1085,5.2937,5.9154
1084,97.6579,16.5513
1073,120.7054,28.0288
1068,123.3375,8.5921
1068,75.7396,11.3554
1065,123.6821,12.9213
1050,118.6167,24.8729
1050,97.6664,16.5527
1044,-90.7125,13.9287
1044,72.8771,19.0079
1041,122.9421,10.6779
1035,105.8542,19.7738
1030,125.5212,9.1613
1020,122.9512,10.6888
1011,126.2379,9.0146
1010,72.8054,19.2088
1006,125.0229,12.5471
1005,120.5546,14.7988
996,102.2562,2.1846
991,-51.2154,-30.0129
977,73.9525,15.1467
976,125.4792,9.795
973,79.9571,6.5863
973,76.3062,9.9292
971,113.9867,4.4054
971,112.7354,-7.1963
968,80.2879,13.0679
962,76.5387,8.9329
961,-51.2229,-30.0063
957,18.4854,-33.8904
950,75.3521,11.9317
933,102.8946,1.8188
933,5.6746,5.5354
929,112.8671,-7.5613
918,120.5671,14.6821
913,91.8854,22.1254
910,72.7804,19.5054
903,76.6462,8.8196
890,109.1187,-7.6754
887,102.5512,2.0521
883,107.0012,-5.9321
879,9.6892,4.0496
879,80.3279,13.2221
874,124.5562,10.9896
869,124.7421,8.5554
867,119.9254,16.2463
865,91.3529,22.7813
859,121.4129,28.6958
856,108.7942,-7.6754
842,97.6604,16.5188
834,79.8279,7.2088
834,124.6971,11.9546
828,-38.4479,-12.9996
827,74.8304,12.8521
824,-48.4937,-1.4863
822,6.2487,4.5271
820,80.2708,13.0137
818,79.8933,6.7408
818,72.3787,22.3863
817,7.0621,4.7704
816,117.8433,24.4321
808,72.8318,20.4112
805,98.21,13.9754
803,73.0029,18.8079
801,74.8554,12.8413
798,110.3987,1.5521
797,106.5304,20.3146
794,27.1683,38.4396
793,105.7562,18.7204
781,120.8354,14.7663
771,120.9046,13.8879
769,75.5904,11.5696
766,99.3687,9.1846
765,-34.8887,-8.0821
765,125.1646,6.1046
760,-38.5929,-3.7021
760,3.1262,36.7413
757,124.2337,8.2254
757,113.0004,22.4496
752,-43.2121,-22.8671
747,-58.5217,-34.4438
745,116.0654,5.9746
732,120.5812,27.5879
730,66.9679,24.8704
730,95.8796,16.4188
728,100.2671,13.5296
728,117.7171,38.9704
727,91.2071,22.7179
724,123.6896,7.9713
720,106.7162,10.4738
719,123.7129,13.4146
717,74.6971,13.4179
716,125.5729,7.0404
714,110.2912,-8.0088
713,86.9429,20.7713
712,88.9587,22.3638
710,106.6487,20.7063
703,122.9271,10.6513
701,-10.8013,6.3296
697,122.9629,10.7313
693,99.5096,7.3942
693,125.5521,7.0471
692,72.8212,19.1204
688,120.705,28.0267
684,106.2517,9.6162
683,122.8296,10.5513
681,98.7071,3.7713
680,-34.935,-8.2404
676,101.2996,3.2554
671,100.6254,4.7904
668,124.6637,8.4963
666,-43.0662,-22.8013
666,-58.4154,-34.5546
663,5.4671,5.1471
659,100.4629,7.1438
654,-34.8621,-8.0321
653,91.4326,22.8382
652,73.2,17.5879
651,123.8787,10.2671
646,7.0704,4.7779
645,39.3004,-6.8404
642,-48.4804,-1.2879
642,-48.6504,-26.9071
642,122.1542,6.9296
641,101.2737,6.8921
637,76.9133,8.4792
636,125.8421,7.3638
633,102.0907,6.2424
631,100.3454,5.5679
623,123.3837,7.6063
623,120.6254,14.0554
623,120.7179,13.9288
623,120.3246,16.3938
618,103.4462,3.5171
618,103.4446,3.5163
612,121.9479,10.8113
608,120.9208,14.6896
607,72.9862,18.7458
606,6.6746,4.5271
603,73.0696,17.9879
602,-69.6246,19.1979
601,123.1846,13.7279
601,122.9212,10.6204
600,-91.7838,14.1921
600,113.0429,3.1671
600,120.3525,17.6129
598,109.2496,0.0246
592,124.6521,12.5088
591,111.9762,21.7929
590,108.3496,15.8646
585,93.3037,20.2058
583,93.0054,20.6463
579,72.995,19.0579
578,76.8871,8.5096
576,9.5587,4.0404
576,105.7979,19.5988
576,105.0229,-2.4013
575,80.1558,12.4679
573,6.1004,36.8754
571,72.8262,19.2379
571,11.8546,-4.7629
570,123.7562,13.1604
566,97.3229,16.7113
565,120.9937,6.0538
563,121.3479,13.2929
562,73.8254,15.5038
561,100.5829,4.8471
560,125.3804,6.6858
559,119.1221,25.4079
552,125.0079,11.1538
552,122.8004,7.7188
552,125.0079,11.1521
551,125.0129,11.1454
546,108.2212,-6.2496
545,87.3087,21.5921
545,-92.1854,14.5071
545,91.9712,21.4554
544,97.5962,16.0929
542,125.5071,7.0071
540,123.4012,10.9513
539,-76.8529,17.9921
536,-38.2762,-12.8763
534,72.9787,19.0629
532,-87.7913,15.8954
529,100.4279,5.1679
528,29.0346,40.9813
526,88.4604,21.8983
524,106.6454,20.6221
524,-43.2979,-23.0146
521,28.8887,40.9796
519,116.8529,23.4554
518,122.9337,10.6638
517,85.0621,19.3721
515,100.3512,-0.9354
514,122.9512,10.6846
513,117.9087,4.2417
511,-70.0179,18.4175
511,116.1104,6.0046
509,105.5037,9.0971
508,120.6496,27.7346
508,122.9629,10.8046
507,-91.5379,14.0496
505,76.7704,8.6563
504,19.5637,41.5829
502,72.89,20.7404
501,-34.8896,-8.0763
501,87.9587,22.0992
497,88.8979,22.3371
497,85.5712,19.6946
496,73.2971,17.2746
494,95.04,16.3625
494,106.5729,20.4783
492,124.0746,10.0738
485,123.4321,7.8175
485,75.5308,11.7042
484,8.4029,4.7896
483,107.6087,16.5496
483,120.8412,14.3996
482,97.1432,17.1107
481,-46.3879,-23.9746
480,121.2279,13.3883
480,122.3196,10.6579
479,35.9637,36.0479
479,83.9371,18.2146
472,-48.7975,-26.2937
471,125.0229,10.7363
471,75.4754,11.7663
468,102.5137,5.8663
467,123.5925,12.9054
465,86.6568,20.3299
462,123.5137,7.8338
462,103.9612,1.6388
461,89.4009,22.5654
454,-38.4354,-3.7692
453,-72.7746,19.2479
452,101.3929,2.9971
449,87.0587,21.4763
448,124.5971,11.0129
447,123.9921,12.8679
442,123.9996,9.6046
442,-90.9604,13.9154
439,98.6737,3.7729
438,31.8457,31.5241
437,80.1754,6.0638
436,116.0437,5.9129
435,125.0304,10.9271
434,109.9204,21.4238
430,120.7104,14.2921
430,125.0079,11.2163
430,100.4229,5.2829
429,121.5804,28.4929
428,110.2137,-7.9763
426,124.5362,12.0629
425,108.8712,15.1446
425,91.9637,21.6671
424,123.8387,10.2363
424,101.2446,12.6638
423,-51.2337,-30.0471
421,88.6721,22.3263
420,114.5529,-3.3379
419,119.7071,26.7721
418,81.4037,16.3454
417,9.3229,4.0096
417,97.6367,16.2758
417,72.8587,19.3421
416,122.8171,9.3546
416,120.0587,14.9463
416,108.5483,15.5967
415,6.9367,36.8825
415,76.5187,9.0188
415,122.0837,6.8996
414,-91.3113,13.9554
413,120.5562,14.7021
413,-92.2238,14.5346
413,122.9962,8.2154
413,121.4346,18.4413
413,72.8587,20.4663
413,75.4554,11.7779
412,124.7996,11.3779
411,72.8862,19.2983
411,124.6657,8.4832
410,-64.7096,10.1654
410,-13.2401,8.4882
409,72.7971,21.0596
409,75.2796,11.9713
406,-10.3771,6.1396
405,75.1796,12.0829
403,121.1421,13.4071
403,72.8071,20.9371
401,96.2987,16.6071
400,88.0787,22.2846
400,100.2921,5.29
400,96.2712,16.7988
399,126.3404,8.3671
399,-88.7579,15.8104
397,125.5417,7.0437
396,6.0696,4.3913
395,123.0737,10.9146
395,123.1671,9.5263
393,109.0721,21.6113
392,72.6062,21.8979
392,82.2504,16.9138
391,122.4733,8.0725
391,106.4655,9.9332
389,94.1462,18.8321
389,125.6604,7.1567
387,106.7596,20.8238
386,-92.0971,14.4404
386,120.4558,17.3863
386,124.7754,10.3446
385,100.5962,13.6013
385,113.4818,22.5751
384,94.2617,18.5546
383,110.3871,20.0108
382,12.4671,-6.0671
381,119.4712,25.6704
381,120.7571,27.9788
380,31.0404,-29.81
377,123.7304,13.3679
377,96.1171,16.8288
377,105.4162,9.025
376,124.6071,8.5196
376,-43.6229,-23.0079
375,122.8596,10.3979
374,72.8587,21.6696
373,95.0187,16.3513
372,-13.2521,8.4863
372,108.8063,-6.7757
371,125.2254,6.0971
371,98.4021,7.8738
371,98.6062,12.9579
370,-10.7875,6.3887
368,30.3858,31.4433
368,101.7037,12.6988
368,98.3954,7.8571
368,103.1062,5.3242
368,116.8037,23.4221
367,124.9162,12.5663
367,121.4754,31.4238
367,7.7708,36.8667
365,92.0467,21.2938
365,72.8862,19.3154
365,123.5679,13.7088
364,125.1121,8.8321
364,79.9958,6.4271
362,90.7804,22.8013
362,120.4821,18.0604
361,105.1037,9.8896
361,106.4571,-6.0363
360,6.7212,4.8271
360,100.1387,6.3804
359,122.0404,11.0117
359,-43.2108,-22.8979
358,100.4379,7.2504
358,122.8596,10.3963
357,111.3471,1.3479
357,-13.5129,9.5046
356,-91.6646,14.1246
355,120.3779,16.8617
355,125.6829,9.5979
354,121.5579,15.7838
354,-79.8396,-2.3979
353,-43.2121,-22.7263
352,97.2296,16.8871
352,110.4012,-6.9521
351,-12.3471,7.3779
350,30.9779,-29.9679
348,-79.4929,9.0046
348,-79.4929,9.0046
347,78.1254,8.6438
347,125.6987,7.2929
346,121.0612,13.7204
346,-35.7296,-9.6696
344,72.8071,19.3021
344,103.7662,1.4567
344,125.9546,9.3721
343,-1.6171,5.0275
342,72.9137,22.2788
342,124.6904,11.3029
341,-11.5946,6.9746
341,99.994,13.376
341,-64.1904,10.4563
341,119.7796,16.1271
340,-34.8229,-7.1238
340,120.7571,14.3254
338,13.2512,32.9088
338,79.8437,7.2729
336,113.4071,23.0863
336,-7.6163,33.6063
334,124.1649,7.1993
334,79.7871,7.5979
334,96.0921,16.8313
333,49.4612,37.4783
332,111.4971,2.1388
330,75.1721,12.1088
330,123.9375,10.2846
330,90.0312,22.6488
330,123.8087,10.2379
329,73.4979,15.9846
329,96.1346,16.7663
329,109.2454,13.8679
328,119.1854,37.1438
328,122.2854,11.7596
328,69.7796,21.4579
325,103.6171,2.6554
325,105.6129,18.9854
324,82.2437,16.7104
324,79.8137,11.3646
324,106.9062,-6.1038
324,98.6004,12.4263
323,75.1504,12.1296
323,106.5479,-7.0288
323,122.4508,11.6104
321,97.8179,15.2088
321,122.0562,6.9113
320,121.0396,13.7633
319,-71.6804,19.8413
319,-43.0337,-22.6929
319,73.3979,16.5113
318,119.6187,26.2487
317,115.4704,5.2329
315,90.075,22.6471
313,-72.8571,19.9413
313,28.5087,40.3913
313,74.6729,13.6363
311,125.4879,12.0329
311,80.5529,5.9438
311,-61.5004,10.2463
309,83.2946,17.6888
309,7.7604,36.8863
309,90.4146,22.7513
309,124.5204,9.8458
309,-61.5612,10.6754
309,-71.5954,9.0363
308,-71.0771,9.4921
308,86.8337,21.2063
307,110.4737,1.5438
307,108.2571,-7.8021
307,100.1721,8.3746
306,147.0179,-6.7388
306,120.9071,27.9946
305,-39.0396,-14.8029
305,-16.7054,13.4621
304,120.2371,31.9304
303,100.4062,5.3404
303,-43.2675,-22.8212
303,107.0254,10.5396
302,125.3779,6.7338
302,110.6512,1.3996
302,96.1204,16.7946
302,110.655,1.3987
302,122.6137,7.7654
301,126.0187,9.2679
301,123.5796,7.8471
301,73.4646,16.0979
301,28.8579,40.9746
299,100.3112,5.3413
298,79.7912,11.7588
298,76.3187,9.8708
297,122.3721,10.6713
297,-79.4804,9.0071
297,-79.4804,9.0071
296,78.8337,9.2458
294,122.1512,11.8254
294,-44.2921,-2.5213
294,101.8312,6.445
293,120.4379,17.0879
290,125.9929,9.3046
289,124.8787,11.7796
289,124.0096,12.9696
288,125.1954,6.1021
288,79.7679,11.4896
287,84.1292,18.3463
286,95.3883,16.2687
286,121.0737,12.3471
285,112.6312,-7.0746
285,109.0112,-6.7946
284,-77.3629,17.8413
284,100.3832,5.3624
284,123.7587,13.0654
284,109.4971,18.2354
283,124.8417,1.4996
283,106.2579,-5.9558
282,38.9733,-5.4304
282,102.0862,12.5354
281,2.8046,36.6971
280,-41.0412,-21.6204
280,74.9883,12.4754
280,113.0804,22.465
280,120.3404,16.7196
280,-3.2779,5.1513
279,120.8054,32.0179
279,123.7554,8.0096
279,-13.1404,8.9188
279,-6.6521,34.2704
279,3.8554,36.9113
278,-79.5058,8.9825
278,-79.5058,8.9825
278,4.7671,6.1126
278,123.0962,11.1638
278,106.6804,-7.4204
278,123.3087,10.9592
278,72.8354,19.2504
277,124.8512,10.1317
276,73.3167,16.9604
276,124.0379,7.1046
276,103.2079,5.2013
275,-72.3575,18.5371
275,125.3896,8.9829
274,28.8496,40.9746
274,125.5354,9.0738
274,92.0004,21.5088
273,122.7362,11.6071
273,122.2429,10.6367
272,-70.0546,18.3704
272,106.0321,19.9604
272,115.3154,22.8813
271,110.3071,20.0396
270,122.1462,6.6721
270,102.5671,12.1946
270,101.6425,6.7104
270,115.0146,4.8504
270,125.4429,11.9846
268,-0.5913,5.3588
268,108.6037,21.8513
268,74.7071,13.3388
268,119.9921,15.2971
267,92.7121,20.5729
267,-56.2162,-34.8729
267,106.3971,-6.0054
267,31.0087,-29.8888
267,18.7671,-34.0788
267,120.3379,16.6829
267,105.8179,-5.5738
266,125.0304,11.0821
266,121.4329,30.2713
266,125.6571,7.1129
266,119.7796,34.4671
266,-72.4138,18.5538
266,110.3904,21.2796
265,123.1329,11.4946
265,1.0029,6.0163
264,1.6091,6.2317
263,120.4562,17.4204
263,80.8379,15.7604
262,126.1762,9.0804
261,123.8621,9.7154
260,120.3396,16.7146
260,5.0767,36.7237
260,-13.6904,9.9488
259,-58.3004,-34.6679
258,124.0454,7.6113
258,108.7796,15.3596
257,118.1046,5.8704
256,120.255,14.8492
256,126.0446,9.2404
255,112.8146,-7.4763
254,-6.1038,4.9746
253,-79.6996,8.8746
