year,value
1980,75
1981,76
1982,78
1983,86
1984,92
1985,97
1986,103
1987,112
1988,119
1989,123
1990,130
1991,135
1992,144
1993,150
1994,164
1995,171
1996,183
1997,197
1998,206
1999,222
2000,234
2001,240
2002,255
2003,266
2004,284
2005,292
2006,310
2007,328
2008,313
2009,321
2010,349
2011,363
2012,377
2013,394
2014,401
2015,413
2016,420
2017,432
2018,446
2019,460
2020,450
2021,461
2022,475
2023,489
2024,503
2025,516
2026,530
2027,544
2028,558
2029,573
2030,589
2031,605
2032,622
2033,638
2034,656
2035,673
2036,691
2037,709
2038,727
2039,746
2040,766
2041,785
2042,805
2043,825
2044,845
2045,866
2046,887
2047,909
2048,931
2049,953
2050,976
2051,999
2052,1022
2053,1047
2054,1071
2055,1097
2056,1122
2057,1148
2058,1175
2059,1203
2060,1231
