year,fate,value
2019,mismanaged,79.3
2019,landfilled,173.9
2019,incinerated,67.3
2019,recycled,32.8
2020,mismanaged,80.6
2020,landfilled,177
2020,incinerated,68
2020,recycled,34.3
2021,mismanaged,81.7
2021,landfilled,181.3
2021,incinerated,69.6
2021,recycled,36.1
2022,mismanaged,83.1
2022,landfilled,186.6
2022,incinerated,71.5
2022,recycled,38.1
2023,mismanaged,84.2
2023,landfilled,191.6
2023,incinerated,73.4
2023,recycled,40.1
2024,mismanaged,85.3
2024,landfilled,196.5
2024,incinerated,75.1
2024,recycled,42.1
2025,mismanaged,86.4
2025,landfilled,201.5
2025,incinerated,76.7
2025,recycled,44.1
2026,mismanaged,87.7
2026,landfilled,206.9
2026,incinerated,78.5
2026,recycled,46.3
2027,mismanaged,89
2027,landfilled,212.6
2027,incinerated,80.3
2027,recycled,48.5
2028,mismanaged,90.5
2028,landfilled,218.7
2028,incinerated,82.2
2028,recycled,51
2029,mismanaged,91.9
2029,landfilled,224.9
2029,incinerated,84.2
2029,recycled,53.5
2030,mismanaged,93.4
2030,landfilled,231.3
2030,incinerated,86.3
2030,recycled,56.2
2031,mismanaged,94.9
2031,landfilled,237.8
2031,incinerated,88.4
2031,recycled,58.9
2032,mismanaged,96.4
2032,landfilled,244.5
2032,incinerated,90.5
2032,recycled,61.8
2033,mismanaged,98
2033,landfilled,251.4
2033,incinerated,92.8
2033,recycled,64.8
2034,mismanaged,99.7
2034,landfilled,258.6
2034,incinerated,95.1
2034,recycled,67.8
2035,mismanaged,101.4
2035,landfilled,266
2035,incinerated,97.4
2035,recycled,71
2036,mismanaged,103.1
2036,landfilled,273.6
2036,incinerated,99.9
2036,recycled,74.3
2037,mismanaged,105
2037,landfilled,281.4
2037,incinerated,102.4
2037,recycled,77.6
2038,mismanaged,107
2038,landfilled,289.3
2038,incinerated,104.9
2038,recycled,81.1
2039,mismanaged,109
2039,landfilled,297.4
2039,incinerated,107.5
2039,recycled,84.6
2040,mismanaged,111.1
2040,landfilled,305.6
2040,incinerated,110.2
2040,recycled,88.3
2041,mismanaged,113.1
2041,landfilled,314
2041,incinerated,112.9
2041,recycled,92
2042,mismanaged,115.2
2042,landfilled,322.6
2042,incinerated,115.6
2042,recycled,95.8
2043,mismanaged,117.3
2043,landfilled,331.4
2043,incinerated,118.4
2043,recycled,99.7
2044,mismanaged,119.4
2044,landfilled,340.4
2044,incinerated,121.3
2044,recycled,103.6
2045,mismanaged,121.6
2045,landfilled,349.6
2045,incinerated,124.2
2045,recycled,107.7
2046,mismanaged,123.7
2046,landfilled,359
2046,incinerated,127.2
2046,recycled,111.7
2047,mismanaged,125.7
2047,landfilled,368.4
2047,incinerated,130.3
2047,recycled,115.9
2048,mismanaged,127.8
2048,landfilled,378.1
2048,incinerated,133.5
2048,recycled,120.2
2049,mismanaged,129.8
2049,landfilled,387.9
2049,incinerated,136.7
2049,recycled,124.5
2050,mismanaged,131.9
2050,landfilled,397.8
2050,incinerated,139.9
2050,recycled,128.9
2051,mismanaged,134
2051,landfilled,407.8
2051,incinerated,143.3
2051,recycled,133.4
2052,mismanaged,136
2052,landfilled,418
2052,incinerated,146.8
2052,recycled,137.9
2053,mismanaged,138
2053,landfilled,428.4
2053,incinerated,150.4
2053,recycled,142.5
2054,mismanaged,140
2054,landfilled,438.9
2054,incinerated,154.1
2054,recycled,147.1
2055,mismanaged,142.1
2055,landfilled,449.6
2055,incinerated,157.9
2055,recycled,151.8
2056,mismanaged,144.2
2056,landfilled,460.5
2056,incinerated,161.9
2056,recycled,156.4
2057,mismanaged,146.3
2057,landfilled,471.6
2057,incinerated,166
2057,recycled,161.2
2058,mismanaged,148.4
2058,landfilled,483
2058,incinerated,170.2
2058,recycled,166
2059,mismanaged,150.5
2059,landfilled,494.5
2059,incinerated,174.5
2059,recycled,171
2060,mismanaged,152.6
2060,landfilled,506.5
2060,incinerated,179.1
2060,recycled,175.9
