iso3c,skill,group,value
AFG,OCU_ISCO08_0,urban,1.720358623
AFG,OCU_ISCO08_1,urban,3.676759758
AFG,OCU_ISCO08_2,urban,1.432242645
AFG,OCU_ISCO08_3,urban,2.545413459
AFG,OCU_ISCO08_4,urban,0.8994339999
AFG,OCU_ISCO08_5,urban,2.340573866
AFG,OCU_ISCO08_6,urban,0.1308683517
AFG,OCU_ISCO08_7,urban,1.868440854
AFG,OCU_ISCO08_8,urban,1.490497078
AFG,OCU_ISCO08_9,urban,1.348475478
AGO,OCU_ISCO08_0,urban,1.629367917
AGO,OCU_ISCO08_1,urban,1.411593617
AGO,OCU_ISCO08_2,urban,1.69328959
AGO,OCU_ISCO08_3,urban,1.752318065
AGO,OCU_ISCO08_4,urban,1.779817096
AGO,OCU_ISCO08_5,urban,1.683978224
AGO,OCU_ISCO08_6,urban,0.3726861165
AGO,OCU_ISCO08_7,urban,1.718435736
AGO,OCU_ISCO08_8,urban,1.699496742
AGO,OCU_ISCO08_9,urban,1.66931748
ALB,OCU_ISCO08_0,urban,1.314343356
ALB,OCU_ISCO08_1,urban,1.448447083
ALB,OCU_ISCO08_2,urban,1.460797045
ALB,OCU_ISCO08_3,urban,1.432921541
ALB,OCU_ISCO08_4,urban,1.44480012
ALB,OCU_ISCO08_5,urban,1.278878526
ALB,OCU_ISCO08_6,urban,0.1217380811
ALB,OCU_ISCO08_7,urban,1.113442491
ALB,OCU_ISCO08_8,urban,1.307115373
ALB,OCU_ISCO08_9,urban,1.202629134
ARM,OCU_ISCO08_1,urban,1.499097513
ARM,OCU_ISCO08_2,urban,1.493525679
ARM,OCU_ISCO08_3,urban,1.448470954
ARM,OCU_ISCO08_4,urban,1.492337812
ARM,OCU_ISCO08_5,urban,1.332374132
ARM,OCU_ISCO08_6,urban,0.1076782777
ARM,OCU_ISCO08_7,urban,1.321676743
ARM,OCU_ISCO08_8,urban,1.338980534
ARM,OCU_ISCO08_9,urban,1.209255421
AUS,OCU_ISCO08_0,urban,0.8168890955
AUS,OCU_ISCO08_1,urban,1.068812686
AUS,OCU_ISCO08_2,urban,1.097067716
AUS,OCU_ISCO08_3,urban,1.045030797
AUS,OCU_ISCO08_4,urban,1.020251337
AUS,OCU_ISCO08_5,urban,0.9539840017
