year,value
1975,869
1976,924
1977,978
1978,1033
1979,1088
1980,1143
1981,1228
1982,1313
1983,1399
1984,1484
1985,1569
1986,1647
1987,1724
1988,1801
1989,1878
1990,1956
1991,2053
1992,2150
1993,2247
1994,2345
1995,2442
1996,2512
1997,2582
1998,2652
1999,2722
2000,2792
2001,2847
2002,2902
2003,2957
2004,3013
2005,3068
2006,3192
2007,3317
2008,3442
2009,3566
2010,3691
2011,3868
2012,4045
2013,4223
2014,4400
2015,4577
2016,4843
2017,5110
2018,5376
2019,5642
2020,5909
2021,6068
2022,6227
2023,6387
2024,6546
2025,6706
2026,6888
2027,7071
2028,7254
2029,7437
2030,7619
2031,7793
2032,7966
2033,8139
2034,8312
2035,8485
2036,8648
2037,8811
2038,8974
2039,9136
2040,9299
2041,9449
2042,9599
2043,9748
2044,9898
2045,10048
2046,10195
2047,10342
2048,10489
2049,10636
2050,10783
