income,year,value
HIC,2000,27841.814
HIC,2001,28243.309
HIC,2002,28644.804
HIC,2003,29046.299
HIC,2004,29447.795
HIC,2005,29849.29
HIC,2006,30311.218
HIC,2007,30773.146
HIC,2008,31235.074
HIC,2009,31697.002
HIC,2010,32158.93
HIC,2011,32641.095
HIC,2012,33123.261
HIC,2013,33605.427
HIC,2014,34087.593
HIC,2015,34569.758
HIC,2016,34969.169
HIC,2017,35368.579
HIC,2018,35767.989
HIC,2019,36167.4
HIC,2020,36566.81
HIC,2021,37238.193
HIC,2022,37909.577
HIC,2023,38580.96
HIC,2024,39252.344
HIC,2025,39923.727
HIC,2026,40612.044
HIC,2027,41300.361
HIC,2028,41988.677
HIC,2029,42676.994
HIC,2030,43365.311
HIC,2031,43671.467
HIC,2032,43977.622
HIC,2033,44283.778
HIC,2034,44589.934
HIC,2035,44896.089
HIC,2036,45202.927
HIC,2037,45509.765
HIC,2038,45816.603
HIC,2039,46123.441
HIC,2040,46430.279
HIC,2041,46693.099
HIC,2042,46955.919
HIC,2043,47218.739
HIC,2044,47481.559
HIC,2045,47744.379
HIC,2046,47990.652
HIC,2047,48236.925
HIC,2048,48483.197
HIC,2049,48729.47
HIC,2050,48975.742
LIC,2000,2860.611
LIC,2001,2944.012
LIC,2002,3027.414
LIC,2003,3110.815
LIC,2004,3194.216
LIC,2005,3277.618
LIC,2006,3381.796
LIC,2007,3485.973
LIC,2008,3590.151
LIC,2009,3694.329
LIC,2010,3798.507
LIC,2011,3919.228
LIC,2012,4039.949
LIC,2013,4160.671
LIC,2014,4281.392
LIC,2015,4402.113
LIC,2016,4516.626
LIC,2017,4631.138
LIC,2018,4745.65
LIC,2019,4860.163
LIC,2020,4974.675
LIC,2021,5166.857
LIC,2022,5359.04
LIC,2023,5551.222
LIC,2024,5743.405
LIC,2025,5935.587
LIC,2026,6154.78
LIC,2027,6373.972
LIC,2028,6593.165
LIC,2029,6812.358
LIC,2030,7031.55
LIC,2031,7300.06
LIC,2032,7568.57
LIC,2033,7837.08
LIC,2034,8105.59
LIC,2035,8374.1
LIC,2036,8674.455
LIC,2037,8974.811
LIC,2038,9275.166
LIC,2039,9575.522
LIC,2040,9875.877
LIC,2041,10238.094
LIC,2042,10600.311
LIC,2043,10962.529
LIC,2044,11324.746
LIC,2045,11686.963
LIC,2046,12085.401
LIC,2047,12483.839
LIC,2048,12882.277
LIC,2049,13280.715
LIC,2050,13679.153
LMC,2000,16544.256
LMC,2001,17061.439
LMC,2002,17578.622
LMC,2003,18095.805
LMC,2004,18612.987
LMC,2005,19130.17
LMC,2006,19775.441
LMC,2007,20420.712
LMC,2008,21065.983
LMC,2009,21711.254
LMC,2010,22356.525
LMC,2011,23051.648
LMC,2012,23746.771
LMC,2013,24441.893
LMC,2014,25137.016
LMC,2015,25832.139
LMC,2016,26292.908
LMC,2017,26753.678
LMC,2018,27214.448
LMC,2019,27675.217
LMC,2020,28135.987
LMC,2021,29138.847
LMC,2022,30141.706
LMC,2023,31144.566
LMC,2024,32147.425
LMC,2025,33150.285
LMC,2026,34253.316
LMC,2027,35356.348
LMC,2028,36459.38
LMC,2029,37562.411
LMC,2030,38665.443
LMC,2031,39891.4
LMC,2032,41117.358
LMC,2033,42343.315
LMC,2034,43569.273
LMC,2035,44795.231
LMC,2036,46087.738
LMC,2037,47380.246
LMC,2038,48672.753
LMC,2039,49965.26
LMC,2040,51257.768
LMC,2041,52631.535
LMC,2042,54005.301
LMC,2043,55379.068
LMC,2044,56752.835
LMC,2045,58126.602
LMC,2046,59565.048
LMC,2047,61003.494
LMC,2048,62441.94
LMC,2049,63880.386
LMC,2050,65318.832
UMC,2000,31354.637
UMC,2001,32162.356
UMC,2002,32970.075
UMC,2003,33777.794
UMC,2004,34585.513
UMC,2005,35393.232
UMC,2006,36359.578
UMC,2007,37325.923
UMC,2008,38292.268
UMC,2009,39258.613
UMC,2010,40224.959
UMC,2011,41254.267
UMC,2012,42283.575
UMC,2013,43312.883
UMC,2014,44342.191
UMC,2015,45371.5
UMC,2016,45970.404
UMC,2017,46569.309
UMC,2018,47168.213
UMC,2019,47767.118
UMC,2020,48366.023
UMC,2021,49311.222
UMC,2022,50256.421
UMC,2023,51201.621
UMC,2024,52146.82
UMC,2025,53092.019
UMC,2026,54064.56
UMC,2027,55037.102
UMC,2028,56009.643
UMC,2029,56982.184
UMC,2030,57954.726
UMC,2031,58587.254
UMC,2032,59219.782
UMC,2033,59852.311
UMC,2034,60484.839
UMC,2035,61117.367
UMC,2036,61773.479
UMC,2037,62429.591
UMC,2038,63085.702
UMC,2039,63741.814
UMC,2040,64397.926
UMC,2041,64910.001
UMC,2042,65422.077
UMC,2043,65934.152
UMC,2044,66446.228
UMC,2045,66958.304
UMC,2046,67440.697
UMC,2047,67923.09
UMC,2048,68405.483
UMC,2049,68887.876
UMC,2050,69370.269
