iso3c,value
AFG,21.06715731
AGO,41.62754304
ARM,10.15761821
BDI,86.55913978
BEN,39.14940022
BFA,94.00352734
BGD,21.97614991
BIH,5.827067669
BLZ,15.22758621
BOL,-1.249273678
BRA,70.92651757
BRN,9.341684435
BTN,21.54368109
CHE,12.20541834
CHL,28.23860213
CIV,34.50608931
COD,336.2704918
COL,63.58525921
COM,22.39509665
CRI,23.25404377
DOM,19.31914894
ECU,38.90880127
EGY,-0.9589041096
ETH,26.70565302
FRA,23.22990127
GHA,-11.50971599
GMB,-1.639344262
GRC,10.30283608
GTM,47.61675494
GUY,14.30594901
HND,79.7633873
IDN,39.81154299
IND,44.52554745
JAM,59.25155925
JOR,-17.51487112
KEN,121.4876033
KHM,27.96536797
KIR,-22.30977592
LAO,-8.501683502
LBR,-16.07415485
LKA,54.29799427
LSO,58.49335303
MDA,41.0440613
MDG,82.15488215
MEX,37.84576697
MHL,2.871329879
MLI,-11.83953033
MMR,53.25520833
MNG,28.31683168
MWI,71.88049209
NAM,55.98349381
NGA,44.40789474
NIC,59.77653631
NPL,1.612903226
PAK,32.92117465
PAN,53.87896561
PER,40.01810774
PHL,9.823284823
PRY,26.28083491
RWA,80.65268065
SDN,-8.534531162
SEN,15.14930808
SLV,38.87480993
SWZ,-51.76751247
THA,29.6579658
TJK,29.69348659
TLS,11.82348043
TON,-2.787246842
TUN,34.52647278
TUR,32.85024155
TZA,17.88526434
UGA,32.73596177
URY,36.10526316
USA,22.84580662
VNM,26.57004831
VUT,-6.446469248
WSM,4.22088226
ZAF,97.827051
ZMB,47.13286713
