lng,lat,year,value
44.5021,40.804,2000,77646
44.5061,40.1803,2000,1153392
138.5863,-34.8888,2000,707798
153.027,-27.4759,2000,570066
150.7042,-33.7608,2000,72402
150.7965,-34.0554,2000,90640
153.4238,-28.0368,2000,106604
138.5297,-35.108,2000,54549
147.3049,-42.8703,2000,58690
145.1475,-38.1415,2000,63334
145.0586,-37.8309,2000,2342596
151.7163,-32.9293,2000,141400
115.7831,-31.9013,2000,642547
144.6974,-37.8757,2000,56283
151.079,-33.859,2000,2858429
15.4349,47.062,2000,205362
11.4046,47.268,2000,110003
14.3081,46.6232,2000,63841
14.2948,48.2822,2000,201962
13.0421,47.8046,2000,122447
16.3626,48.2003,2000,1543803
49.8694,40.4119,2000,1618702
46.3474,40.687,2000,343303
48.0615,39.8691,2000,50822
48.8429,38.7521,2000,79626
47.0204,40.7667,2000,119726
45.4019,39.2016,2000,99931
47.175,41.1925,2000,68833
49.6552,40.5812,2000,297051
48.9275,39.9426,2000,67218
-77.3317,25.0446,2000,188854
50.5779,26.2079,2000,557983
90.2149,22.9925,2000,75249
91.2144,23.8845,2000,85954
88.9457,23.7592,2000,85922
91.1156,24.2775,2000,80853
89.7925,22.6566,2000,212486
89.4545,25.5319,2000,55563
90.1598,22.7885,2000,72118
88.7387,24.3467,2000,68697
91.3584,24.5242,2000,120117
91.5237,22.9038,2000,56580
90.119,22.1584,2000,140311
90.3611,22.6999,2000,586073
92.1898,24.6995,2000,81371
92.1595,24.8171,2000,81393
89.6014,24.1597,2000,285676
89.6878,24.2756,2000,447472
88.9009,23.044,2000,70742
89.6213,24.0768,2000,88238
90.3858,24.3985,2000,80233
90.062,22.4851,2000,73143
88.9835,24.0241,2000,82847
90.6437,22.6826,2000,284756
88.9895,25.3889,2000,63362
88.654,25.8607,2000,67929
89.0561,25.6724,2000,50669
89.3698,24.8477,2000,554401
90.9801,24.0466,2000,1500922
91.5159,23.0372,2000,54740
92.0041,22.1869,2000,474805
90.6607,23.2287,2000,413214
88.2457,24.6015,2000,442080
89.8965,25.0647,2000,57404
90.7574,22.1851,2000,62520
91.8104,22.3729,2000,3779341
90.6474,23.4483,2000,120724
91.6625,25.0344,2000,119206
89.8734,22.7967,2000,56187
88.8452,23.6429,2000,160503
91.9979,21.4388,2000,243633
90.7425,22.6023,2000,57416
90.5792,23.7517,2000,17434596
89.9496,24.6772,2000,62286
88.6377,25.6293,2000,337842
91.3586,24.7969,2000,51412
88.8255,26.1039,2000,55929
90.6778,25.1225,2000,69954
89.9991,24.3528,2000,231748
89.7154,22.7753,2000,55736
89.4535,24.1741,2000,57789
89.8353,23.6023,2000,322968
91.3965,23.0165,2000,323799
90.55,24.4534,2000,116602
89.5421,25.3291,2000,250666
89.1721,25.8626,2000,138236
89.9786,24.4816,2000,108285
89.3896,25.1334,2000,101164
88.3261,24.4678,2000,56720
88.2659,24.7734,2000,55126
89.8311,23.0087,2000,204348
90.5627,24.7498,2000,58513
89.2543,24.3719,2000,80443
91.4139,24.3811,2000,160626
90.3413,25.124,2000,74154
89.316,25.8197,2000,130340
89.0462,23.6559,2000,51388
91.1459,22.2795,2000,62776
89.0145,26.0168,2000,75516
89.9464,24.9217,2000,323282
89.2111,23.1652,2000,568637
90.1993,22.6426,2000,192154
89.1727,23.5435,2000,237138
89.0991,23.1023,2000,62348
89.0298,25.1004,2000,123067
90.2257,21.9843,2000,53089
89.1354,23.4079,2000,87655
89.1658,26.0381,2000,67428
90.2255,23.0735,2000,61406
88.1779,24.7182,2000,69562
91.1376,23.7456,2000,56140
90.8041,24.2503,2000,87528
89.6124,24.6441,2000,79941
90.8417,24.6631,2000,51511
89.2195,22.9083,2000,76071
91.9856,23.11,2000,79662
89.5472,22.8373,2000,1381808
90.7579,24.4197,2000,557212
89.2232,22.358,2000,57865
92.0318,24.5146,2000,85026
89.2406,23.8586,2000,53167
89.6421,25.8107,2000,181747
89.1246,23.9032,2000,385981
91.9313,21.8017,2000,464104
90.7363,22.3407,2000,74498
89.4362,25.9127,2000,180264
88.8991,24.1849,2000,279824
90.1504,23.5938,2000,136349
89.7249,24.9042,2000,61937
90.2031,23.1709,2000,202984
91.2632,24.0599,2000,140392
90.0299,24.608,2000,160207
89.4197,23.4889,2000,201037
90.0001,23.8534,2000,125977
90.1686,23.4096,2000,96150
89.9582,22.2883,2000,70120
90.525,22.8244,2000,67288
88.6319,23.7718,2000,88623
90.9785,24.8721,2000,87289
89.7676,25.3368,2000,134424
89.6079,22.4705,2000,63726
89.2314,23.0235,2000,68007
89.8558,22.4532,2000,55214
91.7756,24.4866,2000,215416
90.2616,24.761,2000,154846
90.4131,22.9156,2000,65248
90.4035,24.7517,2000,530081
89.6913,25.9686,2000,75944
90.6717,22.5957,2000,64989
90.1922,25.0897,2000,95680
88.9505,24.8093,2000,295641
89.5039,23.1724,2000,101700
90.7267,23.3653,2000,78241
91.2249,24.2163,2000,62061
88.9835,24.4112,2000,181741
91.8063,22.6562,2000,272884
90.7267,24.8796,2000,211491
90.9178,24.3276,2000,96293
88.852,25.9338,2000,126189
89.4012,23.0265,2000,181942
89.2371,24.0065,2000,357227
89.3503,22.5628,2000,178202
88.5572,26.3363,2000,189977
89.4147,23.798,2000,65283
88.9149,25.656,2000,50276
89.02,26.3469,2000,61032
90.3387,22.3583,2000,268948
88.9504,25.4995,2000,68378
90.27,24.6348,2000,100018
90.3592,24.9527,2000,70830
88.3604,25.8571,2000,52815
89.9723,22.5783,2000,144170
89.3501,25.2821,2000,83352
89.6413,23.7564,2000,162421
90.0266,23.2257,2000,122020
88.6106,24.3824,2000,532721
92.1742,22.6536,2000,93384
89.2479,25.7474,2000,532729
92.0765,22.4619,2000,166224
91.9218,22.5309,2000,75648
89.5488,25.0857,2000,117547
88.8989,25.7805,2000,191325
91.476,22.4847,2000,232654
90.3101,22.8014,2000,51691
91.891,22.0815,2000,64870
89.546,24.881,2000,77553
89.8351,24.7577,2000,92168
89.0744,22.7164,2000,282273
90.2169,23.9742,2000,1629118
91.167,24.0524,2000,67058
90.9541,23.2569,2000,67564
91.3375,24.2515,2000,78972
90.1709,24.3205,2000,68920
90.3706,23.2919,2000,171412
89.417,24.6661,2000,163003
90.0167,25.019,2000,341996
90.1655,23.3436,2000,95289
91.0457,23.8762,2000,74924
89.2183,24.9726,2000,79453
89.7007,24.4456,2000,328045
91.7315,24.3127,2000,163364
