iso3c,group,year,value
EAS,urban,1960,259154502
EAS,rural,1960,783664118
ECS,urban,1960,367108495
ECS,rural,1960,300778861
LCN,urban,1960,106842307
LCN,rural,1960,111782388
MEA,urban,1960,46897834
MEA,rural,1960,111035558
NAC,urban,1960,138840398
NAC,rural,1960,59782166
SAS,urban,1960,82868487
SAS,rural,1960,425050831
SSF,urban,1960,32659645
SSF,rural,1960,195047008
WLD,urban,1960,1034371668
WLD,rural,1960,1987140930
EAS,urban,1961,259407868
EAS,rural,1961,785342020
ECS,urban,1961,375113657
ECS,rural,1961,300434977
LCN,urban,1961,111409687
LCN,rural,1961,113327634
MEA,urban,1961,49129972
MEA,rural,1961,112938684
NAC,urban,1961,142178708
NAC,rural,1961,59826415
SAS,urban,1961,85470584
SAS,rural,1961,434946313
SSF,urban,1961,34279592
SSF,rural,1961,198962005
WLD,urban,1961,1056990068
WLD,rural,1961,2005778048
EAS,urban,1962,252013822
EAS,rural,1962,807202772
ECS,urban,1962,382932370
ECS,rural,1962,300408829
LCN,urban,1962,116188462
LCN,rural,1962,114849799
MEA,urban,1962,51527193
MEA,rural,1962,114863742
NAC,urban,1962,145456927
NAC,rural,1962,59739312
SAS,urban,1962,88237658
SAS,rural,1962,444924886
SSF,urban,1962,36018945
SSF,rural,1962,203007470
WLD,urban,1962,1072375377
WLD,rural,1962,2044996810
EAS,urban,1963,256225967
EAS,rural,1963,828869457
ECS,urban,1963,391187850
ECS,rural,1963,300001554
LCN,urban,1963,121175861
LCN,rural,1963,116323815
MEA,urban,1963,54010971
MEA,rural,1963,116870310
NAC,urban,1963,148679189
NAC,rural,1963,59572151
SAS,urban,1963,91161648
SAS,rural,1963,454949565
SSF,urban,1963,37870548
SSF,rural,1963,207164163
WLD,urban,1963,1100312034
WLD,rural,1963,2083751015
EAS,urban,1964,273941700
EAS,rural,1964,836709477
ECS,urban,1964,399894685
ECS,rural,1964,299163750
LCN,urban,1964,126351818
LCN,rural,1964,117728734
MEA,urban,1964,56568051
MEA,rural,1964,118980631
NAC,urban,1964,151869992
NAC,rural,1964,59390418
SAS,urban,1964,94270637
SAS,rural,1964,465090773
SSF,urban,1964,39840306
SSF,rural,1964,211452228
WLD,urban,1964,1142737189
WLD,rural,1964,2108516011
