iso3c,income_level_iso3c_25,income_level_iso3c_90,average_gdp_growth_15_24
SRB,UMC,,4.16
SSD,LIC,,
STP,LMC,LIC,0.5
SUR,UMC,UMC,-2.09
SVK,HIC,,2.41
SVN,HIC,,2.61
SWE,HIC,HIC,1.05
SWZ,LMC,LMC,1.32
SXM,HIC,,-1.06
SYC,HIC,UMC,1.64
SYR,LIC,LMC,
TCA,HIC,,10.92
TCD,LIC,LIC,-0.7
TGO,LIC,LIC,2.38
THA,UMC,LMC,1.76
TJK,LMC,,4.93
TKM,UMC,,3.66
TLS,LMC,,0.46
TON,UMC,LMC,
TTO,HIC,UMC,-2.06
TUN,LMC,LMC,-0.02
TUR,UMC,LMC,3.72
TUV,UMC,,
TZA,LMC,LIC,2.07
UGA,LIC,LIC,1.56
UKR,UMC,,0.11
URY,HIC,UMC,1.08
USA,HIC,HIC,1.84
UZB,LMC,,3.89
VCT,UMC,LMC,2.94
VEN,INX,UMC,
VGB,HIC,,
VIR,HIC,HIC,
VNM,LMC,LIC,5.13
VUT,LMC,LMC,-0.36
WSM,UMC,LMC,1.15
XKX,UMC,,6.12
YEM,LIC,LMC,
ZAF,UMC,UMC,-0.71
ZMB,LMC,LIC,0.39
ZWE,LMC,LMC,0.41
