iso3c,date,group,unemployment
WLD,1991,total,5.13
WLD,1991,youth,11.58
WLD,1991,male,5.14
WLD,1991,female,5.12
WLD,1992,total,5.29
WLD,1992,youth,11.85
WLD,1992,male,5.33
WLD,1992,female,5.23
WLD,1993,total,5.56
WLD,1993,youth,12.46
WLD,1993,male,5.59
WLD,1993,female,5.51
WLD,1994,total,5.8
WLD,1994,youth,13
WLD,1994,male,5.77
WLD,1994,female,5.84
WLD,1995,total,5.93
WLD,1995,youth,13.43
WLD,1995,male,5.86
WLD,1995,female,6.03
WLD,1996,total,5.99
WLD,1996,youth,13.6
WLD,1996,male,5.91
WLD,1996,female,6.13
WLD,1997,total,6.02
WLD,1997,youth,13.75
WLD,1997,male,5.89
WLD,1997,female,6.22
WLD,1998,total,6.17
WLD,1998,youth,14.11
WLD,1998,male,6.04
WLD,1998,female,6.37
WLD,1999,total,6.29
WLD,1999,youth,14.38
WLD,1999,male,6.17
WLD,1999,female,6.47
WLD,2000,total,6.12
WLD,2000,youth,14.29
WLD,2000,male,6.01
WLD,2000,female,6.29
WLD,2001,total,6.2
WLD,2001,youth,14.5
WLD,2001,male,6.12
WLD,2001,female,6.33
WLD,2002,total,6.43
WLD,2002,youth,14.91
WLD,2002,male,6.36
WLD,2002,female,6.53
WLD,2003,total,6.5
WLD,2003,youth,15.02
WLD,2003,male,6.4
WLD,2003,female,6.63
WLD,2004,total,6.34
WLD,2004,youth,14.85
WLD,2004,male,6.19
WLD,2004,female,6.56
WLD,2005,total,6.23
WLD,2005,youth,14.88
WLD,2005,male,6.07
WLD,2005,female,6.46
WLD,2006,total,5.98
WLD,2006,youth,14.5
WLD,2006,male,5.84
WLD,2006,female,6.18
WLD,2007,total,5.78
WLD,2007,youth,14.15
WLD,2007,male,5.66
WLD,2007,female,5.95
WLD,2008,total,5.83
WLD,2008,youth,14.35
WLD,2008,male,5.76
WLD,2008,female,5.94
WLD,2009,total,6.42
WLD,2009,youth,15.31
WLD,2009,male,6.4
WLD,2009,female,6.45
WLD,2010,total,6.29
WLD,2010,youth,15.25
WLD,2010,male,6.25
WLD,2010,female,6.35
WLD,2011,total,6.16
WLD,2011,youth,15.33
WLD,2011,male,6.1
WLD,2011,female,6.24
WLD,2012,total,6.16
WLD,2012,youth,15.7
WLD,2012,male,6.13
WLD,2012,female,6.2
WLD,2013,total,6.11
WLD,2013,youth,15.72
WLD,2013,male,6.09
WLD,2013,female,6.13
WLD,2014,total,5.97
WLD,2014,youth,15.63
WLD,2014,male,5.96
WLD,2014,female,5.98
WLD,2015,total,6.01
WLD,2015,youth,15.98
WLD,2015,male,5.97
WLD,2015,female,6.06
WLD,2016,total,5.98
WLD,2016,youth,16.06
WLD,2016,male,5.95
WLD,2016,female,6.03
WLD,2017,total,5.91
WLD,2017,youth,16.09
WLD,2017,male,5.88
WLD,2017,female,5.95
WLD,2018,total,5.77
WLD,2018,youth,15.91
WLD,2018,male,5.76
WLD,2018,female,5.78
WLD,2019,total,5.6
WLD,2019,youth,15.26
WLD,2019,male,5.56
WLD,2019,female,5.66
WLD,2020,total,6.61
WLD,2020,youth,17.12
WLD,2020,male,6.63
WLD,2020,female,6.57
WLD,2021,total,6.06
WLD,2021,youth,15.68
WLD,2021,male,6
WLD,2021,female,6.17
WLD,2022,total,5.26
WLD,2022,youth,14.2
WLD,2022,male,5.12
WLD,2022,female,5.47
WLD,2023,total,4.92
WLD,2023,youth,13.56
WLD,2023,male,4.79
WLD,2023,female,5.11
WLD,2024,total,4.89
WLD,2024,youth,13.57
WLD,2024,male,4.74
WLD,2024,female,5.11
WLD,1991,25+,3.455
WLD,1992,25+,3.618
WLD,1993,25+,3.845
WLD,1994,25+,4.036
WLD,1995,25+,4.121
WLD,1996,25+,4.182
WLD,1997,25+,4.209
WLD,1998,25+,4.334
WLD,1999,25+,4.411
WLD,2000,25+,4.245
WLD,2001,25+,4.315
WLD,2002,25+,4.505
WLD,2003,25+,4.581
WLD,2004,25+,4.437
WLD,2005,25+,4.322
WLD,2006,25+,4.143
WLD,2007,25+,4.026
WLD,2008,25+,4.105
WLD,2009,25+,4.685
WLD,2010,25+,4.631
WLD,2011,25+,4.529
WLD,2012,25+,4.537
WLD,2013,25+,4.525
WLD,2014,25+,4.431
WLD,2015,25+,4.468
WLD,2016,25+,4.453
WLD,2017,25+,4.4
WLD,2018,25+,4.311
WLD,2019,25+,4.207
WLD,2020,25+,5.117
WLD,2021,25+,4.697
WLD,2022,25+,4
WLD,2023,25+,3.718
WLD,2024,25+,3.715
