iso3c,year,value
BDI,1987,100
BDI,1988,102.73
BDI,1989,102.09
BDI,1990,103.48
BDI,1991,106.43
BDI,1992,104.67
BDI,1993,101.28
BDI,1994,96.77
BDI,1995,83.93
BDI,1996,77.16
BDI,1997,75.94
BDI,1998,78.04
BDI,1999,75.42
BDI,2000,73.24
BDI,2001,72.89
BDI,2002,74.02
BDI,2003,70.84
BDI,2004,71.55
BDI,2005,69.56
BDI,2006,70.73
BDI,2007,70.51
BDI,2008,70.95
BDI,2009,70.02
BDI,2010,70.24
BDI,2011,70.51
BDI,2012,71.06
BDI,2013,71.93
BDI,2014,72.48
BDI,2015,68.09
BDI,2016,66.52
BDI,2017,65.3
BDI,2018,64.38
BDI,2019,63.43
BDI,2020,61.81
BDI,2021,62.02
BDI,2022,61.48
BDI,2023,61.44
BDI,2024,60.98
BDI,2025,61.59
BEN,1987,100
BEN,1988,100.31
BEN,1989,94.51
BEN,1990,99.87
BEN,1991,100.93
BEN,1992,100.76
BEN,1993,102.01
BEN,1994,100.25
BEN,1995,104.09
BEN,1996,105.78
BEN,1997,108.6
BEN,1998,109.47
BEN,1999,111.8
BEN,2000,114.77
BEN,2001,117.25
BEN,2002,119.02
BEN,2003,119.42
BEN,2004,120.95
BEN,2005,119.12
BEN,2006,120.02
BEN,2007,123.5
BEN,2008,125.69
BEN,2009,124.81
BEN,2010,123.7
BEN,2011,123.63
BEN,2012,125.79
BEN,2013,130.92
BEN,2014,135.18
BEN,2015,133.58
BEN,2016,134.07
BEN,2017,137.65
BEN,2018,142.79
BEN,2019,148.48
BEN,2020,150.14
BEN,2021,156.77
BEN,2022,162.38
BEN,2023,168.39
BEN,2024,174.41
BEN,2025,182.57
BFA,1987,100
BFA,1988,102.99
BFA,1989,102.45
BFA,1990,99.18
BFA,1991,105.47
BFA,1992,103.14
BFA,1993,104.09
BFA,1994,102.83
BFA,1995,105.96
BFA,1996,114.66
BFA,1997,118.8
BFA,1998,124
BFA,1999,129.33
BFA,2000,127.9
BFA,2001,132.26
BFA,2002,133.81
BFA,2003,139.83
BFA,2004,141.57
BFA,2005,149.06
BFA,2006,153.52
BFA,2007,155.05
BFA,2008,159.3
BFA,2009,159.3
BFA,2010,167.77
BFA,2011,173.67
BFA,2012,179.38
BFA,2013,184.16
BFA,2014,186.5
BFA,2015,188.16
BFA,2016,193.62
BFA,2017,199.85
BFA,2018,207.38
BFA,2019,214.11
BFA,2020,213.16
BFA,2021,222.6
BFA,2022,220.78
BFA,2023,222.21
BFA,2024,228.02
BFA,2025,232.56
BGD,1987,100
BGD,1988,100.51
BGD,1989,102.67
BGD,1990,105.25
BGD,1991,107.89
BGD,1992,111.26
BGD,1993,113.9
BGD,1994,116.85
BGD,1995,120.24
BGD,1996,123.37
BGD,1997,126.94
BGD,1998,130.69
BGD,1999,134.67
BGD,2000,139.2
BGD,2001,143.07
BGD,2002,146.99
BGD,2003,152.18
BGD,2004,159.06
BGD,2005,167.53
BGD,2006,177.05
BGD,2007,186.65
BGD,2008,195.06
BGD,2009,203.57
BGD,2010,213.93
BGD,2011,225.7
BGD,2012,237.57
BGD,2013,249.59
BGD,2014,262.97
BGD,2015,278.46
BGD,2016,294.94
BGD,2017,312.85
BGD,2018,333.86
BGD,2019,349.57
BGD,2020,364.78
BGD,2021,386.81
BGD,2022,407.03
BGD,2023,426.09
BGD,2024,444.56
BGD,2025,458.16
BTN,1987,100
BTN,1988,101.68
BTN,1989,106
BTN,1990,113.89
BTN,1991,111.44
BTN,1992,121
BTN,1993,128.55
BTN,1994,134.95
BTN,1995,146.22
BTN,1996,154.13
BTN,1997,159.53
BTN,1998,165.78
BTN,1999,174.98
BTN,2000,176.52
BTN,2001,185.13
BTN,2002,200.01
BTN,2003,211.1
BTN,2004,217.6
BTN,2005,228.71
BTN,2006,238.39
BTN,2007,273.58
BTN,2008,282.76
BTN,2009,301.09
BTN,2010,333.35
BTN,2011,357.7
BTN,2012,372.03
BTN,2013,374.32
BTN,2014,392.08
BTN,2015,413.97
BTN,2016,444.71
BTN,2017,450.09
BTN,2018,462.53
BTN,2019,485.91
BTN,2020,433.32
BTN,2021,449.31
BTN,2022,469.42
BTN,2023,488.27
BTN,2024,508.73
BTN,2025,538.78
CAF,1987,100
CAF,1988,100.03
CAF,1989,99.44
CAF,1990,94.33
CAF,1991,90.92
CAF,1992,82.42
CAF,1993,80.1
CAF,1994,81.44
CAF,1995,84.96
CAF,1996,79.47
CAF,1997,81.42
CAF,1998,82.96
CAF,1999,83.63
CAF,2000,79.34
CAF,2001,81.06
CAF,2002,82.17
CAF,2003,75.9
CAF,2004,78.73
CAF,2005,77.67
CAF,2006,79.72
CAF,2007,81.8
CAF,2008,81.72
CAF,2009,89.32
CAF,2010,94.21
CAF,2011,96.61
CAF,2012,100.49
CAF,2013,63.48
CAF,2014,63.8
CAF,2015,66.48
CAF,2016,68.39
CAF,2017,70.3
CAF,2018,71.69
CAF,2019,72.92
CAF,2020,72.38
CAF,2021,71.87
CAF,2022,72.43
CAF,2023,72.29
CAF,2024,70.88
CAF,2025,70.18
CHN,1987,100
CHN,1988,109.45
CHN,1989,112.31
CHN,1990,115.02
CHN,1991,123.97
CHN,1992,139.88
CHN,1993,157.48
CHN,1994,176.01
CHN,1995,193.18
CHN,1996,210.13
CHN,1997,227.2
CHN,1998,242.69
CHN,1999,259.03
CHN,2000,278.81
CHN,2001,299.87
CHN,2002,325.07
CHN,2003,355.48
CHN,2004,389.12
CHN,2005,430.91
CHN,2006,483.03
CHN,2007,548.89
CHN,2008,598.79
CHN,2009,651.82
CHN,2010,717.67
CHN,2011,781.93
CHN,2012,837.71
CHN,2013,896.78
CHN,2014,957.32
CHN,2015,1018.78
CHN,2016,1082.34
CHN,2017,1150.54
CHN,2018,1222.47
CHN,2019,1290.63
CHN,2020,1316.39
CHN,2021,1426.33
CHN,2022,1468.6
CHN,2023,1547.31
CHN,2024,1622.66
CHN,2025,1691.93
COD,1987,100
COD,1988,97.3
COD,1989,93.08
COD,1990,84.13
COD,1991,74.52
COD,1992,64.48
COD,1993,53.84
COD,1994,49.35
COD,1995,47.67
COD,1996,46.29
COD,1997,42.99
COD,1998,41.16
COD,1999,38.1
COD,2000,34.35
COD,2001,32.58
COD,2002,32.53
COD,2003,33.35
COD,2004,34.57
COD,2005,35.58
COD,2006,36.33
COD,2007,37.46
COD,2008,38.61
COD,2009,38.5
COD,2010,39.94
COD,2011,41.31
COD,2012,42.79
COD,2013,44.86
COD,2014,47.48
COD,2015,49.11
COD,2016,48.54
COD,2017,48.54
COD,2018,49.68
COD,2019,50.24
COD,2020,49.49
COD,2021,50.88
COD,2022,53.66
COD,2023,56.39
COD,2024,57.19
COD,2025,58.07
COM,1987,100
COM,1988,99.95
COM,1989,94.22
COM,1990,96.46
COM,1991,89.06
COM,1992,94.67
COM,1993,95.75
COM,1994,89.11
COM,1995,90.73
COM,1996,88.03
COM,1997,90.02
COM,1998,89.61
COM,1999,89.73
COM,2000,97.57
COM,2001,97.81
COM,2002,97.99
COM,2003,98.14
COM,2004,98.15
COM,2005,98.89
COM,2006,99.48
COM,2007,98.3
COM,2008,100.19
COM,2009,101.4
COM,2010,103.16
COM,2011,105.31
COM,2012,106.48
COM,2013,108.91
COM,2014,108.81
COM,2015,107.76
COM,2016,109.08
COM,2017,111
COM,2018,112.82
COM,2019,112.62
COM,2020,110.22
COM,2021,110.22
COM,2022,110.92
COM,2023,112.07
COM,2024,113.42
COM,2025,115.41
ETH,1987,100
ETH,1988,96.29
ETH,1989,93.74
ETH,1990,88.28
ETH,1991,77.96
ETH,1992,75.83
ETH,1993,79.18
ETH,1994,80.02
ETH,1995,84.5
ETH,1996,88.14
ETH,1997,85.36
ETH,1998,83.18
ETH,1999,85.16
ETH,2000,88.52
ETH,2001,90.12
ETH,2002,87.22
ETH,2003,89.04
ETH,2004,97.39
ETH,2005,105.26
ETH,2006,113.61
ETH,2007,122.63
