iso3c,gdp_2015,gdp_2024
ABW,27458,33374
AGO,3642,2845
ALB,4200,6549
AND,38655,41035
ARE,44910,41605
ARG,13680,12774
ARM,3512,5378
ATG,16078,18350
AUS,56970,61481
AUT,43915,45959
AZE,5501,5871
BDI,254,269
BEL,40894,45046
BEN,1002,1325
BFA,630,764
BGD,1224,1941
BGR,7269,10127
BHR,23734,25812
BHS,30719,33968
BIH,4662,6730
BLR,5967,6792
BLZ,6155,6290
BMU,104855,122118
BOL,2996,3046
BRA,8936,9567
BRB,20424,21581
BRN,30625,29564
BWA,6141,6937
CAF,366,390
CAN,43594,44413
CHE,83806,90067
CHL,13434,14579
CHN,8175,13122
CIV,1815,2396
CMR,1415,1481
COD,496,554
COG,2439,1680
COL,6249,6864
COM,1329,1402
CPV,3415,4449
CRI,11715,14867
CUB,7728,7381
CUW,19362,18045
CYP,23088,32617
CZE,17932,20445
DEU,41930,44028
DJI,2376,3290
DMA,8283,9173
DNK,53094,60773
DOM,6801,9168
DZA,4685,4766
ECU,5976,5999
EGY,3307,4138
ESP,25982,29245
EST,17722,20078
ETH,598,883
FIN,42560,45254
FJI,5098,5935
FRA,36702,39683
FRO,52637,59258
FSM,2853,2930
GAB,7047,6619
GBR,45255,47961
GEO,4087,6808
GHA,1723,2168
GIN,747,1046
GMB,620,759
GNB,645,794
GNQ,9069,5042
GRC,17981,21495
GRD,8694,10196
GTM,3894,4563
GUY,5640,33035
HKG,42432,44713
HND,2271,2573
HRV,12284,17854
HTI,1411,1155
HUN,12783,16519
IDN,3288,4368
IND,1584,2397
IRL,64250,94475
IRN,4953,5834
IRQ,4440,4180
ISL,53506,59307
ISR,36213,41845
ITA,30640,34495
JAM,5339,6096
JOR,4043,4017
JPN,34961,37153
KAZ,10196,11873
KEN,1489,1860
KGZ,1106,1392
KHM,1547,2183
KIR,1640,2042
KNA,20329,21692
KOR,30172,37048
KWT,29882,23868
LAO,2121,2721
LBR,693,665
LBY,7458,7696
LCA,10335,11855
LKA,4058,4186
LSO,1121,991
LTU,14270,19093
LUX,105462,104147
LVA,13322,16375
MAC,69903,63377
MAR,3146,3516
MCO,170437,247170
MDA,2750,3852
MDG,445,453
MDV,9645,11799
MEX,10021,10316
MHL,3764,5811
MKD,5263,6629
MLI,838,910
MLT,25530,34670
MMR,1167,1158
MNE,6421,8540
MNG,3839,4627
MOZ,611,606
MRT,1555,1689
MUS,9631,11935
MWI,540,552
MYS,9649,11884
NAM,4774,4034
NER,486,595
NGA,2586,2325
NIC,2074,2290
NLD,45794,51179
NOR,74810,79668
NPL,876,1180
NRU,7747,8571
NZL,38665,42408
OMN,18808,17347
PAK,1380,1635
PAN,14083,17123
PER,6232,6711
PHL,2910,3925
PNG,2485,2565
POL,12638,18001
PRI,29242,30971
PRT,19216,22647
PRY,5879,6641
PSE,3272,2072
PYF,19167,20847
QAT,68985,62157
ROU,8977,12460
RUS,9278,11043
RWA,734,1070
SAU,23256,24963
SDN,1292,578
SEN,1218,1512
SGP,55646,67707
SLB,2045,1806
SLE,965,1137
SLV,3790,4585
SOM,446,467
SRB,5820,8580
STP,1298,1368
SUR,8814,7246
SVK,16442,19776
SVN,20697,26135
SWE,51188,54210
SWZ,3420,3864
SXM,37840,34840
SYC,15333,16586
TCA,29457,57179
TCD,994,850
TGO,751,931
THA,5689,6574
TJK,957,1496
TKM,5759,8231
TLS,1320,1149
TTO,19887,16312
TUN,4015,4006
TUR,11065,15395
TZA,939,1121
UGA,863,986
UKR,2094,2219
URY,17126,18959
USA,56573,66356
UZB,2803,3890
VCT,7354,9485
VEN,4103,1501
VNM,2578,4018
VUT,2855,2697
WSM,4084,4881
XKX,3521,5632
ZAF,6112,5715
ZMB,1296,1343
ZWE,1387,1418
