code,exp_,pop_risk,pop_vuln,vuln6,vuln5,vuln4,vuln3,vuln2,vuln1,totalpop,region,region_code,sha_exp,sha_vuln,sha_risk,sha_vuln_nonexp,sha_nonvuln_exp,sha_nonvuln_nonexp,sha_vuln6,sha_vuln5,sha_vuln4,sha_vuln3,sha_vuln2,sha_vuln1
AGO,6.214310714,6.08679197,32.04386634,0,4.199157489,6.126184728,5.638413534,5.566008016,10.5141028,34.503774,Sub-Saharan Africa,SSF,0.1801052392,0.9287061095,0.1764094532,0.7522966862,0.003695785999,0.06759807467,0,0.121701397,0.1775511503,0.1634144038,0.161315918,0.3047232628
ALB,1.107497787,0.7280887477,1.822116606,0,0,0,0,0.002401983606,1.819714621,2.811666,Europe & Central Asia,ECS,0.3938938081,0.6480558515,0.2589527965,0.389103055,0.1349410117,0.2170031369,0,0,0,0,0.0008542919531,0.6472015381
ARM,0.9285578282,0.271920773,0.8025631383,0,0,0.00001650303057,0.00145501626,0.06290128038,0.7381903445,2.790974,Europe & Central Asia,ECS,0.3327002823,0.2875566483,0.09742862731,0.1901280284,0.2352716625,0.4771716893,0,0,0.000005913000678,0.0005213292316,0.0225373935,0.2644920051
AUS,3.153565476,0.1101746216,0.9218230796,0,0,0,0,0.003722614346,0.9181004439,25.685412,East Asia & Pacific,EAS,0.1227765158,0.03588897362,0.004289384931,0.03159958869,0.1184871346,0.8456239104,0,0,0,0,0.0001449310803,0.0357440412
AUT,3.882604006,0.02104815282,0.0507376343,0,0,0,0.00001822619924,0.001149794254,0.04956961377,8.955797,Europe & Central Asia,ECS,0.4335297048,0.005665339995,0.002350226743,0.003315113252,0.4311794639,0.5631551743,0,0,0,0.000002035128773,0.0001283854799,0.005534919444
AZE,2.535985161,1.055215356,3.340802675,0,0,0.000004988867758,0.03259333526,0.5074088532,2.800795514,10.13775,Europe & Central Asia,ECS,0.2501526773,0.3295408487,0.1040877253,0.2254531235,0.146064952,0.5243942142,0,0,4.921079721e-7,0.003215046367,0.05005142838,0.2762738764
BDI,1.724910347,1.719481206,12.45047786,0,0.5618129958,4.007825683,5.038182985,2.034753931,0.8079022691,12.551213,Sub-Saharan Africa,SSF,0.1374297738,0.9919740558,0.136997208,0.8549768329,0.0004325658083,0.007593393326,0,0.04476165026,0.3193177879,0.4014100432,0.1621161252,0.06436846405
BEL,2.583532241,0.01952613721,0.08918136172,0,0,0,0.00002018622581,0.001984368051,0.08717680583,11.586195,Europe & Central Asia,ECS,0.2229836732,0.007697208785,0.001685293391,0.006011915393,0.2212983817,0.7710044384,0,0,0,0.00000174226534,0.0001712700323,0.007524196524
BEN,5.46783821,5.283389172,12.46789047,0.1005967279,0.7314600605,1.964640499,3.08665736,3.53626819,3.048267629,12.996895,Sub-Saharan Africa,SSF,0.4207034111,0.9592975974,0.4065116346,0.5527859926,0.01419177651,0.02651059628,0.007740058471,0.05627959967,0.1511622965,0.2374919057,0.2720856071,0.2345381379
BFA,18.04805706,16.18838926,19.6286516,0.08109573426,0.7408753243,2.721343757,4.858454218,5.717437929,5.509444609,22.100683,Sub-Saharan Africa,SSF,0.816628933,0.8881468177,0.732483685,0.1556631327,0.08414524794,0.02770793438,0.003669376951,0.03352273256,0.1231339201,0.2198327631,0.2586995959,0.2492884248
