Year,Annual Data
1993,0
1993.0834,-3.8297113
1993.1666,-0.04603749
1993.25,-3.821821
1993.3334,-2.8118338
1993.4166,-4.279018
1993.5,0.45159546
1993.5834,1.3808926
1993.6666,7.428032
1993.75,9.532536
1993.8334,10.136311
1993.9166,8.360194
1994,7.658386
1994.0834,3.8841392
1994.1666,3.670688
1994.25,4.083657
1994.3334,0.33720295
1994.4166,-0.10488109
1994.5,0.9899719
1994.5834,5.455409
1994.6666,10.803333
1994.75,14.007055
1994.8334,15.677677
1994.9166,12.322321
1995,13.288627
1995.0834,11.492183
1995.1666,8.220045
1995.25,7.1815928
1995.3334,4.5341887
1995.4166,7.951177
1995.5,3.3468106
1995.5834,8.9940075
1995.6666,14.236288
1995.75,21.559812
1995.8334,18.560657
1995.9166,20.621961
1996,16.43718
1996.0834,11.943541
1996.1666,10.282477
1996.25,6.64555
1996.3334,5.3918003
1996.4166,6.462444
1996.5,7.117886
1996.5834,13.014585
1996.6666,12.15419
1996.75,22.34876
1996.8334,27.25053
1996.9166,18.047428
1997,14.1602885
1997.0834,11.465575
1997.1666,10.715302
1997.25,8.376646
1997.3334,9.520059
1997.4166,9.156253
1997.5,11.486032
1997.5834,15.837003
1997.6666,22.980392
1997.75,24.481392
1997.8334,28.249372
1997.9166,18.788552
1998,18.389491
1998.0834,16.519427
1998.1666,14.38892
1998.25,12.0164445
1998.3334,11.816687
1998.4166,7.986643
1998.5,12.918272
1998.5834,12.391317
1998.6666,19.11452
1998.75,18.964997
1998.8334,21.234984
1998.9166,18.1819
1999,16.700402
1999.0834,12.5746615
1999.1666,13.15505
1999.25,13.628522
1999.3334,11.594181
1999.4166,10.451195
1999.5,11.795409
1999.5834,15.740722
1999.6666,20.803189
1999.75,28.475689
1999.8334,27.218103
1999.9166,27.627908
2000,23.946762
2000.0834,23.417177
2000.1666,19.329175
2000.25,19.495007
2000.3334,15.2696
2000.4166,17.388713
2000.5,16.821368
2000.5834,20.021334
2000.6666,22.22307
2000.75,33.206634
2000.8334,31.94754
2000.9166,30.053679
2001,29.459044
2001.0834,24.27479
2001.1666,25.684934
2001.25,22.787724
2001.3334,21.09974
2001.4166,19.633694
2001.5,26.476936
2001.5834,28.395288
2001.6666,32.823656
2001.75,37.21991
2001.8334,38.751695
2001.9166,32.2405
2002,31.203652
2002.0834,27.518624
2002.1666,27.043046
2002.25,22.555014
2002.3334,23.58328
2002.4166,20.106204
2002.5,22.515858
2002.5834,29.382722
2002.6666,30.269664
2002.75,34.057893
2002.8334,33.427406
2002.9166,32.308377
2003,29.565882
2003.0834,31.823058
2003.1666,25.419986
2003.25,25.845475
2003.3334,23.673052
2003.4166,23.781706
2003.5,24.191737
2003.5834,28.427482
2003.6666,35.253976
2003.75,39.82762
2003.8334,39.67348
2003.9166,36.418747
2004,33.21436
2004.0834,30.697392
2004.1666,28.95546
2004.25,27.089491
2004.3334,23.998307
2004.4166,23.912424
2004.5,29.23968
2004.5834,29.079866
2004.6666,36.157884
2004.75,38.44318
2004.8334,38.747214
2004.9166,36.890686
2005,36.28029
2005.0834,34.251455
2005.1666,33.388216
2005.25,29.281251
2005.3334,29.397389
2005.4166,31.065008
2005.5,30.892506
2005.5834,34.681957
2005.6666,38.955867
2005.75,42.479187
2005.8334,43.488346
2005.9166,43.173827
2006,39.57893
2006.0834,35.418462
2006.1666,33.0176
2006.25,30.869331
2006.3334,30.52985
2006.4166,32.33571
2006.5,34.960974
2006.5834,36.73918
2006.6666,41.73577
2006.75,44.03161
2006.8334,46.557978
2006.9166,42.133555
2007,39.40676
2007.0834,35.447326
2007.1666,35.813574
2007.25,35.102498
2007.3334,33.47572
2007.4166,32.42542
2007.5,33.759285
2007.5834,35.646986
2007.6666,38.54699
2007.75,43.5655
2007.8334,44.686742
2007.9166,46.0908
2008,40.484
2008.0834,38.59181
2008.1666,35.186633
2008.25,35.67182
2008.3334,34.682367
2008.4166,37.894215
2008.5,39.42923
2008.5834,41.79891
2008.6666,45.978926
2008.75,49.102936
2008.8334,49.636357
2008.9166,51.070847
2009,43.887924
2009.0834,41.41101
2009.1666,41.069135
2009.25,41.016996
2009.3334,39.994888
2009.4166,40.693592
2009.5,40.773302
2009.5834,45.199096
2009.6666,51.08752
2009.75,56.06251
2009.8334,56.50738
2009.9166,54.372523
2010,50.86951
2010.0834,44.240277
2010.1666,46.97324
2010.25,43.379057
2010.3334,42.531844
2010.4166,45.86123
2010.5,47.122825
2010.5834,47.15335
2010.6666,50.081883
2010.75,52.60107
2010.8334,55.62915
2010.9166,50.760265
2011,49.417667
2011.0834,44.728875
2011.1666,42.75402
2011.25,39.690282
2011.3334,38.011525
2011.4166,40.794622
2011.5,43.388583
2011.5834,47.30239
2011.6666,52.696798
2011.75,56.98133
2011.8334,55.642866
2011.9166,55.26774
2012,55.338144
2012.0834,53.981584
2012.1666,50.433733
2012.25,50.652355
2012.3334,49.76871
2012.4166,51.73494
2012.5,53.950775
2012.5834,58.587644
2012.6666,60.563896
2012.75,67.96374
2012.8334,66.99816
2012.9166,66.75018
2013,62.85527
2013.0834,60.926277
2013.1666,58.755707
2013.25,57.0137
2013.3334,55.167902
2013.4166,52.992128
2013.5,55.26747
2013.5834,57.334363
2013.6666,61.53597
2013.75,64.95007
2013.8334,67.161426
2013.9166,63.89133
2014,62.694006
2014.0834,58.014665
2014.1666,59.915904
2014.25,56.25858
2014.3334,53.496476
2014.4166,54.620232
2014.5,59.8902
2014.5834,61.64147
2014.6666,66.9593
2014.75,69.98174
2014.8334,70.17599
2014.9166,69.11792
2015,67.230575
2015.0834,67.40204
2015.1666,66.34773
2015.25,63.77008
2015.3334,63.15995
2015.4166,63.307256
2015.5,67.50793
2015.5834,71.45457
2015.6666,77.855006
2015.75,79.97642
2015.8334,81.29014
2015.9166,78.96143
2016,72.748706
2016.0834,75.61252
2016.1666,72.9511
2016.25,69.15565
2016.3334,66.53745
2016.4166,67.39788
2016.5,69.87965
2016.5834,69.53002
2016.6666,76.42585
2016.75,77.45241
2016.8334,81.024244
2016.9166,79.7932
2017,73.42799
2017.0834,69.74004
2017.1666,69.63866
2017.25,69.70976
2017.3334,66.75377
2017.4166,65.91587
2017.5,68.76339
2017.5834,73.92124
2017.6666,77.73906
2017.75,80.25474
2017.8334,82.85799
2017.9166,82.647756
2018,76.18952
2018.0834,75.10837
2018.1666,70.91405
2018.25,69.84735
2018.3334,67.48775
2018.4166,69.96891
2018.5,71.18317
2018.5834,74.64947
2018.6666,80.57069
2018.75,85.86167
2018.8334,86.71346
2018.9166,83.51385
2019,79.406485
2019.0834,80.063194
2019.1666,77.8479
2019.25,76.14007
2019.3334,76.912
2019.4166,75.174764
2019.5,78.9162
2019.5834,81.682645
2019.6666,88.409275
2019.75,90.01303
2019.8334,91.04415
2019.9166,89.365594
2020,84.54041
2020.0834,81.75859
2020.1666,81.09798
2020.25,79.155765
2020.3334,79.52274
2020.4166,79.09204
2020.5,81.94199
2020.5834,84.22006
2020.6666,89.12338
2020.75,93.08979
2020.8334,96.277416
2020.9166,90.684414
2021,89.99522
2021.0834,87.98641
2021.1666,81.555404
2021.25,84.1568
2021.3334,82.52785
2021.4166,80.567375
2021.5,85.1668
2021.5834,90.53769
2021.6666,92.19287
2021.75,97.73783
2021.8334,98.43809
2021.9166,97.87893
2022,93.46674
2022.0834,91.875434
2022.1666,84.77524
2022.25,86.992346
2022.3334,85.04369
2022.4166,83.963476
2022.5,88.469565
2022.5834,89.945406
2022.6666,96.04111
2022.75,100.61768
2022.8334,99.88115
2022.9166,96.378975
2023,96.89743
2023.0834,94.283916
2023.1666,91.21484
2023.25,87.270714
2023.3334,88.81225
2023.4166,91.70674
2023.5,93.65274
2023.5834,99.292696
2023.6666,101.95529
2023.75,109.29396
2023.8334,106.247656
2023.9166,102.61992
2024,101.76218
2024.0834,98.82753
2024.1666,100.109205
2024.25,96.356064
2024.3334,96.28654
2024.4166,95.63468
2024.5,97.316295
2024.5834,95.23755
2024.6666,101.97561
2024.75,105.774336
2024.8334,107.3263
2024.9166,106.72287
2025,104.89877
2025.0834,98.87765
2025.1666,99.0831
2025.25,96.2144
2025.3334,93.140885
2025.4166,95.03376
2025.5,93.72597
