code,name,Country Code,Short Name,Long Name,Region,days_hd30,ref_days_hd30,days_hd30_diff
COG,Congo,COG,"Congo, Republic of",Republic of Congo,Sub-Saharan Africa,171.5458333,105.5566667,65.98916667
GAB,Gabon,GAB,Gabon,Gabonese Republic,Sub-Saharan Africa,140.3429167,76.55066667,63.79225
BLZ,Belize,BLZ,Belize,Belize,Latin America & Caribbean,178.0895833,117.996,60.09358333
COD,Democratic Republic of Congo,COD,"Congo, Democratic Republic of",Democratic Republic of the Congo,Sub-Saharan Africa,163.4429167,103.6803333,59.76258333
BRN,Brunei Darussalam,BRN,Brunei Darussalam,Brunei Darussalam,East Asia & Pacific,236.6458333,183.176,53.46983333
CIV,Côte d'Ivoire,CIV,Côte d'Ivoire,Republic of Côte d'Ivoire,Sub-Saharan Africa,267.0404167,217.6113333,49.42908333
SLV,El Salvador,SLV,El Salvador,Republic of El Salvador,Latin America & Caribbean,250.6891667,201.9806667,48.7085
MYS,Malaysia,MYS,Malaysia,Malaysia,East Asia & Pacific,204.5129167,156.0813333,48.43158333
PAN,Panama,PAN,Panama,Republic of Panama,Latin America & Caribbean,102.36125,57.78833333,44.57291667
GUY,Guyana,GUY,Guyana,Co-operative Republic of Guyana,Latin America & Caribbean,165.5258333,121.6346667,43.89116667
BRA,Brazil,BRA,Brazil,Federative Republic of Brazil,Latin America & Caribbean,215.2858333,172.064,43.22183333
VEN,R. B. de Venezuela,VEN,"Venezuela, República Bolivariana de",República Bolivariana de Venezuela,Latin America & Caribbean,202.8525,159.9296667,42.92283333
CMR,Cameroon,CMR,Cameroon,Republic of Cameroon,Sub-Saharan Africa,169.67,126.877,42.793
IDN,Indonesia,IDN,Indonesia,Republic of Indonesia,East Asia & Pacific,157.215,115.2923333,41.92266667
GTM,Guatemala,GTM,Guatemala,Republic of Guatemala,Latin America & Caribbean,139.4929167,98.68666667,40.80625
SUR,Suriname,SUR,Suriname,Republic of Suriname,Latin America & Caribbean,222.17625,183.593,38.58325
COL,Colombia,COL,Colombia,Republic of Colombia,Latin America & Caribbean,146.8354167,109.1516667,37.68375
LBR,Liberia,LBR,Liberia,Republic of Liberia,Sub-Saharan Africa,146.2195833,108.6986667,37.52091667
SGP,Singapore,SGP,Singapore,Republic of Singapore,East Asia & Pacific,78.11458333,41.20133333,36.91325
SSD,South Sudan,SSD,South Sudan,Republic of South Sudan,Sub-Saharan Africa,297.865,261.43,36.435
GNQ,Equatorial Guinea,GNQ,Equatorial Guinea,Republic of Equatorial Guinea,Sub-Saharan Africa,62.12791667,26.38066667,35.74725
TTO,Trinidad and Tobago,TTO,Trinidad and Tobago,Republic of Trinidad and Tobago,Latin America & Caribbean,72.24541667,37.21566667,35.02975
GHA,Ghana,GHA,Ghana,Republic of Ghana,Sub-Saharan Africa,273.5841667,240.0913333,33.49283333
HTI,Haiti,HTI,Haiti,Republic of Haiti,Latin America & Caribbean,100.2054167,67.904,32.30141667
LAO,Lao People's Democratic Republic,LAO,Lao PDR,Lao People's Democratic Republic,East Asia & Pacific,133.4275,101.2046667,32.22283333
DOM,Dominican Republic,DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean,101.5045833,69.87033333,31.63425
KHM,Cambodia,KHM,Cambodia,Kingdom of Cambodia,East Asia & Pacific,294.3766667,263.083,31.29366667
MDG,Madagascar,MDG,Madagascar,Republic of Madagascar,Sub-Saharan Africa,127.1545833,96.23866667,30.91591667
THA,Thailand,THA,Thailand,Kingdom of Thailand,East Asia & Pacific,257.5533333,227.1653333,30.388
LCA,Saint Lucia,LCA,St. Lucia,St. Lucia,Latin America & Caribbean,45.83791667,15.85233333,29.98558333
TZA,Tanzania,TZA,Tanzania,United Republic of Tanzania,Sub-Saharan Africa,100.0620833,70.444,29.61808333
UGA,Uganda,UGA,Uganda,Republic of Uganda,Sub-Saharan Africa,92.93708333,63.81,29.12708333
PHL,Philippines,PHL,Philippines,Republic of the Philippines,East Asia & Pacific,126.6025,97.536,29.0665
MMR,Myanmar,MMR,Myanmar,Republic of the Union of Myanmar,East Asia & Pacific,163.60625,134.889,28.71725
GIN,Guinea,GIN,Guinea,Republic of Guinea,Sub-Saharan Africa,252.1645833,223.6673333,28.49725
HND,Honduras,HND,Honduras,Republic of Honduras,Latin America & Caribbean,117.0170833,88.532,28.48508333
PRY,Paraguay,PRY,Paraguay,Republic of Paraguay,Latin America & Caribbean,203.6133333,175.8113333,27.802
JAM,Jamaica,JAM,Jamaica,Jamaica,Latin America & Caribbean,100.40125,72.663,27.73825
BGD,Bangladesh,BGD,Bangladesh,People's Republic of Bangladesh,South Asia,208.4033333,180.7786667,27.62466667
NIC,Nicaragua,NIC,Nicaragua,Republic of Nicaragua,Latin America & Caribbean,141.87125,114.781,27.09025
CAF,Central African Republic,CAF,Central African Republic,Central African Republic,Sub-Saharan Africa,245.6604167,219.5413333,26.11908333
PNG,Papua New Guinea,PNG,Papua New Guinea,The Independent State of Papua New Guinea,East Asia & Pacific,87.87666667,61.83433333,26.04233333
NAM,Namibia,NAM,Namibia,Republic of Namibia,Sub-Saharan Africa,165.0295833,139.8806667,25.14891667
KEN,Kenya,KEN,Kenya,Republic of Kenya,Sub-Saharan Africa,229.5754167,204.7283333,24.84708333
PER,Peru,PER,Peru,Republic of Peru,Latin America & Caribbean,96.78291667,71.979,24.80391667
MEX,Mexico,MEX,Mexico,United Mexican States,Latin America & Caribbean,132.36125,107.942,24.41925
BOL,Bolivia,BOL,"Bolivia, Plurinational State of",Plurinational State of Bolivia,Latin America & Caribbean,149.3304167,125.0756667,24.25475
CUB,Cuba,CUB,Cuba,Republic of Cuba,Latin America & Caribbean,168.235,145.21,23.025
VNM,Vietnam,VNM,Viet Nam,Socialist Republic of Viet Nam,East Asia & Pacific,144.0166667,121.7913333,22.22533333
ETH,Ethiopia,ETH,Ethiopia,Federal Democratic Republic of Ethiopia,Sub-Saharan Africa,169.4270833,147.2406667,22.18641667
YEM,Republic of Yemen,YEM,"Yemen, Republic of",Republic of Yemen,"Middle East, North Africa, Afghanistan & Pakistan",222.11875,200.382,21.73675
AGO,Angola,AGO,Angola,People's Republic of Angola,Sub-Saharan Africa,114.7245833,93.10633333,21.61825
PSE,West Bank and Gaza,PSE,West Bank and Gaza,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",144.2929167,122.8133333,21.47958333
MAR,Morocco,MAR,Morocco,Kingdom of Morocco,"Middle East, North Africa, Afghanistan & Pakistan",101.4745833,80.131,21.34358333
ISR,Israel,ISR,Israel,State of Israel,"Middle East, North Africa, Afghanistan & Pakistan",137.79375,116.6476667,21.14608333
ERI,Eritrea,ERI,Eritrea,State of Eritrea,Sub-Saharan Africa,265.8366667,245.2196667,20.617
SLE,Sierra Leone,SLE,Sierra Leone,Republic of Sierra Leone,Sub-Saharan Africa,190.3741667,170.0056667,20.3685
MDA,Moldova,MDA,Moldova,Republic of Moldova,Europe & Central Asia,29.43125,9.142333333,20.28891667
DZA,Algeria,DZA,Algeria,People's Democratic Republic of Algeria,"Middle East, North Africa, Afghanistan & Pakistan",197.2575,177.2743333,19.98316667
HKG,"Hong Kong, SAR",HKG,"Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,East Asia & Pacific,80.39625,60.54,19.85625
MOZ,Mozambique,MOZ,Mozambique,Republic of Mozambique,Sub-Saharan Africa,147.89375,128.1613333,19.73241667
TUN,Tunisia,TUN,Tunisia,Republic of Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",130.2308333,110.5523333,19.6785
TGO,Togo,TGO,Togo,Republic of Togo,Sub-Saharan Africa,270.85,251.232,19.618
IND,India,IND,India,Republic of India,South Asia,209.4291667,190.2526667,19.1765
GNB,Guinea-Bissau,GNB,Guinea-Bissau,Republic of Guinea-Bissau,Sub-Saharan Africa,300.3433333,281.1723333,19.171
MAC,"Macau, SAR",MAC,"Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,East Asia & Pacific,80.37583333,61.23933333,19.1365
TLS,Timor-Leste,TLS,Timor-Leste,Democratic Republic of Timor-Leste,East Asia & Pacific,43.27375,24.20133333,19.07241667
