iso3c,date,availability_pct
ABW,2015,19.8
ABW,2023,18.1
AFG,2015,45.2
AFG,2023,56.9
AGO,2015,49.6
AGO,2023,52.4
ALB,2015,52
ALB,2023,67.7
AND,2015,25.8
AND,2023,32.3
ARE,2015,41.1
ARE,2023,55.2
ARG,2015,53.2
ARG,2023,67.3
ARM,2015,53.2
ARM,2023,64.5
ASM,2015,11.7
ASM,2023,12.9
ATG,2015,41.5
ATG,2023,48
AUS,2015,52.8
AUS,2023,66.5
AUT,2015,48
AUT,2023,70.6
AZE,2015,49.2
AZE,2023,60.1
BDI,2015,52.4
BDI,2023,54.4
BEL,2015,51.2
BEL,2023,69
BEN,2015,50.4
BEN,2023,57.7
BFA,2015,48.8
BFA,2023,62.1
BGD,2015,53.2
BGD,2023,66.9
BGR,2015,54
BGR,2023,67.7
BHR,2015,37.5
BHR,2023,49.2
BHS,2015,33.9
BHS,2023,37.9
BIH,2015,50.4
BIH,2023,60.5
BLR,2015,52
BLR,2023,67.7
BLZ,2015,47.6
BLZ,2023,53.2
BMU,2015,22.2
BMU,2023,21.8
BOL,2015,52.4
BOL,2023,65.3
BRA,2015,55.6
BRA,2023,65.7
BRB,2015,40.7
BRB,2023,42.3
BRN,2015,36.3
BRN,2023,45.2
BTN,2015,45.6
BTN,2023,50.8
BWA,2015,48.8
BWA,2023,54.4
CAF,2015,37.5
CAF,2023,48
CAN,2015,50.8
CAN,2023,69.4
CHE,2015,50.8
CHE,2023,71
CHL,2015,61.3
CHL,2023,64.5
CHN,2015,46
CHN,2023,60.5
CIV,2015,50.4
CIV,2023,65.3
CMR,2015,52.4
CMR,2023,55.2
COD,2015,48.4
COD,2023,51.6
COG,2015,46.4
COG,2023,47.2
COL,2015,63.7
COL,2023,79
COM,2015,45.6
COM,2023,50
CPV,2015,48.4
CPV,2023,54.8
CRI,2015,60.5
CRI,2023,71.4
CUB,2015,41.1
CUB,2023,53.2
CUW,2015,14.1
CUW,2023,16.5
CYM,2015,19.8
CYM,2023,21
CYP,2015,48.4
CYP,2023,60.1
CZE,2015,54
CZE,2023,67.7
DEU,2015,54.4
DEU,2023,73
DJI,2015,40.7
DJI,2023,41.9
DMA,2015,39.5
DMA,2023,38.7
DNK,2015,49.6
DNK,2023,70.2
DOM,2015,51.2
DOM,2023,66.1
DZA,2015,52
DZA,2023,56.5
ECU,2015,58.9
ECU,2023,70.2
EGY,2015,59.7
EGY,2023,64.9
ERI,2015,33.1
ERI,2023,36.3
ESP,2015,52.8
ESP,2023,71.4
EST,2015,56
EST,2023,69.8
ETH,2015,56.5
ETH,2023,60.5
FIN,2015,56.5
FIN,2023,76.2
FJI,2015,50.4
FJI,2023,61.3
FRA,2015,52.8
FRA,2023,76.2
FRO,2015,13.3
FRO,2023,15.3
FSM,2015,38.3
FSM,2023,39.5
GAB,2015,37.9
GAB,2023,48
GBR,2015,52.4
GBR,2023,72.2
GEO,2015,55.6
GEO,2023,70.6
GHA,2015,54.8
GHA,2023,62.9
GIB,2015,12.1
GIB,2023,14.1
GIN,2015,45.2
GIN,2023,49.6
GMB,2015,47.6
GMB,2023,63.3
GNB,2015,35.9
GNB,2023,46.4
GNQ,2015,39.1
GNQ,2023,41.9
GRC,2015,49.6
GRC,2023,67.3
GRD,2015,40.7
GRD,2023,46.4
GRL,2015,16.1
GRL,2023,16.9
GTM,2015,58.9
GTM,2023,63.3
GUM,2015,15.7
GUM,2023,15.7
GUY,2015,42.7
GUY,2023,57.7
HKG,2015,29.4
HKG,2023,34.3
HND,2015,54
HND,2023,62.9
HRV,2015,48.4
HRV,2023,60.5
HTI,2015,45.6
HTI,2023,45.2
HUN,2015,48
HUN,2023,72.2
IDN,2015,56.5
IDN,2023,69.4
IMN,2015,9.7
IMN,2023,10.1
IND,2015,57.3
IND,2023,67.7
IRL,2015,55.2
IRL,2023,67.3
IRN,2015,49.2
IRN,2023,51.6
IRQ,2015,49.2
IRQ,2023,54
ISL,2015,48.8
ISL,2023,60.9
ISR,2015,47.6
ISR,2023,57.7
ITA,2015,53.2
ITA,2023,72.2
JAM,2015,51.2
JAM,2023,61.3
JOR,2015,52.4
JOR,2023,64.9
JPN,2015,52.8
JPN,2023,66.9
KAZ,2015,55.6
KAZ,2023,66.1
KEN,2015,49.6
KEN,2023,69
KGZ,2015,57.3
KGZ,2023,62.9
KHM,2015,53.6
KHM,2023,66.1
KIR,2015,42.7
KIR,2023,52.8
KNA,2015,35.5
KNA,2023,34.7
KOR,2015,53.6
KOR,2023,70.2
KWT,2015,44.4
KWT,2023,51.2
LAO,2015,46.8
LAO,2023,53.6
LBN,2015,51.6
LBN,2023,59.3
LBR,2015,46.4
LBR,2023,56
LBY,2015,33.5
LBY,2023,37.9
LCA,2015,46.8
LCA,2023,49.6
LIE,2015,18.5
LIE,2023,25.4
LKA,2015,53.2
LKA,2023,62.9
LSO,2015,44.4
LSO,2023,49.6
LTU,2015,51.6
LTU,2023,75.4
LUX,2015,47.6
LUX,2023,62.5
LVA,2015,48
LVA,2023,68.5
MAC,2015,25.4
MAC,2023,27.8
MAF,2015,8.5
MAF,2023,10.1
MAR,2015,54
MAR,2023,62.5
MCO,2015,18.1
MCO,2023,26.6
MDA,2015,53.2
MDA,2023,63.3
MDG,2015,52.4
MDG,2023,56
MDV,2015,43.1
MDV,2023,53.6
MEX,2015,62.9
MEX,2023,79
MHL,2015,34.7
MHL,2023,44.8
MKD,2015,50.8
MKD,2023,61.7
MLI,2015,49.6
MLI,2023,53.6
MLT,2015,46.4
MLT,2023,59.7
MMR,2015,54
MMR,2023,64.1
MNE,2015,54
MNE,2023,60.1
MNG,2015,54.4
MNG,2023,66.9
MNP,2015,11.3
MNP,2023,14.5
MOZ,2015,53.2
MOZ,2023,54
MRT,2015,43.5
MRT,2023,51.6
MUS,2015,56
MUS,2023,66.1
MWI,2015,52.4
MWI,2023,66.5
MYS,2015,57.7
MYS,2023,71.8
NAM,2015,57.3
NAM,2023,55.2
NCL,2015,20.2
NCL,2023,21.8
NER,2015,52.8
NER,2023,54.8
NGA,2015,49.6
NGA,2023,59.3
NIC,2015,53.2
NIC,2023,52.4
NLD,2015,52.4
NLD,2023,69
NOR,2015,54
NOR,2023,70.6
NPL,2015,52.4
NPL,2023,64.5
NRU,2015,34.7
NRU,2023,39.9
NZL,2015,50
NZL,2023,65.3
OMN,2015,41.9
OMN,2023,50.4
PAK,2015,53.2
PAK,2023,62.9
PAN,2015,57.7
PAN,2023,64.5
PER,2015,58.9
PER,2023,78.2
PHL,2015,56
PHL,2023,70.2
PLW,2015,37.1
PLW,2023,44.4
PNG,2015,43.1
PNG,2023,48.8
POL,2015,56
POL,2023,72.6
PRI,2015,21
PRI,2023,23.4
PRK,2015,29
PRK,2023,33.9
PRT,2015,54.8
PRT,2023,71.4
PRY,2015,52.4
PRY,2023,62.5
PSE,2015,49.2
PSE,2023,55.6
PYF,2015,18.5
PYF,2023,20.6
QAT,2015,44.4
QAT,2023,55.2
ROU,2015,52
ROU,2023,67.7
RUS,2015,52.8
RUS,2023,62.9
RWA,2015,50.4
RWA,2023,58.9
SAU,2015,39.5
SAU,2023,59.7
SDN,2015,50
SDN,2023,48.4
SEN,2015,52.8
SEN,2023,59.7
SGP,2015,39.9
SGP,2023,52.4
SLB,2015,48.4
SLB,2023,48.4
SLE,2015,47.6
SLE,2023,50.8
SLV,2015,54.8
SLV,2023,65.7
SMR,2015,20.2
SMR,2023,27.8
SOM,2015,36.7
SOM,2023,47.2
SRB,2015,57.3
SRB,2023,72.6
SSD,2015,31.5
SSD,2023,39.9
STP,2015,41.5
STP,2023,47.6
SUR,2015,41.9
SUR,2023,50
SVK,2015,49.6
SVK,2023,65.7
SVN,2015,53.6
SVN,2023,72.6
SWE,2015,56.9
SWE,2023,74.6
SWZ,2015,48
SWZ,2023,58.9
SXM,2015,11.7
SXM,2023,13.7
SYC,2015,44.4
SYC,2023,46.4
SYR,2015,37.1
SYR,2023,41.9
TCA,2015,15.7
TCA,2023,24.2
TCD,2015,40.3
TCD,2023,50.8
TGO,2015,50.8
TGO,2023,58.5
THA,2015,58.5
THA,2023,74.2
TJK,2015,50.4
TJK,2023,53.6
TKM,2015,33.9
TKM,2023,51.2
TLS,2015,46
TLS,2023,44.8
TON,2015,40.7
TON,2023,56
TTO,2015,44.4
TTO,2023,52
TUN,2015,55.2
TUN,2023,59.7
TUR,2015,58.1
TUR,2023,73.4
TUV,2015,31
TUV,2023,44.4
TZA,2015,58.5
TZA,2023,63.3
UGA,2015,53.6
UGA,2023,62.5
UKR,2015,58.1
UKR,2023,67.7
URY,2015,53.2
URY,2023,59.3
USA,2015,57.7
USA,2023,65.7
UZB,2015,45.2
UZB,2023,67.3
VCT,2015,39.5
VCT,2023,44
VEN,2015,46
VEN,2023,44
VGB,2015,15.3
VGB,2023,16.9
VIR,2015,12.1
VIR,2023,13.3
VNM,2015,50.4
VNM,2023,68.5
VUT,2015,45.2
VUT,2023,50.4
WSM,2015,47.2
WSM,2023,56
YEM,2015,49.6
YEM,2023,50
ZAF,2015,60.1
ZAF,2023,66.1
ZMB,2015,50.8
ZMB,2023,56.9
ZWE,2015,51.2
ZWE,2023,64.5
ABW,2030,21.1
AFG,2030,70.7
AGO,2030,64.5
ALB,2030,81.7
AND,2030,38.1
ARE,2030,68.3
ARG,2030,80.8
ARM,2030,79
ASM,2030,15.3
ATG,2030,59.2
AUS,2030,80.8
AUT,2030,84.2
AZE,2030,74
BDI,2030,67
BEL,2030,82.5
BEN,2030,71.8
BFA,2030,76.1
BGD,2030,80.8
BGR,2030,81.7
BHR,2030,60.5
BHS,2030,45.9
BIH,2030,74
BLR,2030,81.7
BLZ,2030,65.8
BMU,2030,25.8
BOL,2030,79
BRA,2030,79.9
BRB,2030,51.1
BRN,2030,55.2
BTN,2030,63.2
BWA,2030,67
CAF,2030,59.2
CAN,2030,82.5
CHE,2030,84.2
CHL,2030,79
CHN,2030,74
CIV,2030,79
CMR,2030,68.3
COD,2030,64.5
COG,2030,57.9
COL,2030,89.9
COM,2030,61.9
CPV,2030,68.3
CRI,2030,84.2
CUB,2030,65.8
CUW,2030,19.9
CYM,2030,24.6
CYP,2030,74
CZE,2030,81.7
DEU,2030,85.7
DJI,2030,51.1
DMA,2030,47.2
DNK,2030,83.4
DOM,2030,79.9
DZA,2030,69.5
ECU,2030,83.4
EGY,2030,79
ERI,2030,43.2
ESP,2030,84.2
EST,2030,83.4
ETH,2030,74
FIN,2030,87.9
FJI,2030,75.1
FRA,2030,87.9
FRO,2030,17.6
FSM,2030,48.5
GAB,2030,59.2
GBR,2030,84.9
GEO,2030,84.2
GHA,2030,77.1
GIB,2030,16.5
GIN,2030,61.9
GMB,2030,77.1
GNB,2030,56.5
GNQ,2030,51.1
GRC,2030,80.8
GRD,2030,56.5
GRL,2030,19.9
GTM,2030,77.1
GUM,2030,18.8
GUY,2030,71.8
HKG,2030,40.7
HND,2030,77.1
HRV,2030,74
HTI,2030,55.2
HUN,2030,84.9
IDN,2030,82.5
IMN,2030,12
IND,2030,81.7
IRL,2030,80.8
IRN,2030,64.5
IRQ,2030,67
ISL,2030,75.1
ISR,2030,71.8
ITA,2030,84.9
JAM,2030,75.1
JOR,2030,79
JPN,2030,80.8
KAZ,2030,79.9
KEN,2030,82.5
KGZ,2030,77.1
KHM,2030,79.9
KIR,2030,65.8
