year,type,value
2018,survey,34.2
2018,extrapolated,34.2
2019,extrapolated,34.2
2020,extrapolated,35.9
2021,extrapolated,35.3
2022,extrapolated,34.8
2023,extrapolated,34.5
2022,survey,41.8
