iso3c,spi_index,spi_quintile,fcv,pillar1,pillar2,pillar3,pillar4,pillar5
AND,49.87,1,non_fcv,60,55.03,51.66,57.64,25
BHS,51.26,1,non_fcv,70,27.3,47.02,36.97,75
BHR,51.96,1,non_fcv,60,39.53,56.33,63.94,40
BDI,45.24,1,fcv,50,42.47,70.03,18.72,45
CAF,46.84,1,fcv,50,75.73,58.38,10.1,40
TCD,53.57,1,fcv,63.4,66.73,62.96,24.74,50
COM,50.5,1,fcv,80,33.6,72.94,25.98,40
COD,46.28,1,fcv,40,62.8,64.26,24.35,40
COG,38.87,1,fcv,30,29.17,61.34,23.85,50
DJI,38.11,1,non_fcv,40,28.27,55.71,16.57,50
DMA,40.71,1,non_fcv,50,29.93,53.14,40.46,30
GNQ,32.15,1,non_fcv,10,29.63,60.41,25.69,35
GAB,45.48,1,non_fcv,60,30.23,62.39,29.78,45
GRD,50.81,1,non_fcv,80,28.83,59.34,45.88,40
GIN,49.91,1,non_fcv,66.6,30.6,62.65,34.72,55
GNB,47.52,1,fcv,80,29.5,58.2,19.92,50
GUY,54.06,1,non_fcv,60,66.83,64.75,33.71,45
HTI,38.74,1,fcv,40,24.97,56.21,17.54,55
IRQ,53.98,1,fcv,60,66.27,66.53,37.12,40
KIR,50.04,1,fcv,50,63.07,60.23,31.92,45
LBY,34.75,1,fcv,20,59.33,53.76,10.67,30
MHL,43.54,1,fcv,30,62.33,59.27,36.1,30
FSM,37.1,1,fcv,20,58.57,54.85,22.1,30
NRU,47.94,1,non_fcv,70,40.7,63.46,50.54,15
PNG,43.63,1,fcv,50,62.23,66.44,14.47,25
STP,52.97,1,fcv,60,65.67,55.59,48.59,35
SLB,51.03,1,fcv,60,62.77,60.92,26.47,45
SOM,51.71,1,fcv,60,48.73,63.09,16.73,70
SSD,27.12,1,fcv,20,8.33,57.54,9.74,40
KNA,42.66,1,non_fcv,60,30.5,44.24,43.56,35
VCT,51.96,1,non_fcv,50,66.3,55.19,48.31,40
SDN,42.1,1,fcv,46.6,57.93,57.18,18.77,30
SYR,32.42,1,fcv,26.6,26.43,57.89,11.17,40
TKM,29.65,1,non_fcv,60,5.3,54.06,13.91,15
TUV,43.02,1,fcv,50,61.07,60.38,28.64,15
VUT,53.45,1,non_fcv,56.6,61.67,70.49,43.47,35
VEN,39.46,1,fcv,60,24.4,57.31,30.58,25
YEM,37.44,1,fcv,46.6,28.3,66.76,20.52,25
AFG,54.39,2,fcv,66.6,65.1,64.56,20.68,55
DZA,55.24,2,non_fcv,60,58.9,67.99,44.3,45
AGO,58.15,2,non_fcv,60,63.07,69.12,48.58,50
ATG,63.21,2,non_fcv,80,62.9,64.94,53.22,55
BRB,61.74,2,non_fcv,80,62.57,53.64,52.49,60
BTN,57.97,2,non_fcv,70,66.33,65.78,47.75,40
BWA,64.21,2,non_fcv,50,68.67,75.14,67.25,60
