iso3c,income_level_iso3c,availability_pct,gdp,pop,spi_index_alt,sdg_speed,spi_speed
AFG,LIC,56.9,2211,41454761,47.5,1.108,1.078
AGO,LMC,52.4,8041,36749906,52.8,0.515,1.3
ALB,UMC,67.7,21926,2745972,80.4,0.722,1.649
AND,HIC,32.3,71731,80856,46.1,1.09,
ARE,HIC,55.2,76110,10483751,75.7,1.357,2.269
ARG,UMC,67.3,30082,45538401,73.6,0.79,0.882
ARM,UMC,64.5,21343,2990900,80,0.769,0.52
ATG,HIC,48,32149,93316,51.4,0.663,
AUS,HIC,66.5,69231,26658948,92.9,0.845,
AUT,HIC,70.6,73135,9131761,90.2,1.235,
AZE,UMC,60.1,23598,10153958,60.1,0.629,1.088
BDI,LIC,54.4,920,13689450,30.7,0.748,-0.121
BEL,HIC,69,72071,11787423,88.6,1.16,
BEN,LMC,57.7,4130,14111034,58.3,0.726,1.542
BFA,LIC,62.1,2755,23025776,63.7,0.891,1.637
BGD,LMC,66.9,9148,171466990,63.4,0.902,1.261
BGR,HIC,67.7,38905,6446596,87.1,0.94,
BHR,HIC,49.2,63498,1577059,46.6,1.151,0.703
BHS,HIC,37.9,36742,399440,46.5,0.53,1.113
BIH,UMC,60.5,23422,3185073,67.2,0.748,1.546
BLR,UMC,67.7,30763,9178298,74.2,1.323,1.004
BLZ,UMC,53.2,13823,411106,62.5,0.631,1.714
BOL,LMC,65.3,10925,12244159,60.5,0.826,1.309
BRA,UMC,65.7,21107,211140729,80.8,0.647,0.854
BRB,HIC,42.3,21336,282336,59.2,0.069,
BRN,HIC,45.2,85268,458949,57.5,1.333,
BTN,LMC,50.8,,786385,50.7,0.4,0.927
BWA,UMC,54.4,20916,2480244,63.9,0.612,1.376
CAF,LIC,48,1260,5152421,39.2,0.826,
CAN,HIC,69.4,61651,40097761,94.2,1.16,
CHE,HIC,71,92580,8888093,87.5,1.112,
CHL,HIC,64.5,33235,19658835,85.1,0.558,0.902
CHN,UMC,60.5,24569,1410710000,48.5,1.011,0.316
CIV,LMC,65.3,7198,31165654,55.3,1.14,1.355
CMR,LMC,55.2,5406,28372687,51.8,0.531,0.805
COD,LIC,51.6,1616,105789731,41.2,0.874,1.034
COG,LMC,47.2,6850,6182885,33.8,0.455,0.409
COL,UMC,79,21448,52321152,82.7,1,1.63
CPV,LMC,54.8,10309,522331,51.7,0.594,0.643
CRI,UMC,71.4,28536,5105525,84,0.736,1.511
CYP,HIC,60.1,60145,1344976,86.9,0.81,
CZE,HIC,67.7,55875,10864042,90.1,1.122,
DEU,HIC,73,71438,83280000,92.2,1.31,
DJI,LMC,41.9,7104,1152944,32.2,0.632,0.776
DMA,UMC,38.7,19334,66510,32.6,0.157,
DNK,HIC,70.2,77237,5946952,95.2,1.135,
DOM,UMC,66.1,25624,11331265,63.6,0.808,0.935
DZA,UMC,56.5,16824,46164219,52.7,0.639,1.262
ECU,UMC,70.2,16062,17980083,70,0.747,0.516
EGY,LMC,64.9,18525,114535772,75.3,0.558,0.49
ESP,HIC,71.4,54123,48347910,93,1.172,
EST,HIC,69.8,49501,1370286,92.9,0.85,
ETH,LIC,60.5,3058,128691692,48.2,0.875,0.851
FIN,HIC,76.2,64056,5583911,94.9,1.244,
FJI,UMC,61.3,15152,924145,55.2,0.788,0.896
FRA,HIC,76.2,61473,68287487,91,1.303,
FSM,LMC,39.5,4314,112630,35.4,0.888,0.66
GAB,UMC,48,20757,2484789,36,1.002,0.808
GBR,HIC,72.2,59626,68350000,84.9,1.273,0.549
GEO,UMC,70.6,25072,3715483,87.2,0.996,
GHA,LMC,62.9,7543,33787914,59.7,0.807,1.028
GIN,LMC,49.6,4383,14405468,36.7,0.935,0.438
GMB,LIC,63.3,3254,2697845,54.4,1.278,1.169
GNB,LIC,46.4,2862,2153339,26.1,0.71,0.07
GNQ,UMC,41.9,17412,1847549,28.2,0.632,
GRC,HIC,67.3,41923,10405588,89.8,1.022,
GRD,UMC,46.4,18808,117081,35.4,0.628,
GTM,UMC,63.3,13750,18124838,70.7,0.48,1.78
GUY,HIC,57.7,54732,826353,46.4,0.927,0.978
HND,LMC,62.9,7179,10644851,51.6,0.692,0.643
HRV,HIC,60.5,46778,3859686,86.4,0.516,
HTI,LMC,45.2,3281,11637398,28.8,0.736,0.525
HUN,HIC,72.2,45931,9592186,89.9,1.337,
IDN,UMC,69.4,15416,281190067,73.4,0.812,0.817
IND,LMC,67.7,10166,1438069596,68,0.94,0.457
IRL,HIC,67.3,127873,5307600,91.1,1.149,
IRN,UMC,51.6,17660,90608707,59.2,0.327,1.563
IRQ,UMC,54,14107,45074049,46.2,0.612,1.082
ISL,HIC,60.9,78380,393349,76.5,1.124,0.327
