date,spi_overall,spi_sources,spi_services
2016,58.6,50.7,47
2017,60.6,49.2,56
2018,63,50,67.8
2019,63.1,50.4,67.1
2020,65,51.3,68.8
2021,69.9,55.7,70.6
2022,68.5,55.9,70.3
2023,69.7,55.8,68.7
