country_name,iso3,series_name,series_code,year,value
Ecuador,ECU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,69.8869997
Georgia,GEO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,70.52660973
Albania,ALB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,70.79373639
Kyrgyz Republic,KGZ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,73.8812993
Colombia,COL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,74.33929919
Serbia,SRB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,74.96726348
Moldova,MDA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,75.81589087
Russian Federation,RUS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,76.26072942
India,IND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,76.44219421
"Egypt, Arab Rep.",EGY,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,78.94015883
Morocco,MAR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,79.98180723
Costa Rica,CRI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,80.50007424
West Bank and Gaza,PSE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,80.6420172
North Macedonia,MKD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,80.79054149
Northern Mariana Islands,MNP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,81.45454545
Uzbekistan,UZB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,81.9295048
Armenia,ARM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,82.07281919
Romania,ROU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,82.18299294
Montenegro,MNE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,85.50091179
Bosnia and Herzegovina,BIH,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,86.40010788
Croatia,HRV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,87.26826925
Ukraine,UKR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,87.86837694
Brazil,BRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,88.62396607
Poland,POL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,88.67554625
Jordan,JOR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,88.95029853
French Polynesia,PYF,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,90.44871795
American Samoa,ASM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,90.53833605
Andorra,AND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,90.64000181
Palau,PLW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,90.77521735
Oman,OMN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,91.10117441
Kazakhstan,KAZ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,91.54541823
Belarus,BLR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,93.05975529
Guam,GUM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,93.99715378
"Iran, Islamic Rep.",IRN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,94.41220521
Malaysia,MYS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,94.70036186
Turkmenistan,TKM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,94.85354592
Portugal,PRT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,95.21734795
Qatar,QAT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,95.34524188
Ireland,IRL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.12501116
Bulgaria,BGR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.20707815
St. Martin (French part),MAF,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.62548146
Greece,GRC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.68615548
Switzerland,CHE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.69999689
Lithuania,LTU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.73357426
Italy,ITA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.75843583
New Caledonia,NCL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.86528541
Canada,CAN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,96.89032266
Latvia,LVA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,97.01140687
United States,USA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,97.56768844
Chile,CHL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,97.8170552
Czechia,CZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,98.14487284
United Arab Emirates,ARE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,98.64131723
Virgin Islands (U.S.),VIR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,98.67748374
Japan,JPN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,98.72702421
Austria,AUT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,98.89153572
Bahrain,BHR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,98.90397556
Puerto Rico (US),PRI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,98.94026184
Estonia,EST,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,98.94390973
Norway,NOR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.06248306
"Korea, Rep.",KOR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.28266946
Spain,ESP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.45846467
Israel,ISR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.46198769
