country_name,iso3,year,accessibility,availability,quality,limiting_factor,min_value,below or above global average (73.4%)?
Central African Republic,CAF,2024,6.21748769,37.4714089,29.4942915,accessibility,6.21748769,below
Tuvalu,TUV,2024,89.9052961,74.307973,8.72255043,quality,8.72255043,below
Chad,TCD,2024,10.0736766,51.4061589,13.6068959,accessibility,10.0736766,below
Sierra Leone,SLE,2024,14.8398542,58.1080883,11.0798045,quality,11.0798045,below
Democratic Republic of the Congo,COD,2024,11.8726482,43.1377445,41.020713,accessibility,11.8726482,below
Kiribati,KIR,2024,55.64369,51.486693,15.0879416,quality,15.0879416,below
Nepal,NPL,2024,78.5100359,81.6083245,16.4868857,quality,16.4868857,below
Ethiopia,ETH,2024,21.2135939,70.0839983,16.6502477,quality,16.6502477,below
Benin,BEN,2024,26.3942396,56.5142575,17.6968322,quality,17.6968322,below
Malawi,MWI,2024,18.181654,69.2019161,42.6711049,accessibility,18.181654,below
Nauru,NRU,2024,96.0511851,74.008171,18.6631621,quality,18.6631621,below
Vanuatu,VUT,2024,80.4360977,63.8517391,19.197084,quality,19.197084,below
Uganda,UGA,2024,19.7183149,66.0669559,39.2807913,accessibility,19.7183149,below
Togo,TGO,2024,20.5232353,51.1146495,36.9079868,accessibility,20.5232353,below
Guinea-Bissau,GNB,2024,23.9850168,61.0432335,46.3977835,accessibility,23.9850168,below
Madagascar,MDG,2024,24.3792722,40.5805252,28.6833047,accessibility,24.3792722,below
Senegal,SEN,2024,78.0909221,51.6689736,27.1931407,quality,27.1931407,below
Zimbabwe,ZWE,2024,27.897394,62.3843624,42.9357061,accessibility,27.897394,below
Tonga,TON,2024,98.6007115,91.0725849,29.5984543,quality,29.5984543,below
Cambodia,KHM,2024,53.6680568,84.0646616,29.9855761,quality,29.9855761,below
Indonesia,IDN,2024,70.3161599,86.7881751,30.4609774,quality,30.4609774,below
Afghanistan,AFG,2024,50.708691,43.1642296,30.5547223,quality,30.5547223,below
Nigeria,NGA,2024,37.108792,64.38355,31.0186852,quality,31.0186852,below
United Republic of Tanzania,TZA,2024,48.7666155,51.2995646,31.3253989,quality,31.3253989,below
Mozambique,MOZ,2024,32.1983106,50.9097658,36.618553,accessibility,32.1983106,below
Lesotho,LSO,2024,33.6123833,60.882193,67.0213806,accessibility,33.6123833,below
Lao PDR,LAO,2024,95.8635795,87.9284689,35.1877231,quality,35.1877231,below
Côte d'Ivoire,CIV,2024,53.5888407,54.4318151,36.4489382,quality,36.4489382,below
São Tomé and Príncipe,STP,2024,36.6800381,54.5422348,80.6849552,accessibility,36.6800381,below
Eswatini,SWZ,2024,63.1584795,58.7782982,40.1804384,quality,40.1804384,below
Ghana,GHA,2024,42.9413892,83.4467843,56.0518486,accessibility,42.9413892,below
Mexico,MEX,2024,96.7482586,67.4397404,42.9666312,quality,42.9666312,below
Mongolia,MNG,2024,43.3607223,84.4120675,81.7940304,accessibility,43.3607223,below
Pakistan,PAK,2024,68.809478,82.2723058,44.9737364,quality,44.9737364,below
Dominican Republic,DOM,2024,96.4358871,90.9994782,45.3324071,quality,45.3324071,below
Sri Lanka,LKA,2024,80.8441561,80.878982,46.9329705,quality,46.9329705,below
Turks and Caicos Islands,TCA,2024,47.0499188,98.1920006,87.0571083,accessibility,47.0499188,below
Lebanon,LBN,2024,89.6,89.56941,47.7,quality,47.7,below
Philippines,PHL,2024,86.9793672,89.3711139,48.4840577,quality,48.4840577,below
Gambia,GMB,2024,48.8753767,68.0021744,56.9499415,accessibility,48.8753767,below
Fiji,FJI,2024,94.2263209,52.1884446,62.156894,availability,52.1884446,below
Peru,PER,2024,87.8192595,56.176897,52.4218898,quality,52.4218898,below
Guatemala,GTM,2024,82.092699,54.3904186,57.333357,availability,54.3904186,below
Suriname,SUR,2024,96.0050311,82.7481373,55.847241,quality,55.847241,below
Azerbaijan,AZE,2024,87.0884447,77.9981162,57.8118283,quality,57.8118283,below
Viet Nam,VNM,2024,98.7612467,96.1290004,58.5808391,quality,58.5808391,below
Bangladesh,BGD,2024,86.1164236,94.5105136,59.125426,quality,59.125426,below
Myanmar,MMR,2024,66.200803,75.603096,59.7239751,quality,59.7239751,below
Iraq,IRQ,2024,94.2211153,73.6932422,59.8272461,quality,59.8272461,below
Samoa,WSM,2024,98.2842902,86.2122111,62.5019406,quality,62.5019406,below
Botswana,BWA,2024,82.405504,63.2910412,71.6519978,availability,63.2910412,below
Paraguay,PRY,2024,98.465151,86.4178296,64.3647197,quality,64.3647197,below
Tunisia,TUN,2024,88.2656858,64.9781072,68.1703602,availability,64.9781072,below
