iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
AFG,,0.528408582,2021,41,36,2015,45.52273213
AGO,,0.1071822443,2021,37,36,2015,45.52273213
ALB,,0.4221890829,2021,64,61,2015,67.70837489
AND,,0.9912510357,2021,79,75,2015,79.03149627
ARE,,2.533856133,2021,82,72,2015,76.62055149
ARG,,-0.2854918809,2021,79,80,2015,83.03290133
ARM,,0.1642203512,2021,68,67,2015,72.58436371
ATG,,-0.4939653448,2021,76,78,2015,81.43667914
AUS,,,2021,87,,,
AUT,,0.4233498458,2021,85,84,2015,85
AZE,,0.5883404101,2021,66,62,2015,68.5237665
BDI,,0.1045597484,2021,41,40,2015,49.51889697
BEL,,,2021,86,,,
BEN,,0.3217023893,2021,38,35,2015,44.48829905
BFA,,0.5320757672,2021,40,35,2015,44.48829905
BGD,,0.7502375057,2021,52,45,2015,54.20593862
BGR,,0.5727960589,2021,73,70,2015,75.00892623
BHR,,0.6535908477,2021,76,73,2015,77.4250044
BHS,,0,2021,77,77,2015,80.63592234
BIH,,-0.323267363,2021,66,68,2015,73.39392051
BLR,,0.7628805226,2021,79,76,2015,79.83456638
BLZ,,-0.1702646114,2021,68,69,2015,74.20228152
BOL,,0.7044047677,2021,65,60,2015,66.8926375
BRA,,-0.6329793754,2021,80,82,2015,84.62567181
BRB,,-0.8081568847,2021,77,80,2015,83.03290133
BRN,,0.7223358579,2021,78,75,2015,79.03149627
BTN,,0.8489628854,2021,60,53,2015,61.13216572
BWA,,-0.3628027198,2021,55,58,2015,65.25965162
CAF,,0.2315127466,2021,32,30,2015,39.07574044
CAN,,,2021,91,,,
CHE,,,2021,86,,,
CHL,,0.9184712562,2021,82,79,2015,82.2368436
CHN,,1.353749853,2021,81,76,2015,79.83456638
CIV,,0,2021,43,43,2015,52.36987198
CMR,,0.2083333333,2021,44,42,2015,51.43241109
COD,,0.5253930044,2021,42,37,2015,46.54370828
COG,,0.3149331263,2021,41,38,2015,47.54977699
COL,,0.5544070587,2021,80,78,2015,81.43667914
COM,,0.4203612486,2021,48,44,2015,53.29441365
CPV,,0.5300324291,2021,71,68,2015,73.39392051
CRI,,1.113534334,2021,81,77,2015,80.63592234
CUB,,-0.3851583386,2021,83,84,2015,85
CYP,,0.8597845079,2021,81,78,2015,81.43667914
CZE,,0.7399932858,2021,84,82,2015,84.62567181
DEU,,,2021,88,,,
DJI,,0.3125,2021,44,41,2015,50.48252886
DMA,,-2.816684634,2021,49,70,2015,75.00892623
DNK,,0.6329793754,2021,82,80,2015,83.03290133
DOM,,0.4685860318,2021,77,75,2015,79.03149627
DZA,,0,2021,74,74,2015,78.22850469
ECU,,0,2021,77,77,2015,80.63592234
EGY,,0.8238288971,2021,70,65,2015,70.96150324
ERI,,0,2021,45,45,2015,54.20593862
ESP,,0,2021,85,85,2015,
EST,,0.5226650038,2021,79,77,2015,80.63592234
ETH,,0.1095793552,2021,35,34,2015,43.43633724
FIN,,,2021,86,,,
