iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
SDN,,-1.428571429,2022,0.8,0.7,2015,0.63
SEN,,1.428571429,2022,0.4,0.5,2015,0.43
SGP,,,2024,0.1231251901,,,
SLB,,,2024,0.3210953766,,,
SLE,,,2024,0.3136718677,,,
SLV,,,2024,0.1771206328,,,
SMR,,,2023,0.08063785906,,,
SOM,,1.30952381,2022,1.4,1.7,2015,1.465
SRB,,1.428571429,2022,0.4,0.5,2015,0.43
STP,,,2024,0.2048865938,,,
SUR,,,2024,0.3887303775,,,
SVK,,,2024,0.1846619282,,,
SVN,,,2024,0.1484395004,,,
SWE,,,2024,0.07574651369,,,
SWZ,,,2024,0.2247890315,,,
SYC,,,2024,0.2037416129,,,
SYR,,-1.428571429,2022,0.5,0.4,2015,
TCA,,,2024,0.2535672927,,,
TCD,,-1.571428571,2022,2.2,1.7,2015,1.465
TGO,,0,2022,0.5,0.5,2015,0.43
THA,,,2024,0.2939475148,,,
TJK,,2.857142857,2022,0.4,0.6,2015,0.53
TKM,,2.857142857,2022,0.8,1.2,2015,1.06
TLS,,,2024,0.3779939193,,,
TON,,0,2022,0.4,0.4,2015,
TTO,,0,2022,1.2,1.2,2015,1.06
TUN,,,2024,0.316885399,,,
TUR,,,2024,0.193197253,,,
TUV,,0,2022,0.4,0.4,2015,
TZA,,1.428571429,2022,0.4,0.5,2015,0.43
UGA,,1.428571429,2022,0.4,0.5,2015,0.43
UKR,,,2024,0.2929404928,,,
URY,,0,2022,0.4,0.4,2015,
USA,,,2024,0.2320141264,,,
UZB,,1.428571429,2022,0.6,0.7,2015,0.63
VCT,,,2024,0.1699462909,,,
VNM,,0,2022,0.4,0.4,2015,
VUT,,1.428571429,2022,0.6,0.7,2015,0.63
WSM,,,2024,0.2846489343,,,
ZAF,,1.428571429,2022,0.6,0.7,2015,0.63
ZMB,,0,2022,0.6,0.6,2015,0.53
ZWE,,0,2022,0.4,0.4,2015,
