iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
AGO,,-0.9227359209,2025,42.3,35.6,2015,28.28
ALB,2027,2.715014682,2025,3.9,11.4,2015,7.675
ARE,1950,,2025,0,,,
ARG,2007,,2025,0.95,1.1,2015,0.72
ARM,2019,,2025,0.78,2.9,2015,1.855
AUS,1950,,2025,0.9,0.6,2015,0.41
AUT,1950,,2025,0.5,0.7,2015,0.475
AZE,2002,,2025,0,,,
BDI,2646,0.2110412299,2025,74.27,75.4,2015,69.475
BEL,1950,,2025,0.1,,,
BEN,2044,2.838830412,2025,21.9,41.4,2015,33.82
BFA,2054,2.478101754,2025,34.59,52.6,2015,44.95
BGD,2044,1.462370512,2025,9.03,15.2,2015,10.54
BGR,2017,3.887343656,2025,0.9,4.6,2015,2.96
BIH,1999,,2025,0.4,0.8,2015,0.535
BLR,2005,,2025,0,,,
BLZ,1998,,2025,0.65,0.9,2015,0.595
BOL,2026,1.546297284,2025,3.27,6.2,2015,4.03
BRA,2025,1.424924627,2025,2.98,5.4,2015,3.49
BRB,1970,,2025,1.47,1.6,2015,1.035
BTN,2001,,2025,0.003,,,
BWA,2480,0.1116949153,2025,20.14,20.8,2015,15.045
CAF,2127,1.165099293,2025,67.06,73.9,2015,67.775
CAN,1962,,2025,0.3,0.4,2015,0.3
CHE,1950,,2025,0.2,,,
CHL,2007,,2025,0.4,0.7,2015,0.475
CHN,2015,,2025,0,,,
CIV,2050,1.716792648,2025,16.1,26.3,2015,19.77
CMR,,-0.1149253731,2025,28.17,27.4,2015,20.745
COD,2216,0.7591593045,2025,81.13,84.3,2015,79.805
COG,,-1.746289954,2025,51.74,39,2015,31.505
COL,2060,0.6817123283,2025,7.87,10.2,2015,6.81
COM,2031,1.741067871,2025,4.65,9.3,2015,6.17
CPV,2049,1.192898056,2025,9.55,14.6,2015,10.075
CRI,2021,,2025,0.75,2.5,2015,1.6
CYP,1967,,2025,0,,,
CZE,1970,,2025,0,,,
DEU,1950,,2025,0.7,,,
DJI,2056,1.575826055,2025,19.4,29.4,2015,22.545
DNK,1950,,2025,0.3,,,
DOM,2013,,2025,0.71,2,2015,1.28
DZA,1999,,2025,0,,,
ECU,2029,0.8117977542,2025,3.42,4.8,2015,3.09
EGY,1995,,2025,1,0.6,2015,0.41
ESP,1966,,2025,0.8,1.1,2015,0.72
EST,2004,,2025,0.3,0.7,2015,0.475
ETH,,-1.162164769,2025,41.79,33.4,2015,26.215
FIN,1950,,2025,0.2,,,
FJI,2024,2.015014067,2025,2.5,5.8,2015,3.76
FRA,1954,,2025,0.1,,,
FSM,2241,0.2642128358,2025,23.9,25.6,2015,19.15
GAB,,-0.7408453732,2025,4.9,3.6,2015,2.305
GBR,1950,,2025,0.4,0.3,2015,0.21
GEO,2026,2.806259992,2025,3.45,10.6,2015,7.095
GHA,2317,0.2698630137,2025,38.93,40.9,2015,33.33
GIN,2035,2.256851374,2025,7.6,17,2015,11.95
GMB,,-0.5846816553,2025,20.29,17,2015,11.95
GNB,2580,0.1438356164,2025,39.75,40.8,2015,33.235
GNQ,,-1.221377784,2025,10.41,6.5,2015,4.23
GRC,1969,,2025,0.5,2,2015,1.28
GRD,1998,,2025,0.77,1,2015,0.65
GTM,,-0.4559777653,2025,9.64,8.1,2015,5.325
