iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
AFG,,0.908837079,2024,54.4,39.7,2016,55.75000887
AGO,,0.7140922046,2024,58.2,47.4,2016,62.35117481
ALB,,1.551434985,2024,83.7,64.9,2016,77.97388514
AND,,,2024,49.8675,,,
ARE,,2.321059123,2024,79.1,46.7,2016,61.72176726
ARG,,1.177461844,2024,80.4,65.5,2016,78.45436329
ARM,,0.2404775706,2024,82.2,79.7,2016,88.56911006
ATG,,,2024,63.21083333,,,
AUS,,0.6984471551,2024,89,83.4,2016,90.2
AUT,,0.411650607,2024,89.3,86.3,2016,90.2
AZE,,1.07113113,2024,69.5,54.1,2016,68.52415962
BDI,,-0.3331516991,2024,45.2,50.5,2016,65.18566177
BEL,,1.228393907,2024,87.3,75,2016,85.46890099
BEN,,1.548867246,2024,71,48.5,2016,63.34890908
BFA,,1.91041557,2024,76.4,49.5,2016,64.26395997
BGD,,1.017549423,2024,71.6,57.2,2016,71.36754972
BGR,,0.789743874,2024,83.6,75,2016,85.46890099
BHR,,0.5911466993,2024,52,42.5,2016,58.06474535
BHS,,0.862406379,2024,51.3,36.7,2016,53.37950919
BIH,,0.9178917775,2024,68.6,55.4,2016,69.72424697
BLR,,0.8274447314,2024,77.2,66.4,2016,79.16690947
BLZ,,1.332403497,2024,67.7,48.1,2016,62.98434978
BOL,,0.8512792995,2024,70.2,58.1,2016,72.17812713
BRA,,0.710206974,2024,82.3,74.3,2016,84.98732714
BRB,,,2024,61.73916667,,,
BRN,,,2024,61.4375,,,
BTN,,0.6941810024,2024,58,47.5,2016,62.44117481
BWA,,0.9243894577,2024,64.2,50.6,2016,65.2783701
CAF,,,2024,46.84166667,,,
CAN,,,2024,92.35875,,,
CHE,,0.5451511947,2024,88.7,84.4,2016,90.2
CHL,,1.124062293,2024,89.4,79.7,2016,88.56911006
CHN,,0.2912860788,2024,57.9,53.6,2016,68.06073847
CIV,,1.589697619,2024,70.2,46.9,2016,61.90142098
CMR,,0.8929085752,2024,66,53,2016,67.50379066
COD,,0.8258717287,2024,46.3,33.1,2017,48.73339105
COG,,-0.2127975208,2024,38.9,42.7,2016,58.23418979
COL,,1.033657801,2024,83.4,71.6,2016,83.08127265
COM,,,2024,50.50375,,,
CPV,,0.4684969025,2024,59.9,53,2016,67.50379066
CRI,,1.38343334,2023,89.2,78.4,2016,86.78446635
CYP,,1.594895093,2024,85.1,66.5,2016,79.24531856
CZE,,0.7579269534,2024,87,80,2016,88.75940889
DEU,,0.7051350759,2024,90.1,84.9,2016,90.2
DJI,,0.6417288212,2024,38.1,24,2016,44.44296325
DMA,,,2024,40.70708333,,,
DNK,,,2024,92.05041667,,,
DOM,,0.8858522713,2024,75.2,63.2,2016,76.58425775
DZA,,0.675439561,2024,55.2,44.7,2016,59.95387313
ECU,,0.77724737,2024,79.9,70.4,2016,82.20719691
EGY,,0.1534990669,2024,78.1,76.3,2016,86.34893711
ESP,,,2024,91.82291667,,,
EST,,0.9495761776,2024,88.8,80.6,2016,89.1383576
ETH,,0.704950984,2024,61.7,51.3,2016,65.92629654
FIN,,,2024,90.37125,,,
FJI,,0.8732157141,2024,67.7,55.1,2016,69.44826877
FRA,,0.4453659157,2024,88.4,84.9,2016,90.2
FSM,,0.546477359,2024,37.1,25.1,2016,45.1534939
GAB,,0.9361597327,2024,45.5,27.2,2016,46.54193139
GBR,,0.7453056518,2024,88.4,82.1,2016,90.06914514
GEO,,1.116640583,2024,87.7,77,2016,86.81517651
GHA,,0.4444340233,2024,65.7,59.3,2016,73.24537534
GIN,,0.4424743099,2024,49.9,42.7,2016,58.23418979
GMB,,1.382190806,2024,67,46.5,2016,61.54255934
GNB,,0.8161005449,2024,47.5,32.7,2016,50.38297798
GNQ,,,2024,32.1475,,,
GRC,,0.4635986688,2024,86.6,82.5,2016,90.2
GRD,,,2024,50.81041667,,,
GTM,,1.542641345,2024,79.4,58.9,2016,72.89147657
GUY,,1.089133677,2024,54.1,35.9,2016,52.76532335
HND,,0.4513021551,2024,65.7,59.2,2016,73.1569138
HRV,,1.601997366,2024,85.1,66.4,2016,79.16690947
HTI,,0.130914566,2024,38.7,36.2,2016,52.99490357
HUN,,0.4980450909,2024,87.9,83.8,2016,90.2
IDN,,1.141412665,2024,82.3,68.6,2016,80.86244805
IND,,0.5911061569,2024,73.7,65.7,2016,78.61368532
IRL,,0.542890566,2024,88.3,83.9,2016,90.2
IRN,,0.9337642421,2024,63.5,49.7,2016,64.44849605
IRQ,,1.036347307,2024,54,36.8,2016,53.45678192
ISL,,0.9961055902,2024,81.5,69.5,2016,81.5395672
ISR,,1.268381386,2023,87.9,77.4,2016,86.08858278
ITA,,,2024,90.93125,,,
JAM,,1.579084135,2024,73.5,51,2016,65.64828607
JOR,,1.672878279,2024,78.8,56.2,2016,70.45812922
JPN,,,2024,90.99291667,,,
KAZ,,1.19160005,2024,84.9,71.7,2016,83.15339386
KEN,,1.244297654,2024,73.4,55.9,2016,70.18352699
KGZ,,-0.1866389025,2024,79.1,81.1,2016,89.45117404
KHM,,0.629373998,2024,63,53.8,2016,68.24576521
KIR,,1.180993517,2024,50,28.1,2016,47.14937476
KNA,,,2024,42.65916667,,,
KOR,,1.727156755,2022,88.5,76.2,2016,84.13765645
KWT,,1.190020564,2024,63.4,45.5,2016,60.65572446
LAO,,1.245213571,2024,60.8,41.5,2016,57.22603774
LBN,,1.496620345,2024,57.8,32.7,2016,50.38297798
