iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
AFG,,-1.7375,2023,28.1,19.9,2015,16.38
AGO,,-2.35625,2023,22.5,14.2,2015,11.8
ALB,,-1.125,2023,5.4,4.5,2015,4.2
ARE,2020,,2023,2.5,,,
ARG,,,2023,3.4,,,
ARM,2010,,2023,2.5,,,
AUS,2001,,2023,2.5,,,
AUT,2001,,2023,2.5,,,
AZE,2007,,2023,2.5,,,
BEL,2001,,2023,2.5,,,
BEN,,-2.5625,2023,14.3,9.1,2015,7.5
BFA,,0.2083333333,2023,13.1,13.6,2015,11.2
BGD,,2.0625,2023,10.4,15.2,2015,12.65
BGR,2021,,2023,2.5,,,
BIH,2004,,2023,2.5,,,
BLR,2006,,2023,2.5,,,
BLZ,,-0.625,2023,7,6.5,2015,5.7
BOL,,-1.5625,2023,21.8,16.1,2015,13.325
BRA,2023,,2023,2.5,,,
BRB,,,2023,4.4,,,
BWA,,-0.8458333333,2023,24,20.3,2015,16.7
CAF,,-0.2142857143,2023,29.8,28.6,2015,23.42857143
CAN,2001,,2023,2.5,,,
CHE,2001,,2023,2.5,,,
CHL,2020,,2023,2.5,,,
CHN,2010,,2023,2.5,,,
CIV,,1,2023,11.1,13.5,2015,11.1
CMR,,0,2023,4.8,4.8,2015,4.2
COD,,-0.9878472222,2023,38.5,31.7,2015,25.90357143
COG,,0.5357142857,2023,26.4,29.4,2015,24.11428571
COL,,,2023,3.9,,,
COM,,-0.5,2023,15.4,14,2015,11.6
CPV,,1.083333333,2023,13.5,16.6,2015,13.7
CRI,2015,,2023,2.5,,,
CUB,2001,,2006,2.5,,,
CYP,2008,,2023,2.5,,,
CZE,2001,,2023,2.5,,,
DEU,2001,,2023,2.5,,,
DJI,,0.08333333333,2023,12.9,13.1,2015,10.8
DMA,,,2023,3.6,,,
DNK,2001,,2023,2.5,,,
DOM,,,2023,3.6,,,
DZA,2017,,2023,2.5,,,
ECU,,-1.833333333,2023,12.1,8.8,2015,7.35
EGY,,-2.4375,2023,9.4,6.5,2015,5.7
ESP,2001,,2023,2.5,,,
EST,2005,,2023,2.5,,,
