iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
AFG,2219,1.845944394,2024,43.2,33,2015,37.97629096
AGO,,-1.0587398,2024,28.5,33.9,2015,39.02291896
AIA,,,2017,80.24183774,,,
ALB,6634,0.06944444444,2024,70.8,70.6,2015,73.07815283
AND,2000,,2024,100,,,
ARE,2000,,2024,100,,,
ARM,2230,0.8641975309,2024,91.5,90.8,2015,91.61
ASM,2155,1.434343434,2024,90.5,89.2,2015,90.10909091
ATG,2324,0.4761904762,2024,94.2,93.9,2015,94.49714286
AUS,,0,2024,95.9,95.9,2015,96.32
AUT,,0,2024,98.9,98.9,2015,98.99
AZE,2130,2.685434958,2024,78,73.5,2015,75.36819217
BDI,3203,0.3016677293,2024,47,44.7,2015,52.6548939
BEN,2297,1.266099244,2024,56.5,46.3,2015,54.37983881
BFA,2223,1.699626446,2024,61.5,48.3,2015,56.40528714
BGD,2108,1.64021164,2024,94.5,93.5,2015,94.13
BGR,,-2.222222222,2024,96.2,97,2015,97.32
BHR,2000,,2024,99.86446038,,,
BIH,3034,0.202020202,2024,88.9,88.7,2015,89.65454545
BLR,2214,0.8333333333,2024,93.1,92.5,2015,93.2175
BRA,2024,23.24490941,2024,98.9,87.2,2015,88.23166667
BRB,2492,0.4242424242,2024,89.5,89.1,2015,90.01818182
BTN,,-23.94730124,2024,67.8,95.9,2015,96.32
BWA,,-1.149432069,2024,63.3,68.7,2015,71.71480102
CAF,,-0.1478651477,2024,37.5,38.3,2015,44.73602432
CHL,2030,4.62962963,2024,98.5,97.5,2015,97.77
CHN,2040,8.307198974,2024,94.8,88.5,2015,89.47272727
CIV,2235,1.643698231,2024,54.4,41.7,2015,49.14428608
CMR,2143,2.958815831,2024,51.2,32.6,2015,37.53464908
COD,2686,0.5444101947,2024,43.1,39.6,2015,46.46610963
COL,2434,0.7212475634,2024,76.4,75.2,2015,76.83204678
COM,5213,0.1098901099,2024,51.8,50.9,2015,58.84403962
CPV,2086,4.570579303,2024,78.1,68.6,2015,71.64650834
CRI,2752,0.3703703704,2024,80.5,80,2015,81.34
CUB,2222,1.01010101,2024,89.3,88.3,2015,89.29
CYM,,-0.2380952381,2024,81.8,82.1,2015,83.36
DEU,2000,,2024,100,,,
DJI,3756,0.1978124645,2024,58.6,57.1,2015,63.897427
DOM,2046,8.445424945,2024,91,82,2015,83.26
DZA,,-5.158507522,2024,69,79.1,2015,80.45
ECU,2068,3.946127946,2024,91.9,88.4,2015,89.38181818
EGY,2110,3.262125779,2024,78.9,73.6,2015,75.45080087
EST,2011,,2024,99.99999702,,,
ETH,2126,3.17468176,2024,70.1,51.4,2015,59.28977701
FJI,,0,2024,52.2,52.2,2015,59.98953493
FSM,,-0.09090909091,2020,73.9,74,2015,75.03290043
GAB,2297,1.344856546,2024,38.3,31.6,2015,36.47618322
GEO,2051,8.4083083,2024,86,74.6,2015,76.30684211
GHA,2059,7.218986832,2024,83.4,72.5,2015,74.54550988
GIN,,-0.4303340995,2024,28.7,31,2015,35.87660852
GMB,2521,0.6590307887,2024,68,65,2015,69.24549756
GNB,2658,0.5357817539,2024,61,57.1,2015,63.897427
GRD,,,2017,92.25100859,,,
GTM,,-0.08697461506,2024,54.4,55.1,2015,62.37512432
GUY,2142,1.83048433,2024,87.5,85.5,2015,86.60307692
HND,2047,9.519419411,2024,87.2,74.6,2015,76.30684211
HTI,2239,1.494079132,2024,70.4,64.3,2015,68.78924392
HUN,2018,,2024,100,,,
IDN,2074,4.466829467,2024,86.8,81.5,2015,82.76
IND,2079,4.366961742,2024,84.5,78.9,2015,80.25625
IRQ,2158,2.315078878,2024,73.7,67,2015,70.55701201
JAM,2574,0.5561829475,2024,74.4,73.3,2015,75.20297478
JOR,2041,12.27989999,2024,89,72.6,2015,74.62810465
KEN,2355,1.039232439,2024,57.1,48.7,2015,56.79629837
KGZ,,-7.392102284,2024,73.9,84.4,2015,85.57
KHM,2053,8.5021324,2024,84.1,70.7,2015,73.15315283
KIR,2668,0.5445481927,2024,51.5,47.1,2015,55.20654504
KNA,,,2017,86.77843164,,,
KOR,2010,,2024,100,,,
KWT,2000,,2024,100,,,
LAO,2051,7.925463425,2024,87.9,78.2,2015,79.6
LBN,2161,1.444444444,2024,89.6,88.2,2015,89.19
LBR,2252,1.486661371,2024,61.4,49.9,2015,57.93173416
LBY,,-9.995609887,2024,74.4,87.6,2015,88.59833333
LCA,2351,0.9490981209,2024,73.5,71.3,2015,73.60513355
LKA,,-0.1481481481,2024,80.9,81.1,2015,82.36666667
