iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
ABW,,,2022,93.83293915,,,
AFG,,,2019,88.89012146,,,
AGO,,,2023,47.85567866,,,
ALB,2024,,2024,107.3453217,,,
AND,,0.4464285714,2023,69.4,65.4,2015,74.34964286
ARE,,,2023,99.1737917,,,
ARG,,,2023,98.94364869,,,
ARM,,0.5873659515,2023,94.3,92.4,2015,95.27478755
ATG,2008,,2022,123.3547352,,,
AUT,,,2023,98.03040314,,,
AZE,,,2024,97.20397673,,,
BDI,,-2.270050952,2020,47.6,60.1,2015,65.6990991
BEN,,-1.76331712,2022,61.6,75.4,2015,82.72547222
BFA,,-0.9716439248,2023,51.7,60.3,2015,69.26
BGD,,,2024,94.30216814,,,
BGR,,,2023,94.45607758,,,
BHR,,,2024,94.10880528,,,
BHS,,,2019,87.86450148,,,
BIH,2022,,2023,100.5207367,,,
BLR,,,2024,95.77285845,,,
BLZ,,,2024,94.21741453,,,
BMU,2015,,2015,102.1943588,,,
BOL,,2.173252067,2023,96.2,89.5,2015,93.65307583
BRB,,1.74112145,2023,92.2,86.5,2018,90.12776889
BRN,2016,,2023,101.6813204,,,
BTN,,-1.520307287,2021,90.9,94.8,2015,96.19767112
BWA,2022,,2022,101.532182,,,
CAF,,,2016,38.48046112,,,
CAN,,,2000,98.26299286,,,
CHE,,0.2896062271,2023,96.9,96.6,2015,97.42112859
CHL,2022,,2023,100.907341,,,
CHN,2008,,2010,103.4552569,,,
CIV,,1.744809948,2023,75.9,60.3,2015,69.26
CMR,,-0.3939576752,2023,72.2,75.7,2015,83.93106417
COD,,1.130564818,2023,75.7,65.6,2015,74.54785714
COG,,,2023,71.1370697,,,
COL,,,2022,97.11710358,,,
COM,,,2024,72.71882186,,,
CPV,,,2022,99.09855769,,,
CRI,2023,,2023,100.6663284,,,
CUB,,-0.9925296327,2023,93.6,95.9,2015,97.07240507
CYM,2023,,2024,106.4643799,,,
CYP,,,2023,98.49433899,,,
CZE,,,2023,98.72937012,,,
DEU,,,2023,99.28373718,,,
DMA,,,2024,93.92575928,,,
DNK,,,2023,99.25504303,,,
DOM,,,2024,89.97883775,,,
DZA,2024,,2024,102.422468,,,
ECU,2023,,2023,100.1996795,,,
EGY,,2.134826243,2023,93.8,84.3,2016,89.78883048
ERI,,-0.0637755102,2022,61.3,61.8,2015,69.64
ESP,,,2023,99.56050873,,,
EST,,-0.3428030303,2023,96.8,97.1,2015,97.67162698
ETH,,0.4202497952,2023,55.1,51.4,2015,60.24861589
FIN,,,2023,98.9240799,,,
FJI,2017,,2024,116.307893,,,
FRA,,,2000,92.93036652,,,
FSM,,-0.5192196476,2023,87.4,90.3,2015,94.11358875
GAB,,,2003,67.71383667,,,
GBR,2022,,2023,101.4233627,,,
GEO,2022,,2024,103.7583095,,,
GHA,,-0.3473765952,2022,93.4,94.3,2015,96.09214788
GIB,,,2024,95.40709812,,,
GIN,,,2020,59.87913895,,,
GMB,,1.968831788,2023,80.2,62.8,2015,71.76
GNB,,,2010,62.64344025,,,
GNQ,,,2015,32.63579941,,,
GRC,,,2023,99.91488647,,,
GRD,,,2024,97.47271683,,,
GTM,,0.04360465116,2023,85.8,85.5,2015,91.20525513
GUY,2011,,2012,104.3426643,,,
HKG,,,2024,91.68031496,,,
HND,,-0.63990669,2023,73.5,78.4,2016,85.27636003
HRV,2022,,2023,100.5164108,,,
HTI,,,1997,52.61820984,,,
HUN,,,2023,96.80921173,,,
IDN,,,2023,99.95217152,,,
IND,,,2024,94.48763047,,,
IRL,,,2022,96.46994781,,,
IRN,,0.7071250357,2020,96.3,95.6,2015,96.53767093
IRQ,,,2007,63.60292816,,,
ISL,,,2023,98.62001801,,,
ISR,,,2023,96.2661972,,,
ITA,,,2023,97.36196136,,,
JAM,,-0.8077394103,2023,81.1,87,2015,92.15510438
JOR,,2.200295941,2023,97.2,94.3,2016,96.09214788
KAZ,,,2024,94.40401341,,,
KEN,2015,,2016,102.2002401,,,
KGZ,,-4.581303398,2023,96.1,98.1,2015,
KHM,,-0.2390166834,2023,87.6,89,2015,93.36190311
KIR,,,2024,92.81476599,,,
KNA,2009,,2023,124.3066884,,,
KOR,,,2023,98.27110291,,,
KWT,,-4.749477157,2021,80.4,95.3,2016,96.33619734
LAO,,,2024,87.25131847,,,
LBN,,0.4352678571,2023,67.3,63.4,2015,72.36
LBR,,-0.464527027,2022,57.8,60.9,2016,67.62
LBY,,,1983,90.07084656,,,
LCA,,-0.5769025667,2023,91.1,93.1,2016,95.41205462
LIE,,,2021,88.94117737,,,
LKA,,-0.0390625,2023,94.5,94.6,2015,96.42474835
LSO,,-1.054173033,2023,67,76.4,2015,84.5169866
LTU,2016,,2023,105.1905823,,,
LUX,,-0.3678937137,2023,77.5,80.6,2015,87.81597819
LVA,,,2023,97.55149078,,,
MAC,,-0.4861756672,2023,89.5,91.8,2015,94.94801984
MAR,2023,,2024,106.3707692,,,
MCO,1991,,2024,135,,,
MDA,2014,,2024,108.0618811,,,
