iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
AFG,2217,1.643728235,2024,30.6,23.4,2015,27.91593758
ALB,2074,1.135361552,2024,96.6,95.8,2015,96.51472222
AND,,0,2024,90.6,90.6,2015,92.01727941
ARE,2000,,2024,99.93457517,,,
ARM,,-0.3240740741,2024,82.1,82.8,2015,84.87057971
ASM,2026,3.981481481,2024,98.8,97.4,2015,97.85
AUT,2014,,2024,99.99999719,,,
AZE,2264,0.9681728555,2024,57.8,54.3,2015,57.92030661
BEL,2000,,2024,99.5,99.7,2015,99.79
BEN,3002,0.3513933856,2024,17.7,16.3,2015,20.48337591
BES,2006,,2024,100,,,
BGD,2342,0.7207381598,2024,59.1,56.4,2015,60.15190476
BGR,2018,5.018518519,2024,99.1,97.6,2015,98.02
BHR,2009,,2024,99.5,99.2,2015,99.38
BIH,,-2.72247203,2024,86.4,91,2015,92.36916667
BLM,2000,,2024,100,,,
BLR,2022,1.481481481,2024,99.1,98.8,2015,99.01333333
BRA,2060,3.362773975,2024,88.6,82,2015,84.11166667
BTN,2042,9.667013005,2024,75.4,47.1,2015,49.68987411
BWA,,-0.04273504274,2024,71.7,71.8,2015,74.06923077
CAF,,-0.02415458937,2024,29.5,29.6,2015,33.41891914
CAN,,-1.574074074,2024,98.1,98.6,2015,98.87
CHE,,0,2024,96.7,96.7,2015,97.26857143
CHL,2046,1.62962963,2024,97.8,97,2015,97.51666667
CIV,,-4.576044456,2024,36.4,47.9,2015,50.58836273
COD,2235,1.362130027,2024,41,37.4,2015,40.08743233
COG,2286,1.004273504,2021,46.4,44.8,2015,46.39307692
COL,2158,1.111111111,2024,82.4,80,2015,82.16
CRI,2092,1.192048692,2024,94.4,93.1,2015,94.20987179
CYP,2017,6.851851852,2024,99.7,98.7,2015,98.94666667
CZE,2009,,2024,99.85246358,,,
DEU,2000,,2024,99.91729795,,,
DNK,2017,,2024,99.99999979,,,
DOM,2815,0.3418803419,2024,45.3,44.5,2015,46.89153846
DZA,2282,0.5615942029,2024,83.3,82.1,2015,84.2075
ECU,2209,1.073238015,2024,69.9,67.1,2015,69.72203162
EGY,2042,3.218494468,2024,96.5,93.7,2015,94.73166667
ESP,2000,,2024,99.5,99.6,2015,99.69
EST,2025,4.907407407,2024,98.9,97.1,2015,97.6
ETH,2332,1.121123262,2024,16.7,12.8,2015,16.22898025
FIN,2014,,2024,99.9999967,,,
FJI,2325,0.7366806635,2024,62.2,59.5,2015,63.11337264
FRA,2017,6.481481481,2024,99.7,98.8,2015,99.01333333
GBR,2000,,2024,99.82295068,,,
GEO,2238,0.9162460216,2024,70.5,68.2,2015,70.70339172
GHA,2297,0.8682393595,2024,56.1,53.1,2015,56.58369676
GIB,2000,,2024,100,,,
GLP,,-1.465608466,2024,96.7,97.5,2015,97.94
GMB,2260,0.9939606092,2024,56.9,53.4,2015,56.92228535
GNB,2199,1.524216524,2024,46.4,42.8,2015,45.14
GRC,,-3.743386243,2024,96.7,98.4,2015,98.67
GRD,,,2017,92.21884813,,,
GTM,2473,0.5203252033,2024,57.3,55.4,2015,59.11073171
GUF,2108,0.9511784512,2024,94.5,93.5,2015,94.54833333
GUM,,,2024,94,99.5,2015,99.59
GUY,2401,0.5505601556,2024,67.2,65.6,2015,68.41239283
HKG,2002,,2024,100,,,
HND,2220,1.086700818,2024,65.5,61.9,2015,65.2346955
HRV,2363,0.373015873,2024,87.3,86.6,2015,88.41714286
HUN,2022,,2024,100,,,
IDN,2623,0.5295723708,2024,30.5,28.3,2015,32.3097806
IMN,2016,,2024,99.91059649,,,
IND,2037,8.095640045,2024,91.3,75.3,2015,77.55
IRL,2039,4.192955193,2024,96.1,91.8,2015,93.07333333
IRN,2073,1.005291005,2024,97.1,96.5,2015,97.09714286
IRQ,2383,0.6349206349,2024,59.8,57.4,2015,61.15190476
ISL,2017,,2024,100,,,
ISR,2000,,2024,99.5,99.6,2015,99.69
ITA,2094,0.7738095238,2024,96.8,96.3,2015,96.93642857
JEY,,0,2024,97.6,97.6,2015,98.02
JOR,2039,1.018518519,2024,98.6,98.3,2015,98.595
JPN,2019,1.666666667,2024,99.2,98.9,2015,99.08
KAZ,2027,5.901675485,2024,98.6,95.7,2015,96.43694444
KGZ,2051,3.899263234,2024,91.1,84.2,2015,86.19711462
KHM,2292,1.189446859,2024,30,24.8,2015,29.21791222
KIR,2579,0.6305452528,2024,15.1,13,2015,16.48575387
KOR,2021,3.703703704,2024,99.3,98.5,2015,98.77
KWT,2000,,2024,100,,,
LAO,2076,5.865693194,2024,35.2,12,2015,15.19447703
LBN,2956,0.2807172252,2024,47.7,47,2015,49.578763
