iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
ABW,,0,2022,8.942,8.942,2015,9.3964375
AFG,,0.5714285714,2022,0.162,0.15,2015,0.171
AGO,,2.661904762,2022,0.439,0.338,2015,0.373
ALB,,1.37696193,2022,2.792,2.506,2015,2.711096059
AND,,-2.171517118,2022,6.978,7.891,2015,8.32733871
ARE,,-0.6785714286,2022,13.849,14.172,2015,14.648
ARG,,-0.379021879,2022,3.38,3.477,2015,3.743223329
ARM,,2.30378749,2022,2.545,2.116,2015,2.29412
ASM,,2.90285169,2022,3.625,2.912,2015,3.143700758
ATG,,0.1984432234,2022,3.824,3.769,2015,4.05171257
AUS,,-0.1883116883,2022,9.813,9.9,2015,10.36569697
AUT,,-0.2740046838,2022,7.636,7.753,2015,8.185547065
AZE,,0.2607709751,2022,2.466,2.415,2015,2.614027778
BDI,,,2023,0.02980397313,,,
BEL,,-1.382580479,2022,7.127,7.708,2015,8.139721311
BEN,,0.8571428571,2022,0.133,0.121,2015,0.135
BFA,,2.071428571,2022,0.132,0.103,2015,0.117
BGD,,4.920068027,2022,0.596,0.372,2015,0.41
BGR,,0.8610110788,2022,4.939,4.657,2015,4.985700278
BHR,,,2023,23.09593506,,,
BHS,,1.386021837,2022,5.545,5.06,2015,5.407190204
BIH,,0.8823115481,2022,3.793,3.555,2015,3.825952767
BLR,,1.031743054,2022,3.932,3.647,2015,3.922889744
BLZ,,1.369294991,2022,1.902,1.698,2015,1.845128571
BMU,,-2.458442599,2022,8.881,10.006,2015,10.47330303
BOL,,1.253246753,2022,0.894,0.799,2015,0.8745
BRA,,1.02456619,2022,3.255,3.011,2015,3.248981283
BRB,,-0.03007518797,2022,3.546,3.554,2015,3.824900135
BRN,,6.604620134,2022,12.039,8.953,2015,9.407609375
BTN,,7.627500733,2022,4.835,2.765,2015,2.987240927
BWA,,-1.282282004,2022,1.642,1.827,2015,1.984045455
CAF,,,2023,0.03298177692,,,
CAN,,-1.996300013,2022,15.169,16.109,2015,16.57785075
CHE,,-1.283862581,2022,7.043,7.579,2015,8.008606557
CHL,,1.792737929,2022,4.532,3.992,2015,4.287004065
CHN,,7.098558209,2022,6.2,3.837,2015,4.123704878
CIV,,2.457142857,2022,0.376,0.294,2015,0.325
CMR,,-2.064285714,2022,0.277,0.341,2015,0.376
COD,,2.5,2022,0.14,0.105,2015,0.119
COG,,0.2448979592,2022,0.49,0.478,2015,0.527
COL,,0.1503759398,2022,1.608,1.588,2015,1.726305263
COM,,6.380952381,2022,0.152,0.064,2015,0.075
CPV,,2.788677989,2022,1.024,0.798,2015,0.8734
CRI,,0.6026373626,2022,2.305,2.196,2015,2.379716923
CUB,,-1.464327485,2022,1.513,1.711,2015,1.859428571
CUW,,-1.746404066,2022,4.584,5.162,2015,5.513353469
CYM,,-1.359501195,2022,9.748,10.38,2015,10.849
CYP,,0.8808768282,2022,3.775,3.538,2015,3.807944232
CZE,,-0.06349206349,2022,5.936,5.96,2015,6.34240202
DEU,,-1.623079343,2022,6.113,6.749,2015,7.157231095
DJI,,3.445294785,2022,0.668,0.483,2015,0.532
DMA,,0.2397619048,2022,2.13,2.089,2015,2.265043333
DNK,,-0.2803234501,2022,5.796,5.9,2015,6.280483229
DOM,,2.42496034,2022,2.02,1.653,2015,1.7966
DZA,,1.341997852,2022,1.739,1.554,2015,1.690263158
ECU,,1.794688019,2022,1.849,1.592,2015,1.730726316
EGY,,0.5136054422,2022,1.828,1.752,2015,1.902904762
ERI,,2.928571429,2022,0.129,0.088,2015,0.102
ESP,,-0.8341542771,2022,5.379,5.679,2015,6.051240929
EST,,0.3428571429,2022,6.322,6.19,2015,6.580306494
ETH,,2.142857143,2022,0.124,0.094,2015,0.108
FIN,,-0.9012605042,2022,14.553,14.982,2015,15.45748529
FJI,,1.801412873,2022,1.161,0.991,2015,1.082461538
FRO,,3.711861608,2022,7.818,6.297,2015,6.691197403
FSM,,2.674206349,2022,0.787,0.616,2015,0.675625
GAB,,1.473809524,2022,1.292,1.137,2015,1.24
GBR,,-1.760981326,2022,4.584,5.167,2015,5.518557551
GEO,,4.156769169,2022,3.834,2.804,2015,3.028757056
GHA,,4.556972789,2022,0.609,0.393,2015,0.435
GIB,,-8.335788926,2022,5.768,9.249,2015,9.7074
GIN,,7.75,2022,0.231,0.094,2015,0.108
GMB,,3.5,2022,0.186,0.124,2015,0.138
GNB,,6,2022,0.091,0.043,2016,0.049
GNQ,,-4.2498557,2022,0.585,0.863,2015,0.9436363636
GRC,,-0.09428571429,2022,5.266,5.299,2015,5.656167843
GRD,,2.071899115,2022,2.096,1.768,2015,1.919924242
GRL,,0.8196891264,2022,7.291,6.953,2015,7.366730567
GTM,,1.744047619,2022,0.727,0.62,2015,0.680125
GUM,,0.2337662338,2022,9.925,9.817,2015,10.28143939
GUY,,1.590569561,2022,1.506,1.315,2015,1.432
HKG,,-0.2022019334,2022,6.501,6.581,2015,6.983754386
HND,,1.040162219,2022,1.082,0.987,2015,1.078064103
HRV,,1.532737311,2022,4.666,4.191,2015,4.496818182
HTI,,-0.6428571429,2022,0.088,0.097,2015,0.111
