iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
AFG,2047,0.8992774436,2023,55.5,72.4,2015,53.86462957
AGO,2046,1.103593778,2023,64,88.2,2015,65.98900053
ALB,2002,,2023,9.4,9.6,2015,7.433333333
AND,1985,,2023,2.6,,,
ARE,1984,,2023,5,7.7,2015,6.1
ARG,1995,,2023,9.6,11.7,2015,9
ARM,2005,,2023,10,14.6,2015,11.08
ATG,1974,,2023,9.3,11,2015,8.475
AUS,1960,,2023,3.7,3.9,2015,3.1
AUT,1975,,2023,3.1,3.7,2015,3
AZE,2017,1.373115079,2023,18.6,27.8,2015,20.70222222
BDI,2040,1.067715687,2023,49.2,67.6,2015,50.21816733
BEL,1969,,2023,3.6,4.1,2015,3.3
BEN,2062,0.7754039295,2023,77.9,97.1,2015,72.96658202
BFA,2055,0.9481980472,2023,77.3,101.1,2015,76.13963626
BGD,2030,0.7954004329,2023,30.6,38.8,2015,28.79952381
BGR,1979,,2023,6.1,8.2,2015,6.5
BHR,1986,,2023,8.6,7.7,2015,6.1
BHS,1989,,2023,12.7,13.9,2015,10.52
BIH,1994,,2023,6,6.7,2015,5.25
BLR,1968,,2023,2.4,,,
BLZ,2000,,2023,12.7,15.6,2015,11.86666667
BOL,2021,1.077051768,2023,23.1,31.8,2015,23.64227273
BRA,2005,,2023,14.4,16,2015,12.13333333
BRB,1982,,2023,10,12.8,2015,9.825
BRN,1979,,2023,9.4,10,2015,7.7
BTN,2021,0.9719381313,2023,23.1,30.8,2015,22.92040404
BWA,2039,0.7654702012,2023,39.6,49.8,2015,36.91326625
CAF,2068,0.7788741539,2023,92.2,114.1,2015,86.61607902
CAN,1967,,2023,5.1,5.4,2015,4.6
CHE,1963,,2023,3.9,4.3,2015,3.5
CHL,1983,,2023,7.2,7.9,2015,6.3
CHN,2005,,2023,6.2,10.7,2015,8.25
CIV,2054,0.858708025,2023,67.1,86.1,2015,64.36319408
CMR,2050,0.9706435088,2023,67.2,89,2015,66.61287018
COD,2054,0.9332666958,2023,73.2,95.6,2015,71.78602135
COG,2038,0.8796149381,2023,40.5,52.7,2015,39.05537926
COL,2001,,2023,12,15.6,2015,11.86666667
COM,2042,0.673876634,2023,39.8,48.7,2015,36.07593604
CPV,2012,,2023,11.6,19.1,2015,14.38095238
CRI,1980,,2023,10.5,9,2015,7.033333333
CUB,1978,,2023,8.3,6.1,2015,4.95
CYP,1979,,2023,3.5,,,
CZE,1960,,2023,2.6,,,
DEU,1971,,2023,3.7,3.9,2015,3.1
DJI,2045,0.8601206574,2023,50.4,65.1,2015,48.33310589
DMA,,-0.6449592075,2023,35.5,29.3,2015,21.82949495
DNK,1960,,2023,3.4,4.1,2015,3.3
DOM,2040,0.3629807692,2023,31.4,35,2015,25.98414918
DZA,2015,,2023,22,24.9,2015,18.59722222
ECU,2004,,2023,13.1,15.3,2015,11.64
EGY,2014,,2023,17.5,23.3,2015,17.45952381
ERI,2034,0.8819873142,2023,35.4,46.1,2015,34.17266807
ESP,1974,,2023,3.1,3.3,2015,3
EST,1980,,2023,2.1,,,
ETH,2038,1.117699347,2023,46.5,64.9,2015,48.18310589
FIN,1962,,2023,2.3,,,
FJI,,,2023,29.1,20.9,2015,15.66785714
FRA,1963,,2023,4.3,4.2,2015,3.4
FSM,2021,0.8583017677,2023,23.1,29.8,2015,22.19313131
GAB,2031,0.9562237395,2023,33.2,44.2,2015,32.7797479
GBR,1963,,2023,4.5,4.5,2015,3.7
GEO,2005,,2023,9.2,10.5,2015,8.1
GHA,2032,1.159972081,2023,37.1,52.5,2015,38.90537926
GIN,2077,0.672340063,2023,95,114.1,2015,86.61607902
