iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
ABW,2017,,2017,97.17,,,
AFG,2153,0.2532030347,2024,16.1,8.3,2015,45.52892656
AGO,2083,0.4597170126,2024,40.7,22,2015,59.16053386
ALB,2031,1.433171566,2024,85.9,56.9,2015,79.6333025
AND,2025,0.8282129262,2024,94.4,87.9,2015,95.25211079
ARE,2018,,2024,100,,,
ARG,2029,1.36660037,2024,89.7,68,2015,85.70002153
ARM,2037,1.028553468,2024,81.3,59.1,2015,80.85030257
ASM,,,1990,0,,,
ATG,2162,0.1251293662,2024,72.7,70,2015,86.75723719
AUS,2021,1.478210166,2024,96.1,84.6,2015,93.82739072
AUT,2024,1.251251033,2024,94.9,83.9,2015,93.51701337
AZE,2030,1.011224878,2024,90.4,77,2015,90.29998634
BDI,2129,0.3332081739,2024,8.6,2,2015,32.64122345
BEL,2024,1.3626075,2024,95.8,85.1,2015,94.04696102
BEN,2071,0.6057326343,2024,34,11.3,2015,49.31533803
BFA,2070,0.6430757082,2024,28.3,6.5,2015,42.86725291
BGD,2046,1.085477554,2024,53.4,12.4,2015,50.55470801
BGR,2034,1.182209771,2024,82.4,56.7,2015,79.52260298
BHR,2016,6.089848403,2020,99.7,93.5,2015,96.18451791
BHS,2027,1.221064564,2024,92.5,78,2015,90.7852348
BIH,2030,1.586001906,2024,86.1,52.6,2015,77.25542815
BLR,2025,2.229193831,2024,94.3,62.2,2015,82.55797397
BLZ,2033,1.462787456,2024,80,41.6,2015,71.20873356
BMU,2013,,2017,98.37,,,
BOL,2033,1.546798804,2024,79.7,37.5,2015,68.93062194
BRA,2033,1.277226541,2024,84.5,58.3,2015,80.40834891
BRB,,-0.07383531433,2024,70.4,72,2015,87.79644371
BRN,2018,2.306053882,2024,96.3,71.2,2015,87.38313224
BTN,2026,2.453116261,2024,91.3,39.8,2015,70.21353214
BWA,2067,0.5283961393,2024,57.5,38.9,2015,69.71353676
CAF,2100,0.4372564918,2024,13.8,2.9,2015,35.52230645
CAN,2026,0.6178672594,2024,94.4,90,2015,96.12209135
CHE,2021,1.619915332,2024,97.3,87.5,2015,95.08265429
CHL,2024,1.856480272,2024,95.6,76.6,2015,90.10587203
CHN,2026,2.262383329,2024,92,50.3,2015,75.98753927
CIV,2384,0.07495686785,2024,41.4,38.4,2015,69.43444131
