iso3c,reach_target_year,speed,end_year,end_value,start_value,start_year,typical_end_value
AGO,,,2018,11,,,
ALB,2069,1.8,2020,2.5,3,2015,2.7
ARE,2018,,2018,0.5,,,
ARG,,-0.625,2024,2.1,1.9,2016,1.635
ARM,2278,0.4166666667,2024,3.6,3.9,2015,3.2325
AUS,,,2020,1.2,,,
AUT,2039,1.875,2023,0.8,1.1,2015,0.94
AZE,,,2005,3,,,
BDI,,,2020,16.4,,,
BEL,2020,1.25,2023,0.5,0.6,2015,0.52
BEN,2041,6.897827666,2021,7.7,21.5,2015,18.22045237
BFA,,,2021,9.4,,,
BGD,2073,2.36022311,2022,5,6.8,2016,5.964761905
BGR,2035,4.791666667,2023,1.4,3,2015,2.55
BIH,2094,1.083333333,2021,2.1,2.4,2015,2.12
BLR,2055,1.833333333,2020,1.6,1.9,2015,1.725
BLZ,,,2018,2.4,,,
BOL,2062,2.227513228,2024,2.4,3.6,2015,3.002857143
BRA,2109,1.084656085,2024,2.7,3.3,2015,2.745714286
BRB,,,2016,2.8,,,
BTN,2034,6.023809524,2022,1.9,3.5,2017,3.157142857
BWA,,,2015,6.4,,,
CAF,,,2021,18.2,,,
CAN,,0,2022,0.7,0.7,2015,0.63
CHE,2007,0,2022,0.5,0.5,2015,0.43
CHL,2074,1.296296296,2024,1.6,2,2015,1.68
CHN,2052,2.863945578,2022,2.4,3.6,2015,3.122857143
CIV,2057,3.796378108,2021,6.7,11.3,2015,9.803549858
CMR,,,2021,7.3,,,
COD,,,2020,26.1,,,
COG,,,2011,10.6,,,
COL,2390,0.3232323232,2024,4.7,5,2015,4.131818182
COM,,,2024,4.8,,,
CPV,,,2015,5.7,,,
CRI,2087,1.222222222,2024,2,2.5,2015,2.08
CYP,2027,2.5,2023,0.6,0.8,2015,0.72
CZE,2071,0.625,2023,0.8,0.9,2015,0.77
DEU,,-5,2022,1.1,0.6,2015,0.53
DJI,,,2017,8.3,,,
DNK,,-1.25,2023,0.8,0.7,2015,0.62
DOM,2065,1.944444444,2024,2.1,3,2015,2.5
DZA,,,2011,3.4,,,
ECU,,-0.1587301587,2024,3.5,3.4,2015,2.831428571
EGY,,0,2021,3.9,3.9,2015,3.4425
ESP,2089,0.8333333333,2023,1.3,1.5,2015,1.273333333
EST,2038,2.708333333,2023,1,1.5,2015,1.273333333
ETH,,-0.3253968254,2021,9.1,8.7,2015,7.59122807
FIN,,-1.25,2023,0.7,0.6,2015,0.52
FJI,,,2019,4.4,,,
FRA,,0,2023,0.6,0.6,2015,0.52
FSM,,,2013,8.7,,,
GAB,,,2017,3.3,,,
GBR,,-0.8333333333,2021,0.9,0.8,2015,0.74
GEO,2089,1.657968575,2024,3.8,5.2,2015,4.295454545
GHA,,,2016,11.3,,,
GIN,,,2018,5.7,,,
GMB,,-0.6857142857,2020,6.9,6.4,2015,5.740659341
GNB,,,2021,9.1,,,
GNQ,,,2022,4.7,,,
GRC,2040,3.333333333,2023,1.3,2.2,2015,1.88
GRD,,,2018,2.4,,,
GTM,,,2023,4.8,,,
GUY,,,1998,7.7,,,
HND,2575,0.2380952381,2024,6.2,6.5,2015,5.346373626
HRV,2035,3.645833333,2023,1.1,1.9,2015,1.635
HTI,,,2012,10.4,,,
HUN,,,2017,1.9,,,
IDN,2091,1.785603286,2024,4.8,6.8,2015,5.592087912
IND,,,2022,5.4,,,
IRL,2029,3.125,2023,0.7,1.1,2015,0.94
IRN,2307,0.3571428571,2023,3.3,3.5,2015,2.977142857
IRQ,,,2023,2.8,,,
ISL,,,2019,0.6,,,
ISR,2064,1.19047619,2022,1.2,1.4,2015,1.226666667
ITA,2045,2.604166667,2023,1.4,2.1,2015,1.785
JAM,,,2021,2.6,,,
JOR,,,2010,2.3,,,
JPN,,-3,2020,1.2,0.9,2015,0.8
KAZ,2150,0.6666666667,2021,2.4,2.6,2015,2.3
KEN,,-0.4491678094,2022,9.9,9.2,2015,7.836090226
KGZ,2092,1.691314858,2024,4.4,6.1,2015,5.022179487
KIR,,,2023,3.8,,,
KOR,2028,3,2021,0.7,0.9,2016,0.8
LAO,2121,1.253885004,2024,5.1,6,2018,5.267564103
LBN,,,2022,4.2,,,
LBR,,,2016,8.5,,,
LCA,,,2015,1.5,,,
LKA,,,2019,4,,,
LSO,,,2017,11,,,
LTU,2080,1.145833333,2023,1.6,1.9,2015,1.635
LUX,2019,3.75,2023,0.4,0.7,2015,0.62
LVA,2049,2.083333333,2023,1.3,1.8,2015,1.56
MAR,,,2013,3.9,,,
MDA,,-0.25,2023,2.6,2.5,2015,2.12
MDG,,,2021,14.4,,,
MDV,,,2019,2.1,,,
MEX,2066,2.077380952,2024,2.5,3.5,2016,2.977142857
MHL,,,2019,3.3,,,
MKD,,,2019,2.9,,,
MLI,,,2021,8.5,,,
MLT,2039,1.25,2023,0.7,0.8,2015,0.72
MMR,,,2017,5.7,,,
MNE,,0,2021,2.8,2.8,2015,2.483333333
MNG,2061,2.341269841,2022,2.7,3.6,2016,3.182857143
MOZ,,,2022,24.4,,,
MRT,,,2019,5.5,,,
MUS,,,2017,2.4,,,
MWI,,,2019,16.7,,,
MYS,2057,1.388888889,2021,1.2,1.4,2015,1.246666667
NAM,,,2015,7,,,
NER,,,2021,11.3,,,
NGA,,-0.7339947837,2022,9.8,8.7,2015,7.42122807
NIC,,,2014,4.2,,,
NLD,2020,1.666666667,2021,0.5,0.6,2015,0.54
NOR,,-1.25,2023,0.6,0.5,2015,0.42
NPL,,,2022,3.9,,,
NRU,,,2012,5,,,
PAK,,-0.4351851852,2024,7.2,6.6,2015,5.432087912
PAN,2125,0.8518518519,2024,2.4,2.8,2015,2.333333333
PER,2214,0.5555555556,2024,3.6,4,2015,3.32
PHL,2105,1.405934343,2023,4.4,5.6,2015,4.713636364
PNG,,,2009,13.5,,,
POL,2035,2.916666667,2023,0.9,1.4,2015,1.206666667
PRT,2050,1.666666667,2023,1.1,1.4,2015,1.206666667
