isco08,isco08_name,isco08_definition,AIOE_glo,share_glo,AIOE_hic,share_hic,AIOE_mic,share_mic,AIOE_lic,share_lic,icon
1,Commissioned Armed forces Officers,Commissioned armed forces officers provide leadership and management to organizational units in the armed forces and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. This group includes all members of the armed forces holding the rank of second lieutenant (or equivalent) or higher. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.,87.967789,0.016800053,,,87.967789,0.019496327,,,icon_1_svg
2,Non-commissioned Armed Forces Officers,"Non-commissioned armed forces officers enforce military discipline and supervise the activities of those employed in Sub-major Group 03: Armed Forces Occupations, Other Ranks, and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. This group includes members of the armed forces holding ranks such as sergeant, warrant officer and sergeant major. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",91.279976,0.016216449,,,91.279976,0.01881906,,,icon_2_svg
3,"Armed Forces Occupations, Other Ranks","Armed forces occupations, other ranks include all conscripted and non-conscripted members of the armed forces except commissioned and non-commissioned officers. They perform specific military tasks and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. Most occupations in this sub-major group require skills at the first ISCO skill level.",62.310959,0.056014095,,,62.310959,0.065003909,,,icon_3_svg
10,Managers,"Managers plan, direct, coordinate and evaluate the overall activities of enterprises, governments and other organizations, or of organizational units within them, and formulate and review their policies, laws, rules and regulations. Competent performance in most occupations in this major group requires skills at the fourth ISCO skill level, except for Sub-major group 14: Hospitality, Retail and Other Services Managers, for which skills at the third ISCO skill level are generally required.",83.928246,0.0077827554,,,83.928246,0.0090318257,,,icon_10_svg
11,"Chief Executives, Senior Officials and Legislators","Chief executives, senior officials and legislators formulate and review the policies, and plan, direct, coordinate and evaluate the overall activities, of enterprises, governments and other organizations with the support of other managers. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",86.360725,1.8181829,85.966995,6.2709212,86.56131,1.3924035,86.368622,0.17040247,icon_11_svg
12,Administrative and Commercial Managers,"Administrative and commercial managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy, planning, research and development, advertising, public relations, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",87.332863,1.018042,98.383026,1.3531891,85.644005,1.0220264,92.767296,0.13302107,icon_12_svg
13,Production and Specialized Services Managers,"Production and specialized services managers plan direct and coordinate the production of the goods and the provision of the specialized professional and technical services provided by an enterprise or organization either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers. They are responsible for manufacturing, mining, construction, logistics, information and communications technology operations, for large scale agricultural, forestry and fisheries operations, and for the provision of health, education, social welfare, banking, insurance and other professional and technical services. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",83.214928,1.4322188,80.6996,4.1486416,84.250656,1.1865181,75.394554,0.13026473,icon_13_svg
14,"Hospitality, Retail and Other Services Managers","Hospitality, shop and related services managers plan, organize and direct the operations of establishments which provide accommodation, hospitality, retail and other services. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.",71.39183,0.618801,57.7509,1.333199,75.007721,0.56331229,76.637321,0.083599135,icon_14_svg
20,Professionals,Professionals increase the existing stock of knowledge; apply scientific or artistic concepts and theories; teach about the foregoing in a systematic manner; or engage in any combination of these activities. Competent performance in most occupations in this major group requires skills at the fourth ISCO skill level.,85.399971,0.060021736,,,85.399971,0.06965474,,,icon_20_svg
21,Science and Engineering Professionals,"Science and engineering professionals conduct research, improve or develop concepts, theories and operational methods, or apply scientific knowledge relating to fields such as physics, astronomy, meteorology, chemistry, geophysics, geology, biology, ecology, pharmacology, medicine, mathematics, statistics, architecture, engineering, design and technology. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",85.556892,0.92198092,81.409073,3.1709154,87.641586,0.69767034,88.049545,0.28537747,icon_21_svg
22,Health Professionals,"Health professionals conduct research; improve or develop concepts, theories and operational methods; and apply scientific  knowledge relating to medicine, nursing, dentistry, veterinary medicine, pharmacy, and  promotion of health. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",70.438454,1.2211845,69.075783,5.5557399,71.553291,0.77258295,70.143074,0.33781722,icon_22_svg
23,Teaching Professionals,"Teaching professionals teach the theory and practice of one or more  disciplines at different educational levels; conduct research; improve or develop concepts, theories and operational methods pertaining to their  particular discipline; and prepare scholarly papers and books. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",85.2155,3.1486251,83.90081,6.3109055,85.481255,2.8429534,87.104919,2.0478406,icon_23_svg
24,Business and Administration Professionals,"Business and administration professionals perform analytical, conceptual and practical tasks to provide services in financial matters, human resource development, public relations, marketing and sales in the technical, medical, information and communication technology areas; and conduct, reviews of organizational structures, methods and systems as well as quantitative analyses of information affecting investment programmes. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",96.167809,1.2311072,95.602043,4.1201873,96.419014,0.92868698,97.068161,0.71449274,icon_24_svg
25,Information and Communications Technology Professionals,"Information and communications technology professionals conduct research, plan, design, write, test, provide advice and improve information technology systems, hardware, software and related concepts for specific applications; develop associated documentation including principles, policies and procedures; and design, develop, control, maintain and support databases and other information systems to ensure optimal performance and data integrity and security.",92.628441,0.7539553,92.784569,3.1335764,92.540047,0.51782238,88.933128,0.054752391,icon_25_svg
26,"Legal, Social and Cultural Professionals","Legal, social and cultural professionals conduct research, improve or develop concepts, theories and operational methods; or apply knowledge relating to the law,  storage and retrieval of information and artefacts, psychology, social welfare, politics, economics, history, religion, languages, sociology, other social sciences, and arts and entertainment. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",88.558891,1.0214818,88.26757,3.5362995,88.646591,0.77654016,94.083412,0.18525274,icon_26_svg
30,Technicians and Associate Professionals,"Technicians and associate professionals perform technical and related tasks connected with research and the application of scientific or artistic concepts and operational methods, and government or business regulations. Competent performance in most occupations in this major group requires skills at the third ISCO skill level.",66.413177,0.018957112,,,66.413177,0.021999575,,,icon_30_svg
31,Science and Engineering Associate Professionals,"Science and engineering associate professionals perform technical tasks connected with research and operational methods in science and engineering. They supervise and control technical and operational aspects of mining, manufacturing, construction and other engineering operations, and operate technical equipment including aircraft and ships. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.",57.757488,1.0234184,56.294083,2.2402341,58.139477,0.92573756,59.802692,0.17873943,icon_31_svg
32,Health Associate Professionals,"Health associate professionals perform technical and practical tasks to support diagnosis and treatment of illness, disease, injuries and impairments in humans and animals, and to support implementation of health care, treatment and referral plans usually established by medical, veterinary, nursing and other health professionals. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.",54.820713,0.9147433,53.535866,2.435905,55.25547,0.771312,56.104015,0.30905169,icon_32_svg
