iso3,traffic_per_internet_user,traffic_per_internet_user_original,year,gdppc,joyn
SGP,622.6117134,6.226117134,2024,132569.5252,x & y
LTU,617.0152664,6.170152664,2024,47165.36656,x & y
LUX,524.5841503,5.245841503,2024,128475.2798,x & y
NLD,492.5274372,4.925274372,2024,70498.88404,x & y
MLT,483.3381653,4.833381653,2024,62700.42279,x & y
DNK,473.8237858,4.738237858,2024,71431.29262,x & y
NZL,453.0739307,4.530739307,2024,49316.39994,x & y
AUS,447.3754883,4.473754883,2024,60303.98171,x & y
CYP,442.7212238,4.427212238,2024,52635.47656,x & y
NOR,437.8352642,4.378352642,2024,91105.2468,x & y
CHE,416.756773,4.16756773,2024,82286.18019,x & y
EST,391.6674852,3.916674852,2024,41189.66753,x & y
ISL,390.8243179,3.908243179,2024,67310.05736,x & y
LVA,383.8277578,3.838277578,2024,37611.66994,x & y
CZE,378.3388853,3.783388853,2024,47963.89685,x & y
IRL,355.1514387,3.551514387,2024,119037.7312,x & y
BEL,355.12743,3.5512743,2024,63347.78588,x & y
SWE,351.9217968,3.519217968,2024,62978.93905,x & y
SVN,347.4531651,3.474531651,2024,48648.90788,x & y
SVK,322.1849442,3.221849442,2024,40319.05472,x & y
AND,315.7382488,3.157382488,2024,65928.3072,x & y
PRT,308.0688477,3.080688477,2024,42197.20251,x & y
CAN,307.7826738,3.077826738,2024,56706.8238,x & y
AUT,302.7527332,3.027527332,2024,63788.07868,x & y
POL,297.4920511,2.974920511,2024,45153.04398,x & y
HRV,289.8346186,2.898346186,2024,42829.12225,x & y
GRC,288.160944,2.88160944,2024,37474.27982,x & y
HUN,287.9086971,2.879086971,2024,40686.93193,x & y
ISR,281.5060377,2.815060377,2024,47338.84246,x & y
FIN,274.7553349,2.747553349,2024,56123.14796,x & y
DEU,274.1365433,2.741365433,2024,62554.55472,x & y
BGR,262.9737854,2.629737854,2024,34221.62373,x & y
FRA,262.6870394,2.626870394,2024,54799.34827,x & y
ESP,254.5563459,2.545563459,2024,48460.29141,x & y
ARE,249.777627,2.49777627,2024,69701.8048,x & y
USA,245.9051371,2.459051371,2024,75489.26643,x & y
KOR,243.2698727,2.432698727,2024,55070.93862,x & y
MDA,233.9660168,2.339660168,2024,16376.61137,x & y
SRB,231.9905758,2.319905758,2024,26900.7834,x & y
PAN,231.6031218,2.316031218,2024,36394.91753,x & y
QAT,229.8075676,2.298075676,2024,110889.7927,x & y
