language_code,language_name,n_speakers,speaker_percent,speaker_percent_100,url_count,url_percent,url_percent_100,dominant_incgroup
aa,Afar,1500000,0.01900921072,1.900921072,1973,0.0001,0.01,Low income
ab,Abkhazian,88000,0.001115207029,0.1115207029,20092,0.0009,0.09,Upper middle income
af,Afrikaans,7300000,0.09251149218,9.251149218,219590,0.0095,0.95,Upper middle income
ak,Twi,11000000,0.1394008786,13.94008786,10217,0.0004,0.04,Lower middle income
am,Amharic,36000000,0.4562210573,45.62210573,101239,0.0044,0.44,Low income
ar,Arabic,346277000,4.388301641,438.8301641,15375162,0.663,66.3,Multiple
as,Assamese,17000000,0.2154377215,21.54377215,80950,0.0035,0.35,Lower middle income
ay,Aymara,2810000,0.03561058808,3.561058808,3012,0.0001,0.01,Multiple
az,Azerbaijani,29230000,0.3704261529,37.04261529,1350334,0.0582,5.82,Multiple
ba,Bashkir,1800000,0.02281105287,2.281105287,45340,0.002,0.2,High income
be,Belarusian,9500000,0.1203916679,12.03916679,372511,0.0161,1.61,Upper middle income
bn,Bengali,266000000,3.370966701,337.0966701,2567578,0.1104,11,Lower middle income
bi,Bislama,270000,0.00342165793,0.342165793,2355,0.0001,0.01,Lower middle income
bo,Tibetan,2800000,0.03548386001,3.548386001,45177,0.0019,0.19,Upper middle income
bs,Bosnian,3800000,0.04815666716,4.815666716,1356264,0.0583,5.83,Upper middle income
br,Breton,560000,0.007096772003,0.7096772003,60901,0.0026,0.26,High income
bg,Bulgarian,7000000,0.08870965003,8.870965003,5964081,0.2568,25.7,High income
ca,Catalan,8539000,0.1082131002,10.82131002,4719665,0.2039,20.4,High income
ceb,Cebuano,26000000,0.3294929858,32.94929858,46591,0.002,0.2,Lower middle income
cs,Czech,10000000,0.1267280715,12.67280715,26409435,1.1411,114,High income
chr,Cherokee,26000,0.000329,0.0329,1495,0.0001,0.01,High income
co,Corsican,160000,0.002027649144,0.2027649144,76514,0.0033,0.33,High income
crs,Seselwa Creole French,94000,0.001191243872,0.1191243872,2157,0.0001,0.01,High income
cy,Welsh,850000,0.01077188608,1.077188608,248669,0.0107,1.07,High income
da,Danish,5510600,0.06983477107,6.983477107,11761462,0.5082,50.8,High income
de,German,91739000,1.162590655,116.2590655,137914500,5.9575,596,High income
dv,Dhivehi,380000,0.004815666716,0.4815666716,61359,0.0026,0.26,Upper middle income
dz,Dzongkha,370000,0.004688938645,0.4688938645,4334,0.0002,0.02,Lower middle income
el,Greek,12200000,0.1546082472,15.46082472,12465777,0.5367,53.7,High income
en,English,1267445366,16.06209069,1606.209069,965898156,41.6958,4170,Multiple
eo,Esperanto,2000000,0.0253456143,2.53456143,186388,0.0081,0.81,NA
et,Estonian,1200000,0.01520736858,1.520736858,3243244,0.14,14,High income
