reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,2.0625,2023,10.4,15.2,2.1.1,2015,12.65
,0.75,2024,59.1,56.4,6.1.1,2015,60
2021,,2023,99.5,,7.1.1,,
2052,0.8925485643,2023,44.5,12.9,17.8.1,2015,48.17502121
,1.014705882,2024,71.6,57.2,17.18.1,2016,71.4
2030,0.7954004329,2023,30.6,38.8,3.2.1,2015,28.79952381
2032,1.425,2023,17.9,23.6,3.2.2,2015,19.6
2043,1.825455956,2025,8.87,15.2,1.1.1,2015,11.42492172
,3.819940476,2023,11,9.2,4.1.2,2015,9.7975
,2.736317673,2022,1804.2,1224.6,8.1.1,2015,1409.934603
,2.583333333,2022,5,6.8,10.1.1,2016,4.15
,2.625,2023,74.7,70.5,43.0.0,2015,72.1
,-0.125,2023,69.3,69.7,45.0.0,2015,72.9
