reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2022,2.5,,2.1.1,,
,-0.3851583386,2021,83,84,3.8.1,2015,85
,-0.3678937137,2023,77.5,80.6,4.1.2,2015,87.81597819
,5.906525573,2024,70.7,66.3,8.5.1,2015,67.19
2000,,2022,99.5,99.6,6.1.1,2015,99.67
1990,,2023,100,100,7.1.1,2015,
2015,,2024,98.8,96.4,17.8.1,2015,98.81153196
,1.944383883,2023,88.9,68.7,17.18.1,2016,81.29185135
1950,,2025,0.1,,1.1.1,,
2001,,2024,103909.1892,,8.1.1,,
2019,1.875,2023,0.4,0.7,10.1.1,2015,0.54
