reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2001,,2022,2.5,,2.1.1,,
,0,2021,85,85,3.8.1,2015,
,,2023,99.56050873,,4.1.2,,
,2.420634921,2024,70.6,69,8.5.1,2015,69.705
2000,,2022,99.6,99.5,6.1.1,2015,99.57
1990,,2023,100,100,7.1.1,2015,
2023,1.761026529,2024,95.8,78.7,17.8.1,2015,91.16806023
,,2023,94.325,,17.18.1,,
1967,,2025,0.8,1.1,1.1.1,2015,0.7825
,0.8361357432,2022,28152.6,25982.4,8.1.1,2015,28587.05572
2076,0.625,2023,1.3,1.5,10.1.1,2015,1.21
