reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2004,,2022,2.5,,2.1.1,,
,1.208877561,2021,79,74,3.8.1,2015,78.22850469
2019,,2019,100.024342,,4.1.2,,
,4.358465608,2024,71.3,68.5,8.5.1,2015,69.22
2767,0.2597402597,2022,76.2,75.6,6.1.1,2015,77.84367424
2016,7.612134666,2023,100,95.5,7.1.1,2015,97.44181852
2025,1.909416442,2024,94.4,70.1,17.8.1,2015,86.84809031
,0.9400426112,2023,82.9,71.9,17.18.1,2016,83.45126414
2003,,2025,0.0885,,1.1.1,,
,0.6601757148,2022,10119,9277.8,8.1.1,2015,10576.63008
2051,0.8333333333,2023,1,1.2,10.1.1,2015,0.96
