reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2111,0.6282233389,2023,51.3,44.3,7.1.1,2015,55.98275474
,-0.9090909091,2024,66.6,67.5,8.5.1,2015,68.43636364
2048,1.068035432,2024,47.3,7.6,17.8.1,2015,44.77086988
,-0.2127975208,2024,38.9,42.7,17.18.1,2016,58.23418979
,,2011,10.6,,10.1.1,,
,-1.726990004,2025,51.74,39,1.1.1,2015,31.42
,-0.2386363636,2023,8.1,8.3,4.1.2,2015,9.05
,0.832223155,2023,65.8,63.7,43.0.0,2015,66.18271668
,4.375,2023,43,32.5,45.0.0,2015,34.9
,-2.857142857,2022,0.7,0.5,42.0.0,2015,0.43
2246,0.6043124818,2021,53.1,48.5,61.1.0,2015,56.04821935
2286,1.004273504,2021,46.4,44.8,61.2.0,2015,46.39307692
,0.2448979592,2022,0.49,0.478,47.0.0,2015,0.527
