reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2023,,2023,99.6,,7.1.1,,
2033,1.460623089,2024,80,41.6,17.8.1,2015,71.24826781
,1.280515795,2024,67.7,48.1,17.18.1,2016,63.8429255
,,2018,2.4,,10.1.1,,
1998,,2025,0.65,0.9,1.1.1,2015,0.585
,-1.354166667,2023,11,11.4,4.1.2,2015,11.64
,1.25,2023,73.6,71.6,43.0.0,2015,73.2
,,2024,0.2792534115,,42.0.0,,
2083,1.165684395,2024,93.5,91.3,6.1.1,2015,93.2277908
,1.369294991,2022,1.902,1.698,47.0.0,2015,1.845128571
