reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-1.520830127,2022,8.1,6.5,2.1.1,2015,5.69965035
,0.1833802333,2021,71,70,3.8.1,2015,75.00892623
,1.278868441,2023,95.3,91.3,4.1.2,2015,94.67411031
,1.898148148,2024,57.7,55,8.5.1,2015,56.44
2123,0.3581612725,2023,87.7,85.3,7.1.1,2015,91.16771658
2038,1.046854672,2023,75.7,51.9,17.8.1,2015,74.89357854
,0.562748817,2023,82.4,76.2,17.18.1,2016,86.15993079
,-0.3899697581,2025,33.64,31.2,1.1.1,2015,25.33017171
,-0.3982049173,2022,5784,6112.2,8.1.1,2015,7013.194039
,,2014,8.4,,10.1.1,,
