reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-3.571428571,2022,3.2,2.8,2.1.1,2015,2.73
,-0.2854918809,2021,79,80,3.8.1,2015,83.03290133
,,2023,98.94364869,,4.1.2,,
,5.324582825,2024,62.2,55.2,8.5.1,2015,56.64
2011,,2023,100,99.7,7.1.1,2015,99.83
2029,1.361581262,2024,89.7,68,17.8.1,2015,85.73590724
,1.051452821,2023,79.5,65.5,17.18.1,2016,78.92643204
2007,,2025,0.95,1.1,1.1.1,2015,0.7825
,-0.2985882472,2022,13182.6,13679.4,8.1.1,2015,15447.96286
,-0.5,2024,2.1,1.9,10.1.1,2016,1.54
