reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-4.404761905,2022,3.7,2.9,2.1.1,2015,2.83
,0.3160635547,2021,48,45,3.8.1,2015,54.20593862
,,2024,92.81476599,,4.1.2,,
2566,0.6170468187,2022,14.4,12.9,6.1.1,2015,15.36504202
2036,1.529249944,2023,95.9,90.6,7.1.1,2015,94.5022525
2026,3.029353742,2023,88,14.9,17.8.1,2015,50.4369929
,1.141856089,2023,49,28.1,17.18.1,2016,46.54131728
2028,2.18538917,2025,3.9,8.1,1.1.1,2015,5.836111743
,1.20959323,2022,1948.2,1639.8,8.1.1,2015,1890.798148
,,2019,5.1,,10.1.1,,
