reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,3.680017335,2022,8.7,16.3,2.1.1,2015,13.63063311
,-0.1642203512,2021,67,68,3.8.1,2015,73.39392051
,,2017,91.5831604,,4.1.2,,
,-0.05847953216,2024,33.2,33.3,8.5.1,2015,35.01
2261,1.025835866,2022,55.3,51.9,6.1.1,2015,55.215
2016,6.18396534,2023,100,98,7.1.1,2015,98.88861638
2044,1.090020985,2023,56.8,19,17.8.1,2015,54.26494222
,-0.09768535651,2023,48.6,50.2,17.18.1,2016,64.06254677
2029,3.620385964,2025,5.12,15.7,1.1.1,2015,11.83526255
,2.334923872,2022,1326,957,8.1.1,2015,1099.529378
2086,1.305805306,2024,4.4,5.9,10.1.1,2015,4.712087912
