reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2015,,2022,2.5,,2.1.1,,
,1.113534334,2021,81,77,3.8.1,2015,80.63592234
2023,,2023,100.6663284,,4.1.2,,
,-2.775508351,2024,50.9,55.2,8.5.1,2015,56.64
2901,0.2040816327,2022,80.5,80.1,6.1.1,2015,82.01391534
2004,,2023,100,99.4,7.1.1,2015,99.69
2030,1.451093292,2023,85.4,59.8,17.8.1,2015,79.4752682
,1.598288826,2023,88.5,72.7,17.18.1,2016,83.9677889
2021,,2025,1.26,2.5,1.1.1,2015,1.765238095
,1.239779985,2022,13686,11715,8.1.1,2015,13285.7676
2075,0.962962963,2024,2,2.5,10.1.1,2015,1.983333333
