reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,100,7.1.1,2015,
1998,,2025,83.953,,8.5.1,,
2012,,2024,98.2,98.2,17.8.1,2015,99.30824891
,0.9961055902,2024,81.5,69.5,17.18.1,2016,81.5395672
,,2019,0.6,,10.1.1,,
1950,,2025,0.1,,1.1.1,,
,1.25,2023,12.5,12.4,4.1.2,2015,12.48
,1.366071429,2023,82.7,82.2,43.0.0,2015,82.61214286
,-4.6875,2023,88.7,92.5,45.0.0,2015,93.3
,,2024,0.2277232702,,42.0.0,,
2000,,2024,100,,61.1.0,,
2017,,2024,100,,61.2.0,,
,,2023,50.83778428,,47.0.0,,
