reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,100,7.1.1,2015,
2016,,2017,97.582,,17.8.1,,
,1.742692015,2022,57829.2,52635,8.1.1,2015,55631.99396
