reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-2.763866503,2022,23.2,14,2.1.1,2015,11.75945281
,0.1071822443,2021,37,36,3.8.1,2015,45.52273213
,,2023,47.85567866,,4.1.2,,
,-2.962962963,2024,74.2,75,8.5.1,2015,75.21333333
2122,0.6343977474,2023,51.1,42,7.1.1,2015,56.30035731
2065,0.6173280886,2023,44.8,22,17.8.1,2015,56.70840506
,1.042675872,2023,62.3,47.4,17.18.1,2016,61.70700488
,-1.110701992,2025,42.51,35.1,1.1.1,2015,28.88655876
,-2.097276208,2022,2382,3214.2,8.1.1,2015,3705.91959
,,2018,11,,10.1.1,,
