reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,3.0625,2023,5.3,8,2.1.1,2015,6.95
,1.305555556,2024,58.6,53.9,6.1.1,2015,57.5
2014,,2023,99.8,,7.1.1,,
2031,1.635299312,2024,84.2,45,17.8.1,2015,73.33632356
,0.9312865497,2024,67.2,53.7,17.18.1,2016,68.17894737
2005,,2023,20,22,3.2.1,2015,16.49285714
2008,,2023,10.3,11.2,3.2.2,2015,8.525
2015,,2025,1.34,2.9,1.1.1,2015,2.046555556
,2.708333333,2023,12,11.5,4.1.2,2015,11.72666667
,2.375249387,2022,3617.4,2577.6,8.1.1,2015,2973.555447
,0.6666666667,2022,2.6,3,10.1.1,2016,2
,0.375,2023,74.6,74,43.0.0,2015,75.6
,0.125,2023,74.8,74.4,45.0.0,2015,77.6
