reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2014,,2023,100,,7.1.1,,
2029,1.68232677,2024,87.8,54.3,17.8.1,2015,78.20207852
,0.8635278673,2024,64.5,53,17.18.1,2017,66.12957393
,,2018,1.8,,10.1.1,,
2008,,2025,0.67,1.3,1.1.1,2015,0.83
,0,2023,12.5,12.5,4.1.2,2015,
,0.375,2023,72.9,72.3,43.0.0,2015,73.9
,2.875,2023,90.3,87.2,45.0.0,2015,88.8
,,2024,0.2037416129,,42.0.0,,
2041,2.397664064,2024,96.9,94.4,6.1.1,2015,95.62021978
2725,0.307021307,2024,64.7,63.7,6.1.1,2015,66.78354029
,0.3023255814,2022,4.285,4.194,47.0.0,2015,4.499957717
