reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2037,1.854144751,2023,89.5,74,7.1.1,2015,83.52651796
,-6.958241921,2024,57.8,66.8,8.5.1,2015,67.79
2036,1.502600293,2024,72.2,23,17.8.1,2015,59.90861331
,0.4451759643,2024,65.7,59.3,17.18.1,2016,72.81646143
,,2016,11.3,,10.1.1,,
2317,0.2698630137,2025,38.93,40.9,1.1.1,2015,33.33
,1,2023,10.8,10.4,4.1.2,2015,10.8
,0.8839714405,2023,65.5,63.2,43.0.0,2015,65.77251959
,1.75,2023,83,78.7,45.0.0,2015,81.2
,,2024,0.2025467191,,42.0.0,,
2152,1.126184424,2024,42.9,30.8,61.1.0,2015,41.46931412
2297,0.8682393595,2024,56.1,53.1,61.2.0,2015,56.58369676
2059,7.218986832,2024,83.4,72.5,61.3.0,2015,74.54550988
,4.556972789,2022,0.609,0.393,47.0.0,2015,0.435
