reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2019,6.706964781,2023,100,97.3,7.1.1,2015,98.48029163
,-2.859114016,2024,21.6,25.9,8.5.1,2015,27.53777778
2027,1.948116228,2024,91.2,57.1,17.8.1,2015,79.74408094
,0.8324832946,2024,73.1,60,17.18.1,2016,75.33531351
,,2013,3.9,,10.1.1,,
2021,0.8519180819,2025,2.3,3.3,1.1.1,2015,2.12
,4.616666667,2025,11.9,10.5,4.1.2,2015,10.92
,1.764705882,2023,75.3,72.9,43.0.0,2015,74.26
,1.525,2023,75.5,70.6,45.0.0,2015,73.82
,0,2024,0.3,0.3,42.0.0,2015,
2069,2.394648492,2024,80.7,62.7,61.1.0,2015,71.7177885
2057,4.107114625,2024,85.2,76.3,61.2.0,2015,78.55
2096,3.605003112,2024,81.8,76.8,61.3.0,2015,78.28117647
,1.429774987,2022,1.169,1.032,47.0.0,2015,1.126615385
